Date,Facebook
2013-07-19,93
2013-07-20,97
2013-07-21,95
2013-07-22,83
2013-07-23,92
2013-07-24,91
2013-07-25,90
2013-07-26,89
2013-07-27,94
2013-07-28,93
2013-07-29,81
2013-07-30,91
2013-07-31,91
