Date,ING U.S.
2012-11-12,64
2012-11-13,69
2012-11-14,67
2012-11-15,68
2012-11-16,63
2012-11-17,71
2012-11-18,66
2012-11-19,61
2012-11-20,63
2012-11-21,61
2012-11-22,59
2012-11-23,56
2012-11-24,53
2012-11-25,55
2012-11-26,60
2012-11-27,68
2012-11-28,70
2012-11-29,71
2012-11-30,86
2012-12-01,88
2012-12-02,82
2012-12-03,79
2012-12-04,66
2012-12-05,84
2012-12-06,60
2012-12-07,67
2012-12-08,74
2012-12-09,67
2012-12-10,68
2012-12-11,57
2012-12-12,73
2012-12-13,64
2012-12-14,77
2012-12-15,73
2012-12-16,73
2012-12-17,73
2012-12-18,75
2012-12-19,81
2012-12-20,72
2012-12-21,77
2012-12-22,76
2012-12-23,73
2012-12-24,70
2012-12-25,68
2012-12-26,65
2012-12-27,62
2012-12-28,60
2012-12-29,60
2012-12-30,60
2012-12-31,64
2013-01-01,66
2013-01-02,60
2013-01-03,75
2013-01-04,73
2013-01-05,78
2013-01-06,80
2013-01-07,81
2013-01-08,88
2013-01-09,80
2013-01-10,94
2013-01-11,90
2013-01-12,89
2013-01-13,91
2013-01-14,77
2013-01-15,85
2013-01-16,91
2013-01-17,77
2013-01-18,78
2013-01-19,91
2013-01-20,78
2013-01-21,78
2013-01-22,68
2013-01-23,86
2013-01-24,75
2013-01-25,77
2013-01-26,83
2013-01-27,85
2013-01-28,73
2013-01-29,82
2013-01-30,86
2013-01-31,96
2013-02-01,91
2013-02-02,101
2013-02-03,88
2013-02-04,85
2013-02-05,83
2013-02-06,84
2013-02-07,74
2013-02-08,77
2013-02-09,77
2013-02-10,68
2013-02-11,67
2013-02-12,66
2013-02-13,70
2013-02-14,62
2013-02-15,60
2013-02-16,70
2013-02-17,64
2013-02-18,64
2013-02-19,60
2013-02-20,69
2013-02-21,58
2013-02-22,71
2013-02-23,66
2013-02-24,65
2013-02-25,66
2013-02-26,66
2013-02-27,68
2013-02-28,70
2013-03-01,72
2013-03-02,73
2013-03-03,70
2013-03-04,71
2013-03-05,71
2013-03-06,73
2013-03-07,75
2013-03-08,60
2013-03-09,83
2013-03-10,74
2013-03-11,68
2013-03-12,75
2013-03-13,78
2013-03-14,70
2013-03-15,79
2013-03-16,88
2013-03-17,74
2013-03-18,77
2013-03-19,82
2013-03-20,85
2013-03-21,86
2013-03-22,98
2013-03-23,85
2013-03-24,95
2013-03-25,81
2013-03-26,84
2013-03-27,89
2013-03-28,89
2013-03-29,84
2013-03-30,84
2013-03-31,82
2013-05-01,83
2013-05-02,82
2013-05-03,92
2013-05-04,92
2013-05-05,85
2013-05-06,81
2013-05-07,82
2013-05-08,65
2013-05-09,73
2013-05-10,69
2013-05-11,62
2013-05-12,63
2013-05-13,63
2013-05-14,61
2013-05-15,64
2013-05-16,71
2013-05-17,62
2013-05-18,66
2013-05-19,66
2013-05-20,67
2013-05-21,66
2013-05-22,68
2013-05-23,70
2013-05-24,71
2013-05-25,66
2013-05-26,65
2013-05-27,64
2013-05-28,63
2013-05-29,58
2013-05-30,65
2013-05-31,63
2013-06-01,60
2013-06-02,60
2013-06-03,60
2013-06-04,56
2013-06-05,56
2013-06-06,69
2013-06-07,64
2013-06-08,60
2013-06-09,60
2013-06-10,59
2013-06-11,62
2013-06-12,58
2013-06-13,59
2013-06-14,62
2013-06-15,55
2013-06-16,55
2013-06-17,54
2013-06-18,54
2013-06-19,54
2013-06-20,53
2013-06-21,54
2013-06-22,53
2013-06-23,54
2013-06-24,55
2013-06-25,59
2013-06-26,52
2013-06-27,57
2013-06-28,62
2013-06-29,62
2013-06-30,60
2013-07-01,58
2013-07-02,54
2013-07-03,59
2013-07-04,52
2013-07-05,50
2013-07-06,49
2013-07-07,51
2013-07-08,53
2013-07-09,59
2013-07-10,56
2013-07-11,60
2013-07-12,68
2013-07-13,65
2013-07-14,59
2013-07-15,58
2013-07-16,66
2013-07-17,53
2013-07-18,59
2013-07-19,54
2013-07-20,52
2013-07-21,53
2013-07-22,55
2013-07-23,56
2013-07-24,58
2013-07-25,58
2013-07-26,60
2013-07-27,65
2013-07-28,63
2013-07-29,64
2013-07-30,50
2013-07-31,68
2013-08-01,69
2013-08-02,67
2013-08-03,72
2013-08-04,72
2013-08-05,73
2013-08-06,71
2013-08-07,79
2013-08-08,76
2013-08-09,75
2013-08-10,76
2013-08-11,74
2013-08-12,71
2013-08-13,66
2013-08-14,75
2013-08-15,61
2013-08-16,60
2013-08-17,60
2013-08-18,59
2013-08-19,59
2013-08-20,57
2013-08-21,58
2013-08-22,55
2013-08-23,61
2013-08-24,56
2013-08-25,56
2013-08-26,55
2013-08-27,56
2013-08-28,60
2013-08-29,51
2013-08-30,58
2013-08-31,55
2013-09-01,54
2013-09-02,54
2013-09-03,53
2013-09-04,55
2013-09-05,56
2013-09-06,51
2013-09-07,50
2013-09-08,51
2013-09-09,53
2013-09-10,54
2013-09-11,57
2013-09-12,59
2013-09-13,60
2013-09-14,62
2013-09-15,59
2013-09-16,58
2013-09-17,54
2013-09-18,59
2013-09-19,51
2013-09-20,52
2013-09-21,56
2013-09-22,50
2013-09-23,51
2013-09-24,54
2013-09-25,49
2013-09-26,56
2013-09-27,56
2013-09-28,57
2013-09-29,57
2013-09-30,57
2013-10-01,57
2013-10-02,58
2013-10-03,60
2013-10-04,64
2013-10-05,55
2013-10-06,57
2013-10-07,60
2013-10-08,65
2013-10-09,63
2013-10-10,70
2013-10-11,67
2013-10-12,73
2013-10-13,71
2013-10-14,69
2013-10-15,61
2013-10-16,71
2013-10-17,66
2013-10-18,59
2013-10-19,66
2013-10-20,65
2013-10-21,66
2013-10-22,63
2013-10-23,71
2013-10-24,71
2013-10-25,70
2013-10-26,77
2013-10-27,71
2013-10-28,69
2013-10-29,60
2013-10-30,72
2013-10-31,63
2013-11-01,61
2013-11-02,61
2013-11-03,60
2013-11-04,63
2013-11-05,67
2013-11-06,62
2013-11-07,77
2013-11-08,69
2013-11-09,88
2013-11-10,74
2013-11-11,73
2013-11-12,72
2013-11-13,71
2013-11-14,73
2013-11-15,68
2013-11-16,67
2013-11-17,66
2013-11-18,65
2013-11-19,68
2013-11-20,61
2013-11-21,64
2013-11-22,56
2013-11-23,68
2013-11-24,56
2013-11-25,52
2013-11-26,48
2013-11-27,41
2013-11-28,43
2013-11-29,36
2013-11-30,33
2013-12-01,35
2013-12-02,38
2013-12-03,38
2013-12-04,41
2013-12-05,47
2013-12-06,52
2013-12-07,51
2013-12-08,51
2013-12-09,51
2013-12-10,56
2013-12-11,53
2013-12-12,52
2013-12-13,52
2013-12-14,51
2013-12-15,53
2013-12-16,54
2013-12-17,51
2013-12-18,59
2013-12-19,56
2013-12-20,67
2013-12-21,61
2013-12-22,60
2013-12-23,57
2013-12-24,49
2013-12-25,58
2013-12-26,52
2013-12-27,48
2013-12-28,48
2013-12-29,51
2013-12-30,55
2013-12-31,61
2014-01-01,68
2014-01-02,62
2014-01-03,61
2014-01-04,79
2014-01-05,72
2014-01-06,71
2014-01-07,74
2014-01-08,64
2014-01-09,73
2014-01-10,64
2014-01-11,74
2014-01-12,62
2014-01-13,65
2014-01-14,66
2014-01-15,71
2014-01-16,73
2014-01-17,81
2014-01-18,77
2014-01-19,69
2014-01-20,69
2014-01-21,72
2014-01-22,68
2014-01-23,67
2014-01-24,68
2014-01-25,63
2014-01-26,65
2014-01-27,66
2014-01-28,69
2014-01-29,70
2014-01-30,64
2014-01-31,82
2014-02-01,74
