Date,HomeStreet
2011-06-23,54
2011-06-24,53
2011-06-25,52
2011-06-26,57
2011-06-27,64
2011-06-28,69
2011-06-29,75
2011-06-30,80
2011-07-01,85
2011-07-02,91
2011-07-03,87
2011-07-04,82
2011-07-05,78
2011-07-06,73
2011-07-07,69
2011-07-08,65
2011-07-09,61
2011-07-10,60
2011-07-11,59
2011-07-12,59
2011-07-13,58
2011-07-14,57
2011-07-15,57
2011-07-16,56
2011-07-17,57
2011-07-18,58
2011-07-19,59
2011-07-20,61
2011-07-21,62
2011-07-22,63
2011-07-23,64
2011-07-24,66
2011-07-25,67
2011-07-26,68
2011-07-27,69
2011-07-28,71
2011-07-29,72
2011-07-30,73
2011-07-31,72
2011-08-07,69
2011-08-08,74
2011-08-09,79
2011-08-10,84
2011-08-11,88
2011-08-12,93
2011-08-13,98
2011-08-14,93
2011-08-15,88
2011-08-16,83
2011-08-17,79
2011-08-18,74
2011-08-19,69
2011-08-20,64
2011-08-21,63
2011-08-22,62
2011-08-23,61
2011-08-24,60
2011-08-25,60
2011-08-26,59
2011-08-27,58
2011-08-28,57
2011-08-29,57
2011-08-30,56
2011-08-31,55
2011-09-01,54
2011-09-02,53
2011-09-03,52
2011-09-04,51
2011-09-05,50
2011-09-06,49
2011-09-07,49
2011-09-08,48
2011-09-09,48
2011-09-10,47
2011-09-11,49
2011-09-12,52
2011-09-13,54
2011-09-14,57
2011-09-15,59
2011-09-16,61
2011-09-17,63
2011-09-18,61
2011-09-19,57
2011-09-20,54
2011-09-21,52
2011-09-22,49
2011-09-23,46
2011-09-24,43
2011-09-25,44
2011-09-26,45
2011-09-27,46
2011-09-28,47
2011-09-29,48
2011-09-30,49
2011-10-01,50
2011-10-02,49
2011-10-03,49
2011-10-04,49
2011-10-05,48
2011-10-06,48
2011-10-07,48
2011-10-08,48
2011-10-09,48
2011-10-10,48
2011-10-11,49
2011-10-12,50
2011-10-13,50
2011-10-14,51
2011-10-15,51
2011-10-16,54
2011-10-17,57
2011-10-18,59
2011-10-19,62
2011-10-20,64
2011-10-21,67
2011-10-22,70
2011-10-23,68
2011-10-24,66
2011-10-25,64
2011-10-26,63
2011-10-27,61
2011-10-28,59
2011-10-29,57
2011-10-30,56
2011-11-06,46
2011-11-07,43
2011-11-08,41
2011-11-09,39
2011-11-10,37
2011-11-11,34
2011-11-12,32
2011-11-13,36
2011-11-14,40
2011-11-15,44
2011-11-16,48
2011-11-17,52
2011-11-18,56
2011-11-19,60
2011-11-20,57
2011-11-21,55
2011-11-22,52
2011-11-23,50
2011-11-24,48
2011-11-25,46
2011-11-26,43
2011-11-27,47
2011-11-28,50
2011-11-29,53
2011-11-30,57
2011-12-01,60
2011-12-02,63
2011-12-03,66
2011-12-04,66
2011-12-05,66
2011-12-06,66
2011-12-07,66
2011-12-08,66
2011-12-09,66
2011-12-10,66
2011-12-11,67
2011-12-12,69
2011-12-13,70
2011-12-14,71
2011-12-15,72
2011-12-16,73
2011-12-17,74
2011-12-18,70
2011-12-19,64
2011-12-20,60
2011-12-21,56
2011-12-22,53
2011-12-23,49
2011-12-24,45
2011-12-25,47
2011-12-26,50
2011-12-27,52
2011-12-28,55
2011-12-29,57
2011-12-30,60
2011-12-31,62
2012-01-01,63
2012-01-02,64
2012-01-03,65
2012-01-04,66
2012-01-05,67
2012-01-06,68
2012-01-07,69
2012-01-08,70
2012-01-09,70
2012-01-10,72
2012-01-11,73
2012-01-12,74
2012-01-13,75
2012-01-14,76
2012-01-15,76
2012-01-16,77
2012-01-17,76
2012-01-18,76
2012-01-19,76
2012-01-20,76
2012-01-21,76
2012-01-22,75
2012-01-23,72
2012-01-24,71
2012-01-25,70
2012-01-26,69
2012-01-27,68
2012-01-28,67
2012-01-29,71
2012-02-05,93
2012-02-06,92
2012-02-07,90
2012-02-08,89
2012-02-09,87
2012-02-10,86
2012-02-11,84
2012-02-12,85
2012-02-13,85
2012-02-14,86
2012-02-15,87
2012-02-16,87
2012-02-17,88
2012-02-18,89
2012-02-19,84
2012-02-20,80
2012-02-21,76
2012-02-22,71
2012-02-23,67
2012-02-24,63
2012-02-25,59
2012-02-26,60
2012-02-27,62
2012-02-28,64
2012-02-29,65
2012-03-01,67
2012-03-02,69
2012-03-03,71
2012-03-04,71
2012-03-05,72
2012-03-06,73
2012-03-07,73
2012-03-08,73
2012-03-09,73
2012-03-10,74
2012-03-11,75
2012-03-12,75
2012-03-13,76
2012-03-14,77
2012-03-15,78
2012-03-16,79
2012-03-17,80
2012-03-18,79
2012-03-19,78
2012-03-20,78
2012-03-21,77
2012-03-22,77
2012-03-23,76
2012-03-24,76
2012-03-25,76
2012-03-26,76
2012-03-27,75
2012-03-28,75
2012-03-29,74
2012-03-30,74
2012-03-31,74
2012-04-01,75
2012-04-02,78
2012-04-03,80
2012-04-04,81
2012-04-05,83
2012-04-06,85
2012-04-07,87
2012-04-08,84
2012-04-09,80
2012-04-10,77
2012-04-11,74
2012-04-12,71
2012-04-13,68
2012-04-14,64
2012-04-15,65
2012-04-16,66
2012-04-17,67
2012-04-18,67
2012-04-19,68
2012-04-20,68
2012-04-21,69
2012-04-22,69
2012-04-23,67
2012-04-24,67
2012-04-25,67
2012-04-26,67
2012-04-27,67
2012-04-28,67
2012-04-29,69
2012-05-01,74
2012-05-02,76
2012-05-03,78
2012-05-04,80
2012-05-05,82
2012-05-06,77
2012-05-07,72
2012-05-08,68
2012-05-09,63
2012-05-10,59
2012-05-11,54
2012-05-12,50
2012-05-13,53
2012-05-14,56
2012-05-15,59
2012-05-16,62
2012-05-17,65
2012-05-18,66
2012-05-19,72
2012-05-20,71
2012-05-21,70
2012-05-22,69
2012-05-23,68
2012-05-24,67
2012-05-25,66
2012-05-26,66
2012-05-27,63
2012-05-28,60
2012-05-29,59
2012-05-30,53
2012-05-31,50
2012-06-01,47
2012-06-02,45
2012-06-03,50
2012-06-04,56
2012-06-05,62
2012-06-06,68
2012-06-07,74
2012-06-08,78
2012-06-09,88
2012-06-10,87
2012-06-11,88
2012-06-12,90
2012-06-13,91
2012-06-14,89
2012-06-15,91
2012-06-16,101
2012-06-17,94
2012-06-18,92
2012-06-19,90
2012-06-20,88
2012-06-21,86
2012-06-22,84
2012-06-23,83
2012-06-24,81
2012-06-25,80
2012-06-26,74
2012-06-27,81
2012-06-28,76
2012-06-29,74
2012-06-30,73
2012-07-01,74
2012-07-02,75
2012-07-03,76
2012-07-04,76
2012-07-05,77
2012-07-06,78
2012-07-07,79
2012-07-08,74
2012-07-09,70
2012-07-10,66
2012-07-11,62
2012-07-12,58
2012-07-13,51
2012-07-14,51
2012-07-15,54
2012-07-16,58
2012-07-17,63
2012-07-18,68
2012-07-19,72
2012-07-20,76
2012-07-21,81
2012-07-22,81
2012-07-23,81
2012-07-24,81
2012-07-25,81
2012-07-26,81
2012-07-27,81
2012-07-28,81
2012-07-29,82
2012-07-30,84
2012-07-31,82
2012-08-05,89
2012-08-06,87
2012-08-07,85
2012-08-08,83
2012-08-09,81
2012-08-10,79
2012-08-11,77
2012-08-12,77
2012-08-13,77
2012-08-14,76
2012-08-15,76
2012-08-16,76
2012-08-17,76
2012-08-18,75
2012-08-19,79
2012-08-20,83
2012-08-21,86
2012-08-22,90
2012-08-23,93
2012-08-24,97
2012-08-25,100
2012-08-26,98
2012-08-27,95
2012-08-28,93
2012-08-29,90
2012-08-30,88
2012-08-31,86
2012-09-01,83
2012-09-02,79
2012-09-03,74
2012-09-04,70
2012-09-05,66
2012-09-06,62
2012-09-07,58
2012-09-08,54
2012-09-09,58
2012-09-10,63
2012-09-11,67
2012-09-12,71
2012-09-13,75
2012-09-14,79
2012-09-15,83
2012-09-16,79
2012-09-17,74
2012-09-18,70
2012-09-19,66
2012-09-20,62
2012-09-21,58
2012-09-22,54
2012-09-23,58
2012-09-24,62
2012-09-25,66
2012-09-26,71
2012-09-27,75
2012-09-28,79
2012-09-29,83
2012-09-30,81
2012-10-01,80
2012-10-02,78
2012-10-03,76
2012-10-04,74
2012-10-05,72
2012-10-06,70
2012-10-07,73
2012-10-08,78
2012-10-09,81
2012-10-10,84
2012-10-11,87
2012-10-12,91
2012-10-13,94
2012-10-14,91
2012-10-15,87
2012-10-16,85
2012-10-17,82
2012-10-18,79
2012-10-19,77
2012-10-20,74
2012-10-21,73
2012-10-22,70
2012-10-23,69
2012-10-24,68
2012-10-25,67
2012-10-26,66
2012-10-27,65
2012-10-28,69
