Date,Springleaf
2013-09-29,71
2013-09-30,60
2013-10-01,74
2013-10-02,78
2013-10-03,79
2013-10-04,78
2013-10-05,91
2013-10-06,76
2013-10-07,77
2013-10-08,84
2013-10-09,80
2013-10-10,70
2013-10-11,81
2013-10-12,79
2013-10-13,77
2013-10-14,78
2013-10-15,76
2013-10-16,83
2013-10-17,85
2013-10-18,89
2013-10-19,95
2013-10-20,88
2013-10-21,68
2013-10-22,83
2013-10-23,80
2013-10-24,68
2013-10-25,69
2013-10-26,69
2013-10-27,71
2013-10-28,73
2013-10-29,74
2013-10-30,83
2013-10-31,75
2013-11-01,81
2013-11-02,93
2013-11-03,82
2013-11-04,82
2013-11-05,77
2013-11-06,84
2013-11-07,82
2013-11-08,88
2013-11-09,89
2013-11-10,92
2013-11-11,69
2013-11-12,88
2013-11-13,93
2013-11-14,94
2013-11-15,98
2013-11-16,107
2013-11-17,97
2013-11-18,94
2013-11-19,83
2013-11-20,90
2013-11-21,90
2013-11-22,82
2013-11-23,94
2013-11-24,73
2013-11-25,71
2013-11-26,73
2013-11-27,63
2013-11-28,67
2013-11-29,61
2013-11-30,55
2013-12-01,69
2013-12-02,48
2013-12-03,69
2013-12-04,76
2013-12-05,74
2013-12-06,78
2013-12-07,96
2013-12-08,75
2013-12-09,76
2013-12-10,81
2013-12-11,81
2013-12-12,74
2013-12-13,72
2013-12-14,82
2013-12-15,75
2013-12-16,75
2013-12-17,69
2013-12-18,82
2013-12-19,76
2013-12-20,73
2013-12-21,81
2013-12-22,71
2013-12-23,67
2013-12-24,65
2013-12-25,57
2013-12-26,53
2013-12-27,50
2013-12-28,46
2013-12-29,41
2013-12-30,45
2013-12-31,54
2014-01-01,55
2014-01-02,55
2014-01-03,57
2014-01-04,64
2014-01-05,59
2014-01-06,55
2014-01-07,69
2014-01-08,81
2014-01-09,70
2014-01-10,74
2014-01-11,94
2014-01-12,71
2014-01-13,75
2014-01-14,80
2014-01-15,82
2014-01-16,82
2014-01-17,85
2014-01-18,83
2014-01-19,86
2014-01-20,71
2014-01-21,69
2014-01-22,74
2014-01-23,78
2014-01-24,60
2014-01-25,82
2014-01-26,71
2014-01-27,61
2014-01-28,75
2014-01-29,72
2014-01-30,72
2014-01-31,71
2014-02-01,77
2014-02-02,73
2014-02-03,71
2014-02-04,71
2014-02-05,74
2014-02-06,61
2014-02-07,69
2014-02-08,65
2014-02-09,66
2014-02-10,63
2014-02-11,58
2014-02-12,65
2014-02-13,70
2014-02-14,47
2014-02-15,76
2014-02-16,60
2014-02-17,61
2014-02-18,63
2014-02-19,62
2014-02-20,64
2014-02-21,61
2014-02-22,68
2014-02-23,65
2014-02-24,57
2014-02-25,65
2014-02-26,57
2014-02-27,64
2014-02-28,63
