Date,Drivetime Automotive
2010-08-24,63
2010-08-25,63
2010-08-26,64
2010-08-27,64
2010-08-28,65
2010-08-29,66
2010-09-05,71
2010-09-06,70
2010-09-07,69
2010-09-08,68
2010-09-09,67
2010-09-10,66
2010-09-11,66
2010-09-12,66
2010-09-13,66
2010-09-14,66
2010-09-15,66
2010-09-16,66
2010-09-17,66
2010-09-18,66
2010-09-19,65
2010-09-20,64
2010-09-21,64
2010-09-22,63
2010-09-23,62
2010-09-24,62
2010-09-25,61
2010-09-26,60
2010-09-27,59
2010-09-28,58
2010-09-29,58
2010-09-30,57
2010-10-01,56
2010-10-02,56
2010-10-03,57
2010-10-04,58
2010-10-05,59
2010-10-06,61
2010-10-07,62
2010-10-08,63
2010-10-09,65
2010-10-10,63
2010-10-11,62
2010-10-12,60
2010-10-13,59
2010-10-14,57
2010-10-15,56
2010-10-16,55
2010-10-17,54
2010-10-18,53
2010-10-19,52
2010-10-20,52
2010-10-21,51
2010-10-22,50
2010-10-23,50
2010-10-24,49
2010-10-25,49
2010-10-26,49
2010-10-27,49
2010-10-28,49
2010-10-29,49
2010-10-30,49
2010-10-31,49
2010-11-01,49
2010-11-02,49
2010-11-03,49
2010-11-04,49
2010-11-05,49
2010-11-06,49
2010-11-07,49
2010-11-08,49
2010-11-09,49
2010-11-10,49
2010-11-11,49
2010-11-12,49
2010-11-13,49
2010-11-14,54
2010-11-15,60
2010-11-16,65
2010-11-17,70
2010-11-18,75
2010-11-19,81
2010-11-20,86
2010-11-21,80
2010-11-22,73
2010-11-23,67
2010-11-24,61
2010-11-25,55
2010-11-26,49
2010-11-27,43
2010-11-28,43
2010-12-05,47
2010-12-06,52
2010-12-07,56
2010-12-08,61
2010-12-09,65
2010-12-10,70
2010-12-11,74
2010-12-12,71
2010-12-13,66
2010-12-14,62
2010-12-15,59
2010-12-16,55
2010-12-17,51
2010-12-18,48
2010-12-19,49
2010-12-20,51
2010-12-21,53
2010-12-22,54
2010-12-23,56
2010-12-24,58
2010-12-25,60
2010-12-26,61
2010-12-27,63
2010-12-28,65
2010-12-29,66
2010-12-30,68
2010-12-31,70
2011-01-01,72
2011-01-02,73
2011-01-03,75
2011-01-04,77
2011-01-05,78
2011-01-06,80
2011-01-07,82
2011-01-08,84
2011-01-09,78
2011-01-10,73
2011-01-11,67
2011-01-12,62
2011-01-13,56
2011-01-14,51
2011-01-15,46
2011-01-16,50
2011-01-17,55
2011-01-18,60
2011-01-19,65
2011-01-20,69
2011-01-21,74
2011-01-22,79
2011-01-23,77
2011-01-24,75
2011-01-25,73
2011-01-26,71
2011-01-27,69
2011-01-28,68
2011-01-29,66
2011-01-30,65
2011-01-31,65
2011-02-01,65
2011-02-02,64
2011-02-03,63
2011-02-04,63
2011-02-05,62
2011-02-06,62
2011-02-07,61
2011-02-08,61
2011-02-09,61
2011-02-10,61
2011-02-11,61
2011-02-12,61
2011-02-13,59
2011-02-14,57
2011-02-15,55
2011-02-16,53
2011-02-17,51
2011-02-18,49
2011-02-19,48
2011-02-20,52
2011-02-21,57
2011-02-22,61
2011-02-23,66
2011-02-24,70
2011-02-25,75
2011-02-26,79
2011-02-27,76
2011-03-06,57
2011-03-07,60
2011-03-08,62
2011-03-09,65
2011-03-10,67
2011-03-11,70
2011-03-12,72
2011-03-13,70
2011-03-14,67
2011-03-15,64
2011-03-16,62
2011-03-17,59
2011-03-18,57
2011-03-19,55
2011-03-20,55
2011-03-21,55
2011-03-22,55
2011-03-23,55
2011-03-24,55
2011-03-25,55
2011-03-26,55
2011-03-27,56
2011-03-28,59
2011-03-29,61
2011-03-30,63
2011-03-31,65
2011-04-01,67
2011-04-02,69
2011-04-03,65
2011-04-04,60
2011-04-05,56
2011-04-06,52
2011-04-07,48
2011-04-08,44
2011-04-09,40
2011-04-10,42
2011-04-11,44
2011-04-12,46
2011-04-13,49
2011-04-14,51
2011-04-15,53
2011-04-16,56
2011-04-17,59
2011-04-18,62
2011-04-19,65
2011-04-20,68
2011-04-21,71
2011-04-22,74
2011-04-23,77
2011-04-24,73
2011-04-25,70
2011-04-26,67
2011-04-27,64
2011-04-28,60
2011-04-29,57
2011-04-30,54
2011-05-01,56
2011-05-02,58
2011-05-03,60
2011-05-04,62
2011-05-05,64
2011-05-06,66
2011-05-07,68
2011-05-08,64
2011-05-09,60
2011-05-10,57
2011-05-11,53
2011-05-12,50
2011-05-13,46
2011-05-14,43
2011-05-15,48
2011-05-16,53
2011-05-17,58
2011-05-18,64
2011-05-19,69
2011-05-20,74
2011-05-21,79
2011-05-22,76
2011-05-23,72
2011-05-24,68
2011-05-25,65
2011-05-26,61
2011-05-27,58
2011-05-28,55
2011-05-29,55
2011-06-05,55
2011-06-06,55
2011-06-07,55
2011-06-08,55
2011-06-09,55
2011-06-10,55
2011-06-11,55
2011-06-12,55
2011-06-13,56
2011-06-14,56
2011-06-15,57
2011-06-16,57
2011-06-17,58
2011-06-18,59
2011-06-19,58
2011-06-20,58
2011-06-21,57
2011-06-22,57
2011-06-23,56
2011-06-24,56
2011-06-25,56
2011-06-26,62
2011-06-27,69
2011-06-28,75
2011-06-29,82
2011-06-30,88
2011-07-01,95
2011-07-02,102
2011-07-03,96
2011-07-04,87
2011-07-05,81
2011-07-06,75
2011-07-07,69
2011-07-08,63
2011-07-09,57
2011-07-10,58
2011-07-11,60
2011-07-12,62
2011-07-13,64
2011-07-14,65
2011-07-15,67
2011-07-16,69
2011-07-17,72
2011-07-18,76
2011-07-19,79
2011-07-20,82
2011-07-21,85
2011-07-22,89
2011-07-23,92
2011-07-24,85
2011-07-25,77
2011-07-26,70
2011-07-27,64
2011-07-28,57
2011-07-29,50
2011-07-30,44
2011-07-31,50
2011-08-01,56
2011-08-02,63
2011-08-03,69
2011-08-04,75
2011-08-05,82
2011-08-06,88
2011-08-07,87
2011-08-08,86
2011-08-09,84
2011-08-10,83
2011-08-11,82
2011-08-12,81
2011-08-13,79
2011-08-14,76
2011-08-15,72
2011-08-16,68
2011-08-17,65
2011-08-18,61
2011-08-19,58
2011-08-20,55
2011-08-21,55
2011-08-22,56
2011-08-23,57
2011-08-24,57
2011-08-25,58
2011-08-26,59
2011-08-27,60
2011-08-28,62
2011-09-04,76
2011-09-05,74
2011-09-06,71
2011-09-07,69
2011-09-08,66
2011-09-09,64
2011-09-10,62
2011-09-11,61
2011-09-12,60
2011-09-13,60
2011-09-14,59
2011-09-15,59
2011-09-16,58
2011-09-17,58
2011-09-18,59
2011-09-19,60
2011-09-20,61
2011-09-21,62
2011-09-22,63
2011-09-23,64
2011-09-24,65
2011-09-25,62
2011-09-26,58
2011-09-27,55
2011-09-28,52
2011-09-29,49
2011-09-30,46
2011-10-01,43
2011-10-02,44
2011-10-03,45
2011-10-04,47
2011-10-05,48
2011-10-06,50
2011-10-07,51
2011-10-08,53
2011-10-09,56
2011-10-10,59
2011-10-11,63
2011-10-12,66
2011-10-13,69
2011-10-14,73
2011-10-15,76
2011-10-16,73
2011-10-17,69
2011-10-18,66
2011-10-19,63
2011-10-20,59
2011-10-21,56
2011-10-22,53
2011-10-23,54
2011-10-24,54
2011-10-25,55
2011-10-26,56
2011-10-27,57
2011-10-28,58
2011-10-29,59
2011-10-30,59
2011-10-31,59
2011-11-01,60
2011-11-02,60
2011-11-03,61
2011-11-04,61
2011-11-05,62
2011-11-06,62
2011-11-07,62
2011-11-08,62
2011-11-09,62
2011-11-10,62
2011-11-11,62
2011-11-12,63
2011-11-13,60
2011-11-14,57
2011-11-15,54
2011-11-16,52
2011-11-17,49
2011-11-18,46
2011-11-19,44
2011-11-20,46
2011-11-21,49
2011-11-22,52
2011-11-23,55
2011-11-24,58
2011-11-25,61
2011-11-26,63
2011-11-27,62
2011-12-04,56
2011-12-05,60
2011-12-06,63
2011-12-07,66
2011-12-08,69
2011-12-09,71
2011-12-10,74
2011-12-11,73
2011-12-12,70
2011-12-13,68
2011-12-14,66
2011-12-15,64
2011-12-16,62
2011-12-17,61
2011-12-18,61
2011-12-19,62
2011-12-20,63
2011-12-21,64
2011-12-22,65
2011-12-23,66
2011-12-24,67
2011-12-25,69
2011-12-26,71
2011-12-27,73
2011-12-28,76
2011-12-29,78
2011-12-30,80
2011-12-31,83
2012-01-01,83
2012-01-02,84
2012-01-03,84
2012-01-04,84
2012-01-05,85
2012-01-06,85
2012-01-07,85
2012-01-08,85
2012-01-09,83
2012-01-10,82
2012-01-11,82
2012-01-12,81
2012-01-13,80
2012-01-14,80
2012-01-15,78
2012-01-16,76
2012-01-17,74
2012-01-18,72
2012-01-19,71
2012-01-20,69
2012-01-21,67
2012-01-22,65
2012-01-23,64
2012-01-24,62
2012-01-25,61
2012-01-26,59
2012-01-27,58
2012-01-28,57
2012-01-29,61
2012-01-30,67
2012-01-31,71
2012-02-01,76
2012-02-02,81
2012-02-03,86
2012-02-04,91
2012-02-05,89
2012-02-06,86
2012-02-07,84
2012-02-08,81
2012-02-09,79
2012-02-10,77
2012-02-11,75
2012-02-12,77
2012-02-13,79
2012-02-14,81
2012-02-15,83
2012-02-16,85
2012-02-17,87
2012-02-18,89
2012-02-19,82
2012-02-20,75
2012-02-21,68
2012-02-22,61
2012-02-23,54
2012-02-24,47
2012-02-25,41
2012-02-26,43
