Date,HD Supply
2013-07-19,68
2013-07-20,69
2013-07-21,69
2013-07-22,70
2013-07-23,70
2013-07-24,70
2013-07-25,71
2013-07-26,71
2013-07-27,72
2013-07-28,72
2013-07-29,72
2013-07-30,73
2013-07-31,73
2013-08-01,74
2013-08-02,74
2013-08-03,74
2013-08-04,74
2013-08-05,74
2013-08-06,74
2013-08-07,75
2013-08-08,75
2013-08-09,75
2013-08-10,75
2013-08-11,75
2013-08-12,76
2013-08-13,76
2013-08-14,76
2013-08-15,76
2013-08-16,76
2013-08-17,77
2013-08-18,77
2013-08-19,77
2013-08-20,77
2013-08-21,77
2013-08-22,78
2013-08-23,78
2013-08-24,78
2013-08-25,78
2013-08-26,78
2013-08-27,79
2013-08-28,79
2013-08-29,79
2013-08-30,79
2013-08-31,79
2013-09-01,80
2013-09-02,80
2013-09-03,81
2013-09-04,81
2013-09-05,82
2013-09-06,83
2013-09-07,83
2013-09-08,84
2013-09-09,85
2013-09-10,85
2013-09-11,86
2013-09-12,86
2013-09-13,87
2013-09-14,88
2013-09-15,88
2013-09-16,89
2013-09-17,90
2013-09-18,90
2013-09-19,91
2013-09-20,92
2013-09-21,92
2013-09-22,93
2013-09-23,93
2013-09-24,94
2013-09-25,95
2013-09-26,95
2013-09-27,96
2013-09-28,97
2013-09-29,97
2013-09-30,98
2013-10-01,99
2013-10-02,97
2013-10-03,96
2013-10-04,95
2013-10-05,93
2013-10-06,92
2013-10-07,91
2013-10-08,89
2013-10-09,88
2013-10-10,87
2013-10-11,86
2013-10-12,84
2013-10-13,83
2013-10-14,82
2013-10-15,80
2013-10-16,79
2013-10-17,78
2013-10-18,77
2013-10-19,75
2013-10-20,74
2013-10-21,73
2013-10-22,71
2013-10-23,70
2013-10-24,69
2013-10-25,68
2013-10-26,66
2013-10-27,65
2013-10-28,64
2013-10-29,62
2013-10-30,61
2013-10-31,60
2013-11-01,59
2013-11-02,59
2013-11-03,60
2013-11-04,60
2013-11-05,61
2013-11-06,61
2013-11-07,62
2013-11-08,62
2013-11-09,63
2013-11-10,63
2013-11-11,64
2013-11-12,64
2013-11-13,65
2013-11-14,65
2013-11-15,66
2013-11-16,66
2013-11-17,67
2013-11-18,67
2013-11-19,68
2013-11-20,68
2013-11-21,69
2013-11-22,69
2013-11-23,70
2013-11-24,70
2013-11-25,71
2013-11-26,71
2013-11-27,72
2013-11-28,72
2013-11-29,73
2013-11-30,73
2013-12-01,74
2013-12-02,74
2013-12-03,75
2013-12-04,75
2013-12-05,76
2013-12-06,76
2013-12-07,77
2013-12-08,77
2013-12-09,78
2013-12-10,78
2013-12-11,79
2013-12-12,79
2013-12-13,80
2013-12-14,80
2013-12-15,81
2013-12-16,81
2013-12-17,82
2013-12-18,82
2013-12-19,83
2013-12-20,83
2013-12-21,84
2013-12-22,84
2013-12-23,85
2013-12-24,85
2013-12-25,86
2013-12-26,86
2013-12-27,87
2013-12-28,87
2013-12-29,88
2013-12-30,88
2013-12-31,89
2014-01-01,90
