Date,Silvercrest
2014-01-19,76
2014-01-20,77
2014-01-21,79
2014-01-22,80
2014-01-23,81
2014-01-24,83
2014-01-25,84
2014-01-26,86
2014-01-27,87
2014-01-28,89
2014-01-29,90
2014-01-30,92
2014-01-31,93
2014-02-01,95
