Date,ComScore
2007-10-02,67
2007-10-03,67
2007-10-04,67
2007-10-05,67
2007-10-06,67
2007-10-07,67
2007-10-08,67
2007-10-09,67
2007-10-10,67
2007-10-11,67
2007-10-12,67
2007-10-13,67
2007-10-14,67
2007-10-15,67
2007-10-16,67
2007-10-17,67
2007-10-18,67
2007-10-19,67
2007-10-20,67
2007-10-21,67
2007-10-22,67
2007-10-23,67
2007-10-24,67
2007-10-25,67
2007-10-26,67
2007-10-27,67
2007-10-28,67
2007-10-29,67
2007-10-30,67
2007-10-31,67
2007-11-01,67
2007-11-02,67
2007-11-03,67
2007-11-04,67
2007-11-05,67
2007-11-06,67
2007-11-07,67
2007-11-08,67
2007-11-09,67
2007-11-10,67
2007-11-11,68
2007-11-12,68
2007-11-13,68
2007-11-14,68
2007-11-15,68
2007-11-16,68
2007-11-17,68
2007-11-18,68
2007-11-19,68
2007-11-20,68
2007-11-21,69
2007-11-22,69
2007-11-23,69
2007-11-24,69
2007-11-25,69
2007-11-26,69
2007-11-27,69
2007-11-28,69
2007-11-29,69
2007-11-30,69
2007-12-01,70
2007-12-02,70
2007-12-03,70
2007-12-04,70
2007-12-05,70
2007-12-06,70
2007-12-07,70
2007-12-08,70
2007-12-09,71
2007-12-10,71
2007-12-11,71
2007-12-12,71
2007-12-13,71
2007-12-14,71
2007-12-15,71
2007-12-16,71
2007-12-17,72
2007-12-18,72
2007-12-19,72
2007-12-20,72
2007-12-21,72
2007-12-22,72
2007-12-23,72
2007-12-24,72
2007-12-25,73
2007-12-26,73
2007-12-27,73
2007-12-28,73
2007-12-29,73
2007-12-30,73
2007-12-31,73
2008-01-01,74
2008-01-02,74
2008-01-03,74
2008-01-04,74
2008-01-05,74
2008-01-06,74
2008-01-07,74
2008-01-08,74
2008-01-09,74
2008-01-10,74
2008-01-11,74
2008-01-12,75
2008-01-13,75
2008-01-14,75
2008-01-15,75
2008-01-16,75
2008-01-17,75
2008-01-18,75
2008-01-19,75
2008-01-20,75
2008-01-21,75
2008-01-22,76
2008-01-23,76
2008-01-24,76
2008-01-25,76
2008-01-26,76
2008-01-27,76
2008-01-28,76
2008-01-29,76
2008-01-30,76
2008-01-31,76
2008-02-01,77
2008-02-02,76
2008-02-03,75
2008-02-04,74
2008-02-05,73
2008-02-06,73
2008-02-07,72
2008-02-08,71
2008-02-09,70
2008-02-10,69
2008-02-11,69
2008-02-12,68
2008-02-13,67
2008-02-14,66
2008-02-15,65
2008-02-16,65
2008-02-17,64
2008-02-18,63
2008-02-19,62
2008-02-20,61
2008-02-21,61
2008-02-22,60
2008-02-23,59
2008-02-24,58
2008-02-25,57
2008-02-26,57
2008-02-27,56
2008-02-28,55
2008-02-29,54
2008-03-01,54
2008-03-02,54
2008-03-03,54
2008-03-04,54
2008-03-05,54
2008-03-06,54
2008-03-07,54
2008-03-08,54
2008-03-09,54
2008-03-10,54
2008-03-11,54
2008-03-12,54
2008-03-13,54
2008-03-14,54
2008-03-15,54
2008-03-16,54
2008-03-17,54
2008-03-18,54
2008-03-19,54
2008-03-20,54
2008-03-21,54
2008-03-22,54
2008-03-23,54
2008-03-24,54
2008-03-25,54
2008-03-26,54
2008-03-27,54
2008-03-28,54
2008-03-29,54
2008-03-30,54
2008-03-31,54
2008-04-01,54
2008-04-02,54
2008-04-03,54
2008-04-04,54
2008-04-05,54
2008-04-06,54
2008-04-07,54
2008-04-08,54
2008-04-09,54
2008-04-10,54
2008-04-11,54
2008-04-12,54
2008-04-13,54
2008-04-14,54
2008-04-15,54
2008-04-16,54
2008-04-17,54
2008-04-18,54
2008-04-19,54
2008-04-20,54
2008-04-21,54
2008-04-22,54
2008-04-23,54
2008-04-24,54
2008-04-25,54
2008-04-26,54
2008-04-27,54
2008-04-28,54
2008-04-29,54
2008-04-30,54
2008-05-01,54
2008-05-02,54
2008-05-03,54
2008-05-04,54
2008-05-05,54
2008-05-06,54
2008-05-07,54
2008-05-08,54
2008-05-09,54
2008-05-10,54
2008-05-11,54
2008-05-12,54
2008-05-13,54
2008-05-14,54
2008-05-15,54
2008-05-16,54
2008-05-17,54
2008-05-18,54
2008-05-19,54
2008-05-20,54
2008-05-21,54
2008-05-22,54
2008-05-23,54
2008-05-24,54
2008-05-25,54
2008-05-26,54
2008-05-27,54
2008-05-28,54
2008-05-29,54
2008-05-30,54
2008-05-31,54
2008-06-01,54
2008-06-02,54
2008-06-03,54
2008-06-04,54
2008-06-05,54
2008-06-06,54
2008-06-07,54
2008-06-08,54
2008-06-09,54
2008-06-10,54
2008-06-11,54
2008-06-12,54
2008-06-13,54
2008-06-14,54
2008-06-15,54
2008-06-16,54
2008-06-17,54
2008-06-18,54
2008-06-19,54
2008-06-20,54
2008-06-21,54
2008-06-22,54
2008-06-23,54
2008-06-24,54
2008-06-25,54
2008-06-26,54
2008-06-27,54
2008-06-28,54
2008-06-29,54
2008-06-30,54
2008-07-01,54
2008-07-02,54
2008-07-03,54
2008-07-04,54
2008-07-05,54
2008-07-06,54
2008-07-07,54
2008-07-08,54
2008-07-09,54
2008-07-10,54
2008-07-11,54
2008-07-12,54
2008-07-13,54
2008-07-14,54
2008-07-15,54
2008-07-16,54
2008-07-17,54
2008-07-18,54
2008-07-19,54
2008-07-20,54
2008-07-21,54
2008-07-22,54
2008-07-23,54
2008-07-24,54
2008-07-25,54
2008-07-26,54
2008-07-27,54
2008-07-28,54
2008-07-29,54
2008-07-30,54
2008-07-31,54
2008-08-01,54
2008-08-02,52
2008-08-03,50
2008-08-04,48
2008-08-05,47
2008-08-06,45
2008-08-07,43
2008-08-08,41
2008-08-09,40
2008-08-10,38
2008-08-11,36
2008-08-12,34
2008-08-13,33
2008-08-14,31
2008-08-15,29
2008-08-16,27
2008-08-17,26
2008-08-18,24
2008-08-19,22
2008-08-20,20
2008-08-21,19
2008-08-22,17
2008-08-23,15
2008-08-24,13
2008-08-25,12
2008-08-26,10
2008-08-27,8
2008-08-28,6
2008-08-29,5
2008-08-30,3
2008-08-31,1
