Date,K12 Inc
2007-06-09,67
2007-06-10,64
2007-06-11,61
2007-06-12,59
2007-06-13,56
2007-06-14,53
2007-06-15,51
2007-06-16,48
2007-06-17,49
2007-06-18,50
2007-06-19,51
2007-06-20,51
2007-06-21,52
2007-06-22,53
2007-06-23,53
2007-06-24,52
2007-07-01,45
2007-07-02,45
2007-07-03,45
2007-07-04,45
2007-07-05,45
2007-07-06,45
2007-07-07,44
2007-07-08,43
2007-07-09,43
2007-07-10,42
2007-07-11,41
2007-07-12,40
2007-07-13,39
2007-07-14,38
2007-07-15,40
2007-07-16,41
2007-07-17,43
2007-07-18,45
2007-07-19,46
2007-07-20,48
2007-07-21,50
2007-07-22,52
2007-07-23,54
2007-07-24,56
2007-07-25,58
2007-07-26,60
2007-07-27,62
2007-07-28,63
2007-07-29,65
2007-07-30,67
2007-07-31,69
2007-08-01,71
2007-08-02,73
2007-08-03,74
2007-08-04,76
2007-08-05,76
2007-08-06,74
2007-08-07,74
2007-08-08,74
2007-08-09,73
2007-08-10,73
2007-08-11,72
2007-08-12,72
2007-08-13,73
2007-08-14,73
2007-08-15,73
2007-08-16,73
2007-08-17,73
2007-08-18,73
2007-08-19,72
2007-08-20,72
2007-08-21,72
2007-08-22,72
2007-08-23,72
2007-08-24,71
2007-08-25,71
2007-08-26,70
2007-08-27,69
2007-08-28,68
2007-08-29,66
2007-08-30,65
2007-08-31,63
2007-09-01,61
2007-09-02,59
2007-09-03,54
2007-09-04,52
2007-09-05,49
2007-09-06,47
2007-09-07,44
2007-09-08,42
2007-09-09,43
2007-09-10,45
2007-09-11,46
2007-09-12,47
2007-09-13,49
2007-09-14,50
2007-09-15,51
2007-09-16,52
2007-09-17,54
2007-09-18,54
2007-09-19,55
2007-09-20,56
2007-09-21,57
2007-09-22,57
2007-09-23,57
2007-09-24,54
2007-09-25,54
2007-09-26,53
2007-09-27,52
2007-09-28,51
2007-09-29,50
2007-09-30,52
2007-10-07,63
2007-10-08,62
2007-10-09,62
2007-10-10,61
2007-10-11,60
2007-10-12,60
2007-10-13,59
2007-10-14,58
2007-10-15,58
2007-10-16,57
2007-10-17,57
2007-10-18,56
2007-10-19,56
2007-10-20,55
2007-10-21,52
2007-10-22,47
2007-10-23,45
2007-10-24,42
2007-10-25,39
2007-10-26,36
2007-10-27,33
2007-10-28,37
2007-10-29,41
2007-10-30,45
2007-10-31,48
2007-11-01,52
2007-11-02,56
2007-11-03,60
2007-11-04,60
2007-11-05,60
2007-11-06,60
2007-11-07,60
2007-11-08,60
2007-11-09,60
2007-11-10,60
2007-11-11,60
2007-11-12,60
2007-11-13,60
2007-11-14,60
2007-11-15,60
2007-11-16,60
2007-11-17,60
2007-11-18,57
2007-11-19,52
2007-11-20,48
2007-11-21,45
2007-11-22,41
2007-11-23,38
2007-11-24,34
2007-11-25,38
2007-11-26,42
2007-11-27,45
2007-11-28,49
2007-11-29,52
2007-11-30,56
2007-12-01,59
2007-12-02,58
2007-12-03,57
2007-12-04,56
2007-12-05,55
2007-12-06,54
2007-12-07,53
2007-12-08,51
2007-12-09,51
2007-12-10,50
2007-12-11,50
2007-12-12,49
2007-12-13,49
2007-12-14,48
2007-12-15,48
2007-12-16,45
2007-12-17,42
2007-12-18,40
2007-12-19,37
2007-12-20,35
2007-12-21,32
2007-12-22,29
2007-12-23,29
2007-12-24,29
2007-12-25,29
2007-12-26,29
2007-12-27,29
2007-12-28,29
2007-12-29,29
2007-12-30,34
2008-01-06,62
2008-01-07,63
2008-01-08,65
2008-01-09,67
2008-01-10,69
2008-01-11,71
2008-01-12,73
2008-01-13,73
2008-01-14,73
2008-01-15,73
2008-01-16,72
2008-01-17,72
2008-01-18,71
2008-01-19,71
2008-01-20,69
2008-01-21,66
2008-01-22,64
2008-01-23,63
2008-01-24,61
2008-01-25,60
2008-01-26,58
2008-01-27,64
2008-01-28,70
2008-01-29,76
2008-01-30,82
2008-01-31,87
2008-02-01,93
2008-02-02,99
2008-02-03,97
2008-02-04,96
2008-02-05,94
2008-02-06,91
2008-02-07,89
2008-02-08,87
2008-02-09,84
2008-02-10,79
2008-02-11,70
2008-02-12,65
2008-02-13,60
2008-02-14,54
2008-02-15,49
2008-02-16,43
2008-02-17,47
2008-02-18,51
2008-02-19,54
2008-02-20,58
2008-02-21,62
2008-02-22,65
2008-02-23,69
2008-02-24,68
2008-02-25,66
2008-02-26,65
2008-02-27,64
2008-02-28,63
2008-02-29,62
2008-03-01,61
2008-03-02,62
2008-03-03,64
2008-03-04,65
2008-03-05,66
2008-03-06,67
2008-03-07,68
2008-03-08,70
2008-03-09,71
2008-03-10,73
2008-03-11,75
2008-03-12,76
2008-03-13,78
2008-03-14,80
2008-03-15,81
2008-03-16,76
2008-03-17,68
2008-03-18,63
2008-03-19,58
2008-03-20,54
2008-03-21,49
2008-03-22,44
2008-03-23,46
2008-03-24,49
2008-03-25,51
2008-03-26,53
2008-03-27,55
2008-03-28,57
2008-03-29,59
2008-03-30,60
2008-04-06,66
2008-04-07,67
2008-04-08,68
2008-04-09,69
2008-04-10,70
2008-04-11,71
2008-04-12,72
2008-04-13,71
2008-04-14,70
2008-04-15,68
2008-04-16,67
2008-04-17,65
2008-04-18,64
2008-04-19,62
2008-04-20,59
2008-04-21,56
2008-04-22,54
2008-04-23,51
2008-04-24,49
2008-04-25,46
2008-04-26,43
2008-04-27,43
2008-04-28,43
2008-04-29,43
2008-04-30,43
2008-05-01,42
2008-05-02,42
2008-05-03,42
2008-05-04,46
2008-05-05,51
2008-05-06,55
2008-05-07,59
2008-05-08,63
2008-05-09,67
2008-05-10,71
2008-05-11,70
2008-05-12,69
2008-05-13,67
2008-05-14,66
2008-05-15,65
2008-05-16,63
2008-05-17,62
2008-05-18,60
2008-05-19,58
2008-05-20,56
2008-05-21,54
2008-05-22,53
2008-05-23,51
2008-05-24,49
2008-05-25,49
2008-05-26,49
2008-05-27,50
2008-05-28,50
2008-05-29,50
2008-05-30,51
2008-05-31,51
2008-06-01,51
2008-06-02,51
2008-06-03,50
2008-06-04,50
2008-06-05,49
2008-06-06,49
2008-06-07,48
2008-06-08,50
2008-06-09,52
2008-06-10,53
2008-06-11,55
2008-06-12,57
2008-06-13,59
2008-06-14,61
2008-06-15,62
2008-06-16,65
2008-06-17,66
2008-06-18,68
2008-06-19,69
2008-06-20,70
2008-06-21,72
2008-06-22,69
2008-06-23,65
2008-06-24,62
2008-06-25,60
2008-06-26,57
2008-06-27,55
2008-06-28,52
2008-06-29,55
2008-07-06,67
2008-07-07,64
2008-07-08,61
2008-07-09,58
2008-07-10,55
2008-07-11,52
2008-07-12,49
2008-07-13,53
2008-07-14,57
2008-07-15,61
2008-07-16,66
2008-07-17,70
2008-07-18,74
2008-07-19,78
2008-07-20,77
2008-07-21,75
2008-07-22,74
2008-07-23,73
2008-07-24,72
2008-07-25,71
2008-07-26,70
2008-07-27,72
2008-07-28,76
2008-07-29,78
2008-07-30,81
2008-07-31,83
2008-08-01,86
2008-08-02,88
2008-08-03,85
2008-08-04,82
2008-08-05,79
2008-08-06,76
2008-08-07,73
2008-08-08,71
2008-08-09,68
2008-08-10,69
2008-08-11,69
2008-08-12,70
2008-08-13,71
2008-08-14,72
2008-08-15,73
2008-08-16,74
2008-08-17,72
2008-08-18,68
2008-08-19,67
2008-08-20,65
2008-08-21,63
2008-08-22,61
2008-08-23,59
2008-08-24,62
2008-08-25,67
2008-08-26,70
2008-08-27,74
2008-08-28,77
2008-08-29,81
2008-08-30,84
2008-08-31,82
2008-09-01,77
2008-09-02,74
2008-09-03,72
2008-09-04,70
2008-09-05,67
2008-09-06,65
2008-09-07,65
2008-09-08,66
2008-09-09,66
2008-09-10,66
2008-09-11,67
2008-09-12,67
2008-09-13,67
2008-09-14,69
2008-09-15,72
2008-09-16,74
2008-09-17,76
2008-09-18,78
2008-09-19,81
2008-09-20,83
2008-09-21,82
2008-09-22,80
2008-09-23,79
2008-09-24,78
2008-09-25,77
2008-09-26,76
2008-09-27,74
2008-09-28,72
2008-10-05,60
2008-10-06,61
2008-10-07,61
2008-10-08,61
2008-10-09,61
2008-10-10,61
2008-10-11,61
2008-10-12,59
2008-10-13,54
2008-10-14,52
2008-10-15,51
2008-10-16,49
2008-10-17,47
2008-10-18,46
2008-10-19,50
2008-10-20,55
2008-10-21,59
2008-10-22,63
2008-10-23,68
2008-10-24,72
2008-10-25,76
2008-10-26,75
2008-10-27,74
2008-10-28,73
2008-10-29,73
2008-10-30,72
2008-10-31,71
2008-11-01,70
2008-11-02,68
2008-11-03,64
2008-11-04,62
2008-11-05,59
2008-11-06,57
2008-11-07,55
2008-11-08,52
2008-11-09,53
2008-11-10,54
2008-11-11,56
2008-11-12,57
2008-11-13,58
2008-11-14,59
2008-11-15,60
2008-11-16,61
2008-11-17,62
2008-11-18,63
2008-11-19,64
2008-11-20,65
2008-11-21,65
2008-11-22,66
2008-11-23,64
2008-11-24,60
2008-11-25,58
2008-11-26,56
2008-11-27,53
2008-11-28,51
2008-11-29,48
2008-11-30,49
2008-12-01,51
2008-12-02,52
2008-12-03,54
2008-12-04,55
2008-12-05,56
2008-12-06,57
2008-12-07,56
2008-12-08,53
2008-12-09,52
2008-12-10,51
2008-12-11,49
2008-12-12,48
2008-12-13,47
2008-12-14,49
2008-12-15,51
2008-12-16,53
2008-12-17,55
2008-12-18,56
2008-12-19,58
2008-12-20,59
2008-12-21,56
2008-12-22,51
2008-12-23,47
2008-12-24,43
2008-12-25,39
2008-12-26,36
2008-12-27,32
2008-12-28,31
