Date,Ubiquiti Networks
2012-03-05,79
2012-03-06,80
2012-03-07,81
2012-03-08,81
2012-03-09,82
2012-03-10,83
2012-03-11,83
2012-03-12,84
2012-03-13,85
2012-03-14,85
2012-03-15,86
2012-03-16,87
2012-03-17,87
2012-03-18,88
2012-03-19,89
2012-03-20,89
2012-03-21,90
2012-03-22,91
2012-03-23,91
2012-03-24,92
2012-03-25,93
2012-03-26,93
2012-03-27,94
2012-03-28,95
2012-03-29,95
2012-03-30,96
2012-03-31,97
2012-04-01,98
2012-04-02,97
2012-04-03,97
2012-04-04,96
2012-04-05,96
2012-04-06,96
2012-04-07,95
2012-04-08,95
2012-04-09,95
2012-04-10,94
2012-04-11,94
2012-04-12,93
2012-04-13,93
2012-04-14,93
2012-04-15,92
2012-04-16,92
2012-04-17,92
2012-04-18,91
2012-04-19,91
2012-04-20,91
2012-04-21,90
2012-04-22,90
2012-04-23,89
2012-04-24,89
2012-04-25,89
2012-04-26,88
2012-04-27,88
2012-04-28,88
2012-04-29,87
2012-04-30,87
2012-05-01,87
2012-05-02,86
2012-05-03,86
2012-05-04,86
2012-05-05,86
2012-05-06,86
2012-05-07,86
2012-05-08,85
2012-05-09,85
2012-05-10,85
2012-05-11,85
2012-05-12,85
2012-05-13,85
2012-05-14,84
2012-05-15,84
2012-05-16,84
2012-05-17,84
2012-05-18,84
2012-05-19,84
2012-05-20,83
2012-05-21,83
2012-05-22,83
2012-05-23,83
2012-05-24,83
2012-05-25,83
2012-05-26,82
2012-05-27,82
2012-05-28,82
2012-05-29,82
2012-05-30,82
2012-05-31,82
2012-06-01,82
2012-06-02,82
2012-06-03,82
2012-06-04,82
2012-06-05,82
2012-06-06,82
2012-06-07,82
2012-06-08,82
2012-06-09,82
2012-06-10,82
2012-06-11,82
2012-06-12,82
2012-06-13,82
2012-06-14,82
2012-06-15,82
2012-06-16,82
2012-06-17,82
2012-06-18,82
2012-06-19,82
2012-06-20,82
2012-06-21,82
2012-06-22,82
2012-06-23,82
2012-06-24,82
2012-06-25,82
2012-06-26,82
2012-06-27,82
2012-06-28,82
2012-06-29,82
2012-06-30,82
2012-07-01,83
2012-07-02,83
2012-07-03,84
2012-07-04,84
2012-07-05,85
2012-07-06,85
2012-07-07,86
2012-07-08,86
2012-07-09,87
2012-07-10,87
2012-07-11,88
2012-07-12,89
2012-07-13,89
2012-07-14,90
2012-07-15,90
2012-07-16,91
2012-07-17,91
2012-07-18,92
2012-07-19,92
2012-07-20,93
2012-07-21,93
2012-07-22,94
2012-07-23,95
2012-07-24,95
2012-07-25,96
2012-07-26,96
2012-07-27,97
2012-07-28,97
2012-07-29,98
2012-07-30,98
2012-07-31,99
2012-08-01,100
2012-08-02,98
2012-08-03,97
2012-08-04,96
2012-08-05,95
2012-08-06,94
2012-08-07,93
2012-08-08,91
2012-08-09,90
2012-08-10,89
2012-08-11,88
2012-08-12,87
2012-08-13,86
2012-08-14,84
2012-08-15,83
2012-08-16,82
2012-08-17,81
2012-08-18,80
2012-08-19,79
2012-08-20,77
2012-08-21,76
2012-08-22,75
2012-08-23,74
2012-08-24,73
2012-08-25,72
2012-08-26,70
2012-08-27,69
2012-08-28,68
2012-08-29,67
2012-08-30,66
2012-08-31,65
2012-09-01,64
2012-09-02,65
2012-09-03,66
2012-09-04,67
2012-09-05,68
2012-09-06,69
2012-09-07,70
2012-09-08,71
2012-09-09,72
2012-09-10,73
2012-09-11,75
2012-09-12,76
2012-09-13,77
2012-09-14,78
2012-09-15,79
2012-09-16,80
2012-09-17,81
2012-09-18,82
2012-09-19,83
2012-09-20,84
2012-09-21,86
2012-09-22,87
2012-09-23,88
2012-09-24,89
2012-09-25,90
2012-09-26,91
2012-09-27,92
2012-09-28,93
2012-09-29,94
2012-09-30,95
2012-10-01,97
2012-10-02,96
2012-10-03,95
2012-10-04,95
2012-10-05,94
2012-10-06,94
2012-10-07,93
2012-10-08,93
2012-10-09,92
2012-10-10,92
2012-10-11,91
2012-10-12,90
2012-10-13,90
2012-10-14,89
2012-10-15,89
2012-10-16,88
2012-10-17,88
2012-10-18,87
2012-10-19,87
2012-10-20,86
2012-10-21,86
2012-10-22,85
2012-10-23,84
2012-10-24,84
2012-10-25,83
2012-10-26,83
2012-10-27,82
2012-10-28,82
2012-10-29,81
2012-10-30,81
2012-10-31,80
2012-11-01,80
2012-11-02,80
2012-11-03,81
2012-11-04,81
2012-11-05,82
2012-11-06,82
2012-11-07,83
2012-11-08,83
2012-11-09,84
2012-11-10,84
2012-11-11,85
2012-11-12,85
2012-11-13,86
2012-11-14,86
2012-11-15,87
2012-11-16,87
2012-11-17,88
2012-11-18,88
2012-11-19,89
2012-11-20,89
2012-11-21,90
2012-11-22,90
2012-11-23,91
2012-11-24,91
2012-11-25,92
2012-11-26,92
2012-11-27,93
2012-11-28,93
2012-11-29,94
2012-11-30,94
