Date,Regional Management
2012-01-05,68
2012-01-06,69
2012-01-07,70
2012-01-08,71
2012-01-09,73
2012-01-10,74
2012-01-11,75
2012-01-12,76
2012-01-13,77
2012-01-14,78
2012-01-15,79
2012-01-16,80
2012-01-17,82
2012-01-18,83
2012-01-19,84
2012-01-20,85
2012-01-21,86
2012-01-22,87
2012-01-23,88
2012-01-24,89
2012-01-25,91
2012-01-26,92
2012-01-27,93
2012-01-28,94
2012-01-29,95
2012-01-30,96
2012-01-31,97
2012-02-01,99
2012-02-02,97
2012-02-03,96
2012-02-04,95
2012-02-05,94
2012-02-06,92
2012-02-07,91
2012-02-08,90
2012-02-09,89
2012-02-10,87
2012-02-11,86
2012-02-12,85
2012-02-13,84
2012-02-14,82
2012-02-15,81
2012-02-16,80
2012-02-17,79
2012-02-18,77
2012-02-19,76
2012-02-20,75
2012-02-21,74
2012-02-22,72
2012-02-23,71
2012-02-24,70
2012-02-25,69
2012-02-26,67
2012-02-27,66
2012-02-28,65
2012-02-29,64
2012-03-01,63
2012-03-02,62
2012-03-03,62
2012-03-04,62
2012-03-05,61
2012-03-06,61
2012-03-07,61
2012-03-08,60
2012-03-09,60
2012-03-10,60
2012-03-11,59
2012-03-12,59
2012-03-13,59
2012-03-14,58
2012-03-15,58
2012-03-16,58
2012-03-17,57
2012-03-18,57
2012-03-19,57
2012-03-20,56
2012-03-21,56
2012-03-22,56
2012-03-23,55
2012-03-24,55
2012-03-25,55
2012-03-26,54
2012-03-27,54
2012-03-28,54
2012-03-29,53
2012-03-30,53
2012-03-31,53
2012-04-01,53
2012-04-02,53
2012-04-03,54
2012-04-04,55
2012-04-05,56
2012-04-06,57
2012-04-07,58
2012-04-08,59
2012-04-09,59
2012-04-10,60
2012-04-11,61
2012-04-12,62
2012-04-13,63
2012-04-14,64
2012-04-15,65
2012-04-16,66
2012-04-17,66
2012-04-18,67
2012-04-19,68
2012-04-20,69
2012-04-21,70
2012-04-22,71
2012-04-23,72
2012-04-24,72
2012-04-25,73
2012-04-26,74
2012-04-27,75
2012-04-28,76
2012-04-29,77
2012-04-30,78
2012-05-01,79
2012-05-02,78
2012-05-03,77
2012-05-04,76
2012-05-05,75
2012-05-06,75
2012-05-07,74
2012-05-08,73
2012-05-09,72
2012-05-10,72
2012-05-11,71
2012-05-12,70
2012-05-13,69
2012-05-14,68
2012-05-15,68
2012-05-16,67
2012-05-17,66
2012-05-18,65
2012-05-19,65
2012-05-20,64
2012-05-21,63
2012-05-22,62
2012-05-23,61
2012-05-24,61
2012-05-25,60
2012-05-26,59
2012-05-27,58
2012-05-28,58
2012-05-29,57
2012-05-30,56
2012-05-31,55
2012-06-01,55
2012-06-02,55
2012-06-03,56
2012-06-04,57
2012-06-05,57
2012-06-06,58
2012-06-07,59
2012-06-08,59
2012-06-09,60
2012-06-10,61
2012-06-11,61
2012-06-12,62
2012-06-13,63
2012-06-14,63
2012-06-15,64
2012-06-16,65
2012-06-17,65
2012-06-18,66
2012-06-19,67
2012-06-20,67
2012-06-21,68
2012-06-22,69
2012-06-23,69
2012-06-24,70
2012-06-25,71
2012-06-26,71
2012-06-27,72
2012-06-28,73
2012-06-29,73
2012-06-30,74
2012-07-01,75
2012-07-02,74
2012-07-03,74
2012-07-04,74
2012-07-05,73
2012-07-06,73
2012-07-07,73
2012-07-08,73
2012-07-09,72
2012-07-10,72
2012-07-11,72
2012-07-12,72
2012-07-13,71
2012-07-14,71
2012-07-15,71
2012-07-16,71
2012-07-17,70
2012-07-18,70
2012-07-19,70
2012-07-20,70
2012-07-21,69
2012-07-22,69
2012-07-23,69
2012-07-24,69
2012-07-25,68
2012-07-26,68
2012-07-27,68
2012-07-28,68
2012-07-29,67
2012-07-30,67
2012-07-31,67
2012-08-01,67
2012-08-02,67
2012-08-03,67
2012-08-04,68
2012-08-05,68
2012-08-06,68
2012-08-07,69
2012-08-08,69
2012-08-09,70
2012-08-10,70
2012-08-11,70
2012-08-12,71
2012-08-13,71
2012-08-14,72
2012-08-15,72
2012-08-16,72
2012-08-17,73
2012-08-18,73
2012-08-19,73
2012-08-20,74
2012-08-21,74
2012-08-22,75
2012-08-23,75
2012-08-24,75
2012-08-25,76
2012-08-26,76
2012-08-27,77
2012-08-28,77
2012-08-29,77
2012-08-30,78
2012-08-31,78
2012-09-01,79
2012-09-02,78
2012-09-03,77
2012-09-04,77
2012-09-05,76
2012-09-06,75
2012-09-07,75
2012-09-08,74
2012-09-09,73
2012-09-10,73
2012-09-11,72
2012-09-12,72
2012-09-13,71
2012-09-14,70
2012-09-15,70
2012-09-16,69
2012-09-17,68
2012-09-18,68
2012-09-19,67
2012-09-20,66
2012-09-21,66
2012-09-22,65
2012-09-23,65
2012-09-24,64
2012-09-25,63
2012-09-26,63
2012-09-27,62
2012-09-28,61
2012-09-29,61
2012-09-30,60
2012-10-01,60
2012-10-02,59
2012-10-03,58
2012-10-04,58
2012-10-05,57
2012-10-06,57
2012-10-07,56
2012-10-08,55
2012-10-09,55
2012-10-10,54
2012-10-11,54
2012-10-12,53
2012-10-13,53
2012-10-14,52
2012-10-15,51
2012-10-16,51
2012-10-17,50
2012-10-18,50
2012-10-19,49
2012-10-20,48
2012-10-21,48
2012-10-22,47
2012-10-23,47
2012-10-24,46
2012-10-25,46
2012-10-26,45
2012-10-27,44
2012-10-28,44
2012-10-29,43
2012-10-30,43
2012-10-31,42
