Date,Guidewire Software
2011-09-07,53
2011-09-08,51
2011-09-09,50
2011-09-10,49
2011-09-11,48
2011-09-12,47
2011-09-13,46
2011-09-14,44
2011-09-15,43
2011-09-16,42
2011-09-17,41
2011-09-18,40
2011-09-19,39
2011-09-20,37
2011-09-21,36
2011-09-22,35
2011-09-23,34
2011-09-24,33
2011-09-25,32
2011-09-26,30
2011-09-27,29
2011-09-28,28
2011-09-29,27
2011-09-30,26
2011-10-01,25
2011-10-02,25
2011-10-03,25
2011-10-04,25
2011-10-05,26
2011-10-06,26
2011-10-07,26
2011-10-08,26
2011-10-09,27
2011-10-10,27
2011-10-11,27
2011-10-12,27
2011-10-13,28
2011-10-14,28
2011-10-15,28
2011-10-16,28
2011-10-17,29
2011-10-18,29
2011-10-19,29
2011-10-20,29
2011-10-21,30
2011-10-22,30
2011-10-23,30
2011-10-24,30
2011-10-25,31
2011-10-26,31
2011-10-27,31
2011-10-28,31
2011-10-29,32
2011-10-30,32
2011-10-31,32
2011-11-01,33
2011-11-02,32
2011-11-03,32
2011-11-04,32
2011-11-05,32
2011-11-06,32
2011-11-07,32
2011-11-08,32
2011-11-09,32
2011-11-10,32
2011-11-11,32
2011-11-12,31
2011-11-13,31
2011-11-14,31
2011-11-15,31
2011-11-16,31
2011-11-17,31
2011-11-18,31
2011-11-19,31
2011-11-20,31
2011-11-21,31
2011-11-22,30
2011-11-23,30
2011-11-24,30
2011-11-25,30
2011-11-26,30
2011-11-27,30
2011-11-28,30
2011-11-29,30
2011-11-30,30
2011-12-01,30
2011-12-02,32
2011-12-03,34
2011-12-04,36
2011-12-05,39
2011-12-06,41
2011-12-07,43
2011-12-08,45
2011-12-09,48
2011-12-10,50
2011-12-11,52
2011-12-12,54
2011-12-13,57
2011-12-14,59
2011-12-15,61
2011-12-16,63
2011-12-17,66
2011-12-18,68
2011-12-19,70
2011-12-20,72
2011-12-21,75
2011-12-22,77
2011-12-23,79
2011-12-24,81
2011-12-25,84
2011-12-26,86
2011-12-27,88
2011-12-28,90
2011-12-29,93
2011-12-30,95
2011-12-31,97
2012-01-01,100
2012-01-02,99
2012-01-03,98
2012-01-04,97
2012-01-05,96
2012-01-06,96
2012-01-07,95
2012-01-08,94
2012-01-09,93
2012-01-10,93
2012-01-11,92
2012-01-12,91
2012-01-13,90
2012-01-14,89
2012-01-15,89
2012-01-16,88
2012-01-17,87
2012-01-18,86
2012-01-19,86
2012-01-20,85
2012-01-21,84
2012-01-22,83
2012-01-23,82
2012-01-24,82
2012-01-25,81
2012-01-26,80
2012-01-27,79
2012-01-28,79
2012-01-29,78
2012-01-30,77
2012-01-31,76
2012-02-01,76
2012-02-02,75
2012-02-03,74
2012-02-04,73
2012-02-05,73
2012-02-06,72
2012-02-07,71
2012-02-08,71
2012-02-09,70
2012-02-10,69
2012-02-11,69
2012-02-12,68
2012-02-13,67
2012-02-14,67
2012-02-15,66
2012-02-16,65
2012-02-17,64
2012-02-18,64
2012-02-19,63
2012-02-20,62
2012-02-21,62
2012-02-22,61
2012-02-23,60
2012-02-24,60
2012-02-25,59
2012-02-26,58
2012-02-27,58
2012-02-28,57
2012-02-29,56
2012-03-01,56
2012-03-02,55
2012-03-03,54
2012-03-04,53
2012-03-05,53
2012-03-06,52
2012-03-07,51
2012-03-08,51
2012-03-09,50
2012-03-10,49
2012-03-11,49
2012-03-12,48
2012-03-13,47
2012-03-14,47
2012-03-15,46
2012-03-16,45
2012-03-17,45
2012-03-18,44
2012-03-19,43
2012-03-20,43
2012-03-21,42
2012-03-22,41
2012-03-23,41
2012-03-24,40
2012-03-25,39
2012-03-26,39
2012-03-27,38
2012-03-28,37
2012-03-29,37
2012-03-30,36
2012-03-31,35
2012-04-01,35
2012-04-02,34
2012-04-03,34
2012-04-04,34
2012-04-05,33
2012-04-06,33
2012-04-07,33
2012-04-08,32
2012-04-09,32
2012-04-10,32
2012-04-11,32
2012-04-12,31
2012-04-13,31
2012-04-14,31
2012-04-15,30
2012-04-16,30
2012-04-17,30
2012-04-18,29
2012-04-19,29
2012-04-20,29
2012-04-21,29
2012-04-22,28
2012-04-23,28
2012-04-24,28
2012-04-25,27
2012-04-26,27
2012-04-27,27
2012-04-28,26
2012-04-29,26
2012-04-30,26
2012-05-01,26
2012-05-02,26
2012-05-03,27
2012-05-04,28
2012-05-05,28
2012-05-06,29
2012-05-07,30
2012-05-08,30
2012-05-09,31
2012-05-10,32
2012-05-11,32
2012-05-12,33
2012-05-13,34
2012-05-14,34
2012-05-15,35
2012-05-16,36
2012-05-17,36
2012-05-18,37
2012-05-19,38
2012-05-20,38
2012-05-21,39
2012-05-22,40
2012-05-23,40
2012-05-24,41
2012-05-25,42
2012-05-26,42
2012-05-27,43
2012-05-28,44
2012-05-29,44
2012-05-30,45
2012-05-31,46
2012-06-01,47
2012-06-02,47
2012-06-03,47
2012-06-04,47
2012-06-05,47
2012-06-06,47
2012-06-07,47
2012-06-08,47
2012-06-09,48
2012-06-10,48
2012-06-11,48
2012-06-12,48
2012-06-13,48
2012-06-14,48
2012-06-15,48
2012-06-16,49
2012-06-17,49
2012-06-18,49
2012-06-19,49
2012-06-20,49
2012-06-21,49
2012-06-22,49
2012-06-23,49
2012-06-24,50
2012-06-25,50
2012-06-26,50
2012-06-27,50
2012-06-28,50
2012-06-29,50
2012-06-30,50
2012-07-01,51
2012-07-02,50
2012-07-03,49
2012-07-04,48
2012-07-05,47
2012-07-06,47
2012-07-07,46
2012-07-08,45
2012-07-09,44
2012-07-10,44
2012-07-11,43
2012-07-12,42
2012-07-13,41
2012-07-14,40
2012-07-15,40
2012-07-16,39
2012-07-17,38
2012-07-18,37
2012-07-19,37
2012-07-20,36
2012-07-21,35
2012-07-22,34
2012-07-23,33
2012-07-24,33
2012-07-25,32
2012-07-26,31
2012-07-27,30
2012-07-28,30
2012-07-29,29
2012-07-30,28
2012-07-31,27
2012-08-01,27
2012-08-02,28
2012-08-03,29
2012-08-04,30
2012-08-05,31
2012-08-06,32
2012-08-07,33
2012-08-08,34
2012-08-09,35
2012-08-10,36
2012-08-11,37
2012-08-12,39
2012-08-13,40
2012-08-14,41
2012-08-15,42
2012-08-16,43
2012-08-17,44
2012-08-18,45
2012-08-19,46
2012-08-20,47
2012-08-21,48
2012-08-22,50
2012-08-23,51
2012-08-24,52
2012-08-25,53
2012-08-26,54
2012-08-27,55
2012-08-28,56
2012-08-29,57
2012-08-30,58
2012-08-31,59
2012-09-01,61
2012-09-02,60
2012-09-03,59
2012-09-04,58
2012-09-05,57
2012-09-06,57
2012-09-07,56
2012-09-08,55
2012-09-09,54
2012-09-10,53
2012-09-11,53
2012-09-12,52
2012-09-13,51
2012-09-14,50
2012-09-15,49
2012-09-16,49
2012-09-17,48
2012-09-18,47
2012-09-19,46
2012-09-20,45
2012-09-21,45
2012-09-22,44
2012-09-23,43
2012-09-24,42
2012-09-25,41
2012-09-26,41
2012-09-27,40
2012-09-28,39
2012-09-29,38
2012-09-30,37
2012-10-01,37
2012-10-02,37
2012-10-03,38
2012-10-04,39
2012-10-05,40
2012-10-06,41
2012-10-07,42
2012-10-08,43
2012-10-09,44
2012-10-10,45
2012-10-11,46
2012-10-12,47
2012-10-13,48
2012-10-14,49
2012-10-15,50
2012-10-16,51
2012-10-17,52
2012-10-18,53
2012-10-19,54
2012-10-20,55
2012-10-21,56
2012-10-22,57
2012-10-23,58
2012-10-24,59
2012-10-25,60
2012-10-26,61
2012-10-27,62
2012-10-28,63
2012-10-29,64
2012-10-30,65
2012-10-31,66
2012-11-01,67
2012-11-02,66
2012-11-03,65
2012-11-04,64
2012-11-05,63
2012-11-06,63
2012-11-07,62
2012-11-08,61
2012-11-09,60
2012-11-10,60
2012-11-11,59
2012-11-12,58
2012-11-13,57
2012-11-14,57
2012-11-15,56
2012-11-16,55
2012-11-17,54
2012-11-18,53
2012-11-19,53
2012-11-20,52
2012-11-21,51
2012-11-22,50
2012-11-23,50
2012-11-24,49
2012-11-25,48
2012-11-26,47
2012-11-27,47
2012-11-28,46
2012-11-29,45
2012-11-30,44
2012-12-01,44
2012-12-02,43
2012-12-03,43
2012-12-04,42
2012-12-05,42
2012-12-06,42
2012-12-07,41
2012-12-08,41
2012-12-09,41
2012-12-10,40
2012-12-11,40
2012-12-12,40
2012-12-13,39
2012-12-14,39
2012-12-15,39
2012-12-16,38
2012-12-17,38
2012-12-18,37
2012-12-19,37
2012-12-20,37
2012-12-21,36
2012-12-22,36
2012-12-23,36
2012-12-24,35
2012-12-25,35
2012-12-26,35
2012-12-27,34
2012-12-28,34
2012-12-29,34
2012-12-30,33
2012-12-31,33
2013-01-01,33
2013-01-02,33
2013-01-03,34
2013-01-04,35
2013-01-05,36
2013-01-06,37
2013-01-07,38
2013-01-08,39
2013-01-09,40
2013-01-10,41
2013-01-11,42
2013-01-12,42
2013-01-13,43
2013-01-14,44
2013-01-15,45
2013-01-16,46
2013-01-17,47
2013-01-18,48
2013-01-19,49
2013-01-20,50
2013-01-21,51
2013-01-22,51
2013-01-23,52
2013-01-24,53
2013-01-25,54
2013-01-26,55
2013-01-27,56
2013-01-28,57
2013-01-29,58
2013-01-30,59
2013-01-31,60
2013-02-01,61
