Date,Higher One
2011-04-24,32
2011-04-25,31
2011-04-26,30
2011-04-27,28
2011-04-28,27
2011-04-29,25
2011-04-30,24
2011-05-01,26
2011-05-02,27
2011-05-03,29
2011-05-04,31
2011-05-05,32
2011-05-06,34
2011-05-07,36
2011-05-08,36
2011-05-09,38
2011-05-10,35
2011-05-11,36
2011-05-12,36
2011-05-13,36
2011-05-14,36
2011-05-15,36
2011-05-16,36
2011-05-17,36
2011-05-18,36
2011-05-19,38
2011-05-20,37
2011-05-21,37
2011-05-22,38
2011-05-23,39
2011-05-24,40
2011-05-25,41
2011-05-26,42
2011-05-27,44
2011-05-28,45
2011-05-29,43
2011-05-30,42
2011-05-31,41
2011-06-01,40
2011-06-02,39
2011-06-03,38
2011-06-04,37
2011-06-05,39
2011-06-06,41
2011-06-07,41
2011-06-08,45
2011-06-09,45
2011-06-10,49
2011-06-11,52
2011-06-12,51
2011-06-13,51
2011-06-14,51
2011-06-15,54
2011-06-16,53
2011-06-17,53
2011-06-18,54
2011-06-19,54
2011-06-20,54
2011-06-21,54
2011-06-22,51
2011-06-23,56
2011-06-24,52
2011-06-25,56
2011-06-26,54
2011-06-27,54
2011-06-28,56
2011-06-29,54
2011-06-30,53
2011-07-01,53
2011-07-02,53
2011-07-03,53
2011-07-04,53
2011-07-05,52
2011-07-06,53
2011-07-07,54
2011-07-08,51
2011-07-09,51
2011-07-10,50
2011-07-11,53
2011-07-12,47
2011-07-13,47
2011-07-14,53
2011-07-15,48
2011-07-16,47
2011-07-17,46
2011-07-18,45
2011-07-19,43
2011-07-20,42
2011-07-21,40
2011-07-22,39
2011-07-23,37
2011-07-24,38
2011-07-25,38
2011-07-26,39
2011-07-27,40
2011-07-28,40
2011-07-29,41
2011-07-30,42
2011-07-31,42
2011-08-01,42
2011-08-02,42
2011-08-03,42
2011-08-04,42
2011-08-05,40
2011-08-06,41
2011-08-07,42
2011-08-08,43
2011-08-09,46
2011-08-10,45
2011-08-11,46
2011-08-12,49
2011-08-13,49
2011-08-14,50
2011-08-15,51
2011-08-16,48
2011-08-17,55
2011-08-18,51
2011-08-19,61
2011-08-20,55
2011-08-21,57
2011-08-22,58
2011-08-23,59
2011-08-24,68
2011-08-25,64
2011-08-26,51
2011-08-27,65
2011-08-28,67
2011-08-29,69
2011-08-30,80
2011-08-31,77
