Date,Performant Financial
2013-07-27,0
2013-07-28,0
2013-07-29,0
2013-07-30,0
2013-07-31,0
2013-08-01,0
2013-08-02,0
2013-08-03,0
2013-08-04,0
2013-08-05,0
2013-08-06,0
2013-08-07,0
2013-08-08,0
2013-08-09,0
2013-08-10,0
2013-08-11,0
2013-08-12,0
2013-08-13,0
2013-08-14,0
2013-08-15,0
2013-08-16,0
2013-08-17,0
2013-08-18,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,0
2013-08-23,0
2013-08-24,0
2013-08-25,0
2013-08-26,0
2013-08-27,0
2013-08-28,0
2013-08-29,0
2013-08-30,0
2013-08-31,0
2013-09-01,0
2013-09-02,0
2013-09-03,0
2013-09-04,0
2013-09-05,0
2013-09-06,0
2013-09-07,0
2013-09-08,0
2013-09-09,0
2013-09-10,0
2013-09-11,0
2013-09-12,0
2013-09-13,0
2013-09-14,0
2013-09-15,0
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,0
2013-09-20,0
2013-09-21,0
2013-09-22,0
2013-09-23,0
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-28,0
2013-09-29,0
2013-09-30,0
2013-10-01,0
2013-10-02,1
2013-10-03,2
2013-10-04,4
2013-10-05,5
2013-10-06,6
2013-10-07,8
2013-10-08,9
2013-10-09,10
2013-10-10,12
2013-10-11,13
2013-10-12,14
2013-10-13,16
2013-10-14,17
2013-10-15,18
2013-10-16,20
2013-10-17,21
2013-10-18,23
2013-10-19,24
2013-10-20,25
2013-10-21,27
2013-10-22,28
2013-10-23,29
2013-10-24,31
2013-10-25,32
2013-10-26,33
2013-10-27,35
2013-10-28,36
2013-10-29,37
2013-10-30,39
2013-10-31,40
2013-11-01,42
2013-11-02,40
2013-11-03,39
2013-11-04,37
2013-11-05,36
2013-11-06,35
2013-11-07,33
2013-11-08,32
2013-11-09,30
2013-11-10,29
2013-11-11,28
2013-11-12,26
2013-11-13,25
2013-11-14,23
2013-11-15,22
2013-11-16,21
2013-11-17,19
2013-11-18,18
2013-11-19,16
2013-11-20,15
2013-11-21,14
2013-11-22,12
2013-11-23,11
2013-11-24,9
2013-11-25,8
2013-11-26,7
2013-11-27,5
2013-11-28,4
2013-11-29,2
2013-11-30,1
