Date,Health Insurance Innovations
2013-11-13,58
2013-11-14,57
2013-11-15,56
2013-11-16,55
2013-11-17,54
2013-11-18,53
2013-11-19,52
2013-11-20,51
2013-11-21,51
2013-11-22,50
2013-11-23,49
2013-11-24,48
2013-11-25,47
2013-11-26,46
2013-11-27,45
2013-11-28,44
2013-11-29,43
2013-11-30,42
2013-12-01,42
2013-12-02,42
2013-12-03,43
2013-12-04,44
2013-12-05,45
2013-12-06,46
2013-12-07,46
2013-12-08,47
2013-12-09,48
2013-12-10,49
2013-12-11,50
2013-12-12,50
2013-12-13,51
2013-12-14,52
2013-12-15,53
2013-12-16,54
2013-12-17,54
2013-12-18,55
2013-12-19,56
2013-12-20,57
2013-12-21,58
2013-12-22,58
2013-12-23,59
2013-12-24,60
2013-12-25,61
2013-12-26,62
2013-12-27,62
2013-12-28,63
2013-12-29,64
2013-12-30,65
2013-12-31,66
2014-01-01,67
2014-01-02,66
2014-01-03,66
2014-01-04,65
2014-01-05,65
2014-01-06,64
2014-01-07,64
2014-01-08,64
2014-01-09,63
2014-01-10,63
2014-01-11,62
2014-01-12,62
2014-01-13,61
2014-01-14,61
2014-01-15,61
2014-01-16,60
2014-01-17,60
2014-01-18,59
2014-01-19,59
2014-01-20,59
2014-01-21,58
2014-01-22,58
2014-01-23,57
2014-01-24,57
2014-01-25,56
2014-01-26,56
2014-01-27,56
2014-01-28,55
2014-01-29,55
2014-01-30,54
2014-01-31,54
2014-02-01,54
