Date,JP Morgan Securities
2011-03-27,75
2011-03-28,71
2011-03-29,72
2011-03-30,72
2011-03-31,75
2011-04-01,73
2011-04-02,80
2011-04-03,75
2011-04-04,76
2011-04-05,80
2011-04-06,79
2011-04-07,84
2011-04-08,82
2011-04-09,91
2011-04-10,88
2011-04-11,88
2011-04-12,92
2011-04-13,93
2011-04-14,101
2011-04-15,102
2011-04-16,103
2011-04-17,96
2011-04-18,92
2011-04-19,89
2011-04-20,86
2011-04-21,83
2011-04-22,79
2011-04-23,83
2011-04-24,75
2011-04-25,75
2011-04-26,75
2011-04-27,78
2011-04-28,76
2011-04-29,77
2011-04-30,86
2011-05-01,73
2011-05-02,70
2011-05-03,68
2011-05-04,63
2011-05-05,60
2011-05-06,58
2011-05-07,54
2011-05-08,56
2011-05-09,58
2011-05-10,61
2011-05-11,70
2011-05-12,64
2011-05-13,66
2011-05-14,74
2011-05-15,73
2011-05-16,68
2011-05-17,68
2011-05-18,67
2011-05-19,67
2011-05-20,72
2011-05-21,72
2011-05-22,66
2011-05-23,66
2011-05-24,66
2011-05-25,65
2011-05-26,65
2011-05-27,65
2011-05-28,75
2011-05-29,62
2011-05-30,59
2011-05-31,56
2011-06-01,53
2011-06-02,52
2011-06-03,47
2011-06-04,45
2011-06-05,46
2011-06-06,48
2011-06-07,54
2011-06-08,52
2011-06-09,54
2011-06-10,56
2011-06-11,59
2011-06-12,58
2011-06-13,58
2011-06-14,58
2011-06-15,58
2011-06-16,58
2011-06-17,60
2011-06-18,59
2011-06-19,57
2011-06-20,57
2011-06-21,56
2011-06-22,56
2011-06-23,56
2011-06-24,60
2011-06-25,55
2011-06-26,58
2011-06-27,55
2011-06-28,55
2011-06-29,58
2011-06-30,55
2011-07-01,58
2011-07-02,55
2011-07-03,56
2011-07-04,58
2011-07-05,59
2011-07-06,61
2011-07-07,62
2011-07-08,68
2011-07-09,72
2011-07-10,67
2011-07-11,68
2011-07-12,70
2011-07-13,74
2011-07-14,73
2011-07-15,81
2011-07-16,80
2011-07-17,78
2011-07-18,74
2011-07-19,73
2011-07-20,72
2011-07-21,76
2011-07-22,71
2011-07-23,73
2011-07-24,68
2011-07-25,67
2011-07-26,66
2011-07-27,66
2011-07-28,64
2011-07-29,67
2011-07-30,65
2011-07-31,62
2011-08-01,63
2011-08-02,63
2011-08-03,66
2011-08-04,64
2011-08-05,67
2011-08-06,68
2011-08-07,68
2011-08-08,69
2011-08-09,71
2011-08-10,78
2011-08-11,75
2011-08-12,78
2011-08-13,87
2011-08-14,75
2011-08-15,72
2011-08-16,69
2011-08-17,67
2011-08-18,62
2011-08-19,62
2011-08-20,58
2011-08-21,56
2011-08-22,56
2011-08-23,56
2011-08-24,58
2011-08-25,57
2011-08-26,62
2011-08-27,60
2011-08-28,56
2011-08-29,54
2011-08-30,53
2011-08-31,52
