Date,Deutsche Bank
2012-09-22,42
2012-09-23,40
2012-09-24,39
2012-09-25,38
2012-09-26,37
2012-09-27,36
2012-09-28,37
2012-09-29,34
2012-09-30,35
2012-10-01,36
2012-10-02,38
2012-10-03,42
2012-10-04,40
2012-10-05,44
2012-10-06,43
2012-10-07,42
2012-10-08,42
2012-10-09,42
2012-10-10,41
2012-10-11,42
2012-10-12,42
2012-10-13,40
2012-10-14,41
2012-10-15,42
2012-10-16,48
2012-10-17,45
2012-10-18,48
2012-10-19,47
2012-10-20,49
2012-10-21,48
2012-10-22,47
2012-10-23,51
2012-10-24,46
2012-10-25,47
2012-10-26,44
2012-10-27,44
2012-10-28,42
2012-10-29,41
2012-10-30,40
2012-10-31,41
2012-11-01,37
2012-11-02,36
2012-11-03,35
2012-11-04,35
2012-11-05,35
2012-11-06,36
2012-11-07,37
2012-11-08,37
2012-11-09,37
2012-11-10,38
2012-11-11,38
2012-11-12,38
2012-11-13,38
2012-11-14,38
2012-11-15,38
2012-11-16,41
2012-11-17,39
2012-11-18,38
2012-11-19,37
2012-11-20,36
2012-11-21,35
2012-11-22,35
2012-11-23,34
2012-11-24,32
2012-11-25,32
2012-11-26,32
2012-11-27,32
2012-11-28,32
2012-11-29,33
2012-11-30,32
2012-12-01,34
2012-12-02,35
2012-12-03,37
2012-12-04,39
2012-12-05,42
2012-12-06,44
2012-12-07,51
2012-12-08,49
2012-12-09,48
2012-12-10,48
2012-12-11,48
2012-12-12,52
2012-12-13,47
2012-12-14,47
2012-12-15,47
2012-12-16,46
2012-12-17,46
2012-12-18,46
2012-12-19,49
2012-12-20,47
2012-12-21,48
2012-12-22,46
2012-12-23,43
2012-12-24,41
2012-12-25,38
2012-12-26,36
2012-12-27,33
2012-12-28,31
2012-12-29,29
2012-12-30,31
2012-12-31,33
2013-01-01,35
2013-01-02,37
2013-01-03,41
2013-01-04,41
2013-01-05,44
2013-01-06,45
2013-01-07,47
2013-01-08,54
2013-01-09,51
2013-01-10,53
2013-01-11,58
2013-01-12,61
2013-01-13,56
2013-01-14,54
2013-01-15,53
2013-01-16,52
2013-01-17,50
2013-01-18,51
2013-01-19,47
2013-01-20,47
2013-01-21,48
2013-01-22,51
2013-01-23,49
2013-01-24,51
2013-01-25,52
2013-01-26,55
2013-01-27,52
2013-01-28,53
2013-01-29,60
2013-01-30,55
2013-01-31,56
2013-02-01,57
2013-02-02,66
2013-02-03,58
2013-02-04,54
2013-02-05,52
2013-02-06,50
2013-02-07,50
2013-02-08,46
2013-02-09,45
2013-02-10,44
2013-02-11,43
2013-02-12,44
2013-02-13,42
2013-02-14,44
2013-02-15,41
2013-02-16,41
2013-02-17,41
2013-02-18,41
2013-02-19,41
2013-02-20,41
2013-02-21,41
2013-02-22,42
2013-02-23,42
2013-02-24,41
2013-02-25,41
2013-02-26,42
2013-02-27,41
2013-02-28,41
2013-03-01,41
2013-03-02,43
