Date,Morgan Stanley
2008-06-15,63
2008-06-16,63
2008-06-17,61
2008-06-18,60
2008-06-19,61
2008-06-20,58
2008-06-21,57
2008-06-22,58
2008-06-23,60
2008-06-24,63
2008-06-25,64
2008-06-26,64
2008-06-27,66
2008-06-28,68
2008-06-29,65
2008-06-30,63
2008-07-01,61
2008-07-02,59
2008-07-03,61
2008-07-04,55
2008-07-05,53
2008-07-06,52
2008-07-07,52
2008-07-08,52
2008-07-09,51
2008-07-10,51
2008-07-11,51
2008-07-12,51
2008-07-13,52
2008-07-14,53
2008-07-15,55
2008-07-16,56
2008-07-17,58
2008-07-18,59
2008-07-19,61
2008-07-20,60
2008-07-21,60
2008-07-22,59
2008-07-23,59
2008-07-24,58
2008-07-25,58
2008-07-26,62
2008-07-27,57
2008-07-28,56
2008-07-29,55
2008-07-30,54
2008-07-31,53
2008-08-01,52
2008-08-02,52
2008-08-03,51
2008-08-04,50
2008-08-05,50
2008-08-06,51
2008-08-07,49
2008-08-08,48
2008-08-09,48
2008-08-10,50
2008-08-11,52
2008-08-12,56
2008-08-13,57
2008-08-14,59
2008-08-15,61
2008-08-16,64
2008-08-17,60
2008-08-18,57
2008-08-19,53
2008-08-20,50
2008-08-21,46
2008-08-22,43
2008-08-23,40
2008-08-24,40
2008-08-25,42
2008-08-26,42
2008-08-27,42
2008-08-28,43
2008-08-29,44
2008-08-30,45
2008-08-31,45
