Date,Canaccord Genuity
2013-11-05,38
2013-11-06,36
2013-11-07,35
2013-11-08,34
2013-11-09,33
2013-11-10,33
2013-11-11,34
2013-11-12,35
2013-11-13,36
2013-11-14,37
2013-11-15,37
2013-11-16,38
2013-11-17,36
2013-11-18,34
2013-11-19,32
2013-11-20,31
2013-11-21,29
2013-11-22,27
2013-11-23,26
2013-11-24,27
2013-11-25,29
2013-11-26,31
2013-11-27,33
2013-11-28,35
2013-11-29,36
2013-11-30,38
2013-12-01,37
2013-12-02,35
2013-12-03,34
2013-12-04,33
2013-12-05,32
2013-12-06,31
2013-12-07,30
2013-12-08,31
2013-12-09,32
2013-12-10,33
2013-12-11,34
2013-12-12,36
2013-12-13,37
2013-12-14,38
2013-12-15,36
2013-12-16,33
2013-12-17,31
2013-12-18,29
2013-12-19,27
2013-12-20,25
2013-12-21,23
2013-12-22,22
2013-12-23,21
2013-12-24,21
2013-12-25,20
2013-12-26,20
2013-12-27,19
2013-12-28,19
2013-12-29,18
2013-12-30,17
2013-12-31,16
2014-01-01,16
2014-01-02,15
2014-01-03,14
2014-01-04,14
2014-01-05,17
2014-01-06,20
2014-01-07,23
2014-01-08,26
2014-01-09,29
2014-01-10,32
2014-01-11,35
2014-01-12,36
2014-01-13,37
2014-01-14,38
2014-01-15,39
2014-01-16,40
2014-01-17,41
2014-01-18,42
2014-01-19,41
2014-01-20,40
2014-01-21,39
2014-01-22,39
2014-01-23,38
2014-01-24,37
2014-01-25,37
2014-01-26,36
