Date,Barclays Capital
2011-01-13,88
2011-01-14,87
2011-01-15,87
2011-01-16,87
2011-01-17,86
2011-01-18,88
2011-01-19,87
2011-01-20,86
2011-01-21,86
2011-01-22,87
2011-01-23,90
2011-01-24,89
2011-01-25,90
2011-01-26,92
2011-01-27,92
2011-01-28,93
2011-01-29,97
2011-01-30,96
2011-01-31,95
2011-02-01,95
2011-02-02,96
2011-02-03,97
2011-02-04,96
2011-02-05,96
2011-02-06,97
2011-02-07,94
2011-02-08,95
2011-02-09,93
2011-02-10,92
2011-02-11,91
2011-02-12,91
2011-02-13,92
2011-02-14,89
2011-02-15,88
2011-02-16,90
2011-02-17,87
2011-02-18,86
2011-02-19,87
2011-02-20,89
2011-02-21,85
2011-02-22,85
2011-02-23,84
2011-02-24,84
2011-02-25,84
2011-02-26,86
2011-02-27,86
2011-02-28,86
2011-03-01,87
2011-03-02,89
2011-03-03,90
2011-03-04,90
2011-03-05,95
2011-03-06,91
2011-03-07,90
2011-03-08,91
2011-03-09,89
2011-03-10,87
2011-03-11,86
2011-03-12,91
2011-03-13,87
2011-03-14,84
2011-03-15,83
2011-03-16,83
2011-03-17,82
2011-03-18,81
2011-03-19,83
2011-03-20,82
2011-03-21,81
2011-03-22,82
2011-03-23,83
2011-03-24,82
2011-03-25,82
2011-03-26,86
2011-03-27,86
2011-03-28,85
2011-03-29,86
2011-03-30,87
2011-03-31,88
2011-04-01,89
2011-04-02,92
2011-04-03,92
2011-04-04,89
2011-04-05,89
2011-04-06,90
2011-04-07,88
2011-04-08,88
2011-04-09,90
2011-04-10,88
2011-04-11,87
2011-04-12,87
2011-04-13,87
2011-04-14,85
2011-04-15,85
2011-04-16,87
2011-04-17,87
2011-04-18,84
2011-04-19,86
2011-04-20,84
2011-04-21,84
2011-04-22,89
2011-04-23,84
2011-04-24,88
2011-04-25,86
2011-04-26,87
2011-04-27,89
2011-04-28,90
2011-04-29,102
2011-04-30,93
2011-05-01,94
2011-05-02,93
2011-05-03,92
2011-05-04,94
2011-05-05,92
2011-05-06,92
2011-05-07,94
2011-05-08,92
2011-05-09,92
2011-05-10,93
2011-05-11,92
2011-05-12,92
2011-05-13,92
2011-05-14,93
2011-05-15,92
2011-05-16,90
2011-05-17,91
2011-05-18,88
2011-05-19,88
2011-05-20,86
2011-05-21,88
2011-05-22,86
2011-05-23,87
2011-05-24,88
2011-05-25,88
2011-05-26,88
2011-05-27,89
2011-05-28,93
2011-05-29,94
2011-05-30,88
2011-05-31,88
2011-06-01,88
2011-06-02,88
2011-06-03,87
2011-06-04,89
2011-06-05,85
2011-06-06,84
2011-06-07,84
2011-06-08,82
2011-06-09,81
2011-06-10,80
2011-06-11,83
2011-06-12,81
2011-06-13,80
2011-06-14,82
2011-06-15,81
2011-06-16,82
2011-06-17,82
2011-06-18,86
2011-06-19,84
2011-06-20,82
2011-06-21,82
2011-06-22,81
2011-06-23,81
2011-06-24,81
2011-06-25,84
2011-06-26,84
2011-06-27,82
2011-06-28,83
2011-06-29,84
2011-06-30,85
