Date,Morgan Joseph
2007-03-18,42
2007-03-19,44
2007-03-20,46
2007-03-21,48
2007-03-22,50
2007-03-23,52
2007-03-24,54
2007-03-25,54
2007-05-06,67
2007-05-07,67
2007-05-08,67
2007-05-09,67
2007-05-10,67
2007-05-11,67
2007-05-12,67
2007-05-13,63
2007-05-14,59
2007-05-15,56
2007-05-16,52
2007-05-17,49
2007-05-18,45
2007-05-19,42
2007-05-20,43
2007-05-21,44
2007-05-22,45
2007-05-23,46
2007-05-24,47
2007-05-25,48
2007-05-26,49
2007-05-27,52
2007-05-28,55
2007-05-29,58
2007-05-30,61
2007-05-31,64
2007-06-01,67
2007-06-02,71
2007-06-03,75
2007-06-04,80
2007-06-05,84
2007-06-06,89
2007-06-07,93
2007-06-08,98
2007-06-09,102
2007-06-10,93
2007-06-11,82
2007-06-12,73
2007-06-13,64
2007-06-14,55
2007-06-15,46
2007-06-16,38
2007-06-17,38
2007-06-18,39
2007-06-19,40
2007-06-20,40
2007-06-21,41
2007-06-22,42
2007-06-23,43
2007-06-24,44
2007-06-25,46
2007-06-26,48
2007-06-27,50
2007-06-28,52
2007-06-29,54
2007-06-30,56
2007-07-01,53
2007-07-02,51
2007-07-03,48
2007-07-04,46
2007-07-05,43
2007-07-06,41
2007-07-07,39
2007-07-08,39
2007-07-09,39
2007-07-10,39
2007-07-11,39
2007-07-12,39
2007-07-13,39
2007-07-14,39
2007-07-15,42
2007-07-16,44
2007-07-17,47
2007-07-18,50
2007-07-19,52
2007-07-20,55
2007-07-21,58
2007-07-22,57
2007-07-23,56
2007-07-24,55
2007-07-25,55
2007-07-26,54
2007-07-27,53
2007-07-28,53
2007-07-29,53
2007-08-05,55
2007-08-06,57
2007-08-07,59
2007-08-08,61
2007-08-09,63
2007-08-10,65
2007-08-11,67
2007-08-12,64
2007-08-13,62
2007-08-14,60
2007-08-15,57
2007-08-16,55
2007-08-17,53
2007-08-18,50
2007-08-19,49
2007-08-20,47
2007-08-21,45
2007-08-22,44
2007-08-23,42
2007-08-24,41
2007-08-25,40
2007-08-26,40
2007-08-27,40
2007-08-28,40
2007-08-29,40
2007-08-30,40
2007-08-31,40
2007-09-01,40
2007-09-02,40
2007-09-03,39
2007-09-04,39
2007-09-05,39
2007-09-06,39
2007-09-07,39
2007-09-08,39
2007-09-09,42
2007-09-10,47
2007-09-11,50
2007-09-12,54
2007-09-13,58
2007-09-14,62
2007-09-15,66
2007-09-16,62
2007-09-17,58
2007-09-18,55
2007-09-19,51
2007-09-20,48
2007-09-21,44
2007-09-22,41
2007-09-23,41
2007-09-24,41
2007-09-25,41
2007-09-26,42
2007-09-27,42
2007-09-28,42
2007-09-29,43
2007-09-30,45
2007-10-01,48
2007-10-02,51
2007-10-03,53
2007-10-04,56
2007-10-05,59
2007-10-06,62
2007-10-07,59
2007-10-08,56
2007-10-09,53
2007-10-10,51
2007-10-11,48
2007-10-12,45
2007-10-13,43
2007-10-14,47
2007-10-15,51
2007-10-16,56
2007-10-17,60
2007-10-18,64
2007-10-19,68
2007-10-20,72
2007-10-21,67
2007-10-22,61
2007-10-23,56
2007-10-24,50
2007-10-25,45
2007-10-26,40
2007-10-27,35
2007-10-28,37
2007-11-04,52
2007-11-05,52
2007-11-06,51
2007-11-07,49
2007-11-08,48
2007-11-09,47
2007-11-10,46
2007-11-11,45
2007-11-12,43
2007-11-13,42
2007-11-14,40
2007-11-15,39
2007-11-16,38
2007-11-17,37
2007-11-18,39
2007-11-19,42
2007-11-20,45
2007-11-21,47
2007-11-22,50
2007-11-23,53
2007-11-24,56
2007-11-25,53
2007-11-26,50
2007-11-27,48
2007-11-28,45
2007-11-29,43
2007-11-30,40
2007-12-01,38
2007-12-02,38
2007-12-03,38
2007-12-04,38
2007-12-05,38
2007-12-06,38
2007-12-07,38
2007-12-08,38
2007-12-09,37
2007-12-10,36
2007-12-11,35
2007-12-12,34
2007-12-13,33
2007-12-14,32
2007-12-15,31
2007-12-16,33
2007-12-17,35
2007-12-18,37
2007-12-19,39
2007-12-20,41
2007-12-21,43
2007-12-22,46
2007-12-23,48
2007-12-24,50
2007-12-25,52
2007-12-26,55
2007-12-27,57
2007-12-28,59
2007-12-29,62
2007-12-30,62
2007-12-31,62
2008-01-01,62
2008-01-02,62
2008-01-03,62
2008-01-04,62
2008-01-05,62
2008-01-06,60
2008-01-07,58
2008-01-08,57
2008-01-09,55
2008-01-10,53
2008-01-11,51
2008-01-12,50
2008-01-13,48
2008-01-14,47
2008-01-15,46
2008-01-16,44
2008-01-17,43
2008-01-18,41
2008-01-19,40
2008-01-20,39
2008-01-21,38
2008-01-22,37
2008-01-23,37
2008-01-24,36
2008-01-25,35
2008-01-26,35
2008-01-27,41
2008-02-03,71
2008-02-04,65
2008-02-05,60
2008-02-06,54
2008-02-07,49
2008-02-08,43
2008-02-09,38
2008-02-10,39
2008-02-11,40
2008-02-12,41
2008-02-13,42
2008-02-14,43
2008-02-15,44
2008-02-16,45
2008-02-17,44
2008-02-18,41
2008-02-19,40
2008-02-20,38
2008-02-21,37
2008-02-22,35
2008-02-23,34
2008-02-24,37
2008-02-25,41
2008-02-26,44
2008-02-27,48
2008-02-28,52
2008-02-29,55
2008-03-01,59
2008-03-02,58
2008-03-03,57
2008-03-04,55
2008-03-05,54
2008-03-06,53
2008-03-07,52
2008-03-08,51
2008-03-09,50
2008-03-10,49
2008-03-11,48
2008-03-12,48
2008-03-13,47
2008-03-14,46
2008-03-15,46
2008-03-16,47
2008-03-17,48
2008-03-18,49
2008-03-19,50
2008-03-20,51
2008-03-21,52
2008-03-22,54
2008-03-23,55
2008-03-24,57
2008-03-25,59
2008-03-26,60
2008-03-27,62
2008-03-28,64
2008-03-29,65
2008-03-30,63
2008-03-31,59
2008-04-01,56
2008-04-02,54
2008-04-03,51
2008-04-04,48
2008-04-05,46
2008-04-06,46
2008-04-07,47
2008-04-08,47
2008-04-09,48
2008-04-10,48
2008-04-11,49
2008-04-12,50
2008-04-13,49
2008-04-14,48
2008-04-15,47
2008-04-16,47
2008-04-17,46
2008-04-18,45
2008-04-19,45
2008-04-20,48
2008-04-21,52
2008-04-22,56
2008-04-23,60
2008-04-24,64
2008-04-25,68
2008-04-26,71
2008-04-27,66
2008-05-04,38
2008-05-05,42
2008-05-06,46
2008-05-07,51
2008-05-08,55
2008-05-09,59
2008-05-10,64
2008-05-11,64
2008-05-12,65
2008-05-13,66
2008-05-14,67
2008-05-15,68
2008-05-16,69
2008-05-17,70
2008-05-18,66
2008-05-19,62
2008-05-20,58
2008-05-21,54
2008-05-22,50
2008-05-23,46
2008-05-24,42
2008-05-25,41
2008-05-26,40
2008-05-27,39
2008-05-28,38
2008-05-29,37
2008-05-30,36
2008-05-31,35
2008-06-01,35
2008-06-02,35
2008-06-03,35
2008-06-04,36
2008-06-05,36
2008-06-06,36
2008-06-07,37
2008-06-08,39
2008-06-09,41
2008-06-10,43
2008-06-11,46
2008-06-12,48
2008-06-13,50
2008-06-14,53
2008-06-15,52
2008-06-16,52
2008-06-17,52
2008-06-18,52
2008-06-19,51
2008-06-20,51
2008-06-21,51
2008-06-22,49
2008-06-23,48
2008-06-24,46
2008-06-25,45
2008-06-26,44
2008-06-27,42
2008-06-28,41
2008-06-29,42
2008-06-30,42
2008-07-01,43
2008-07-02,44
2008-07-03,45
2008-07-04,46
2008-07-05,47
2008-07-06,48
2008-07-07,49
2008-07-08,50
2008-07-09,51
2008-07-10,52
2008-07-11,53
2008-07-12,55
2008-07-13,51
2008-07-14,46
2008-07-15,42
2008-07-16,39
2008-07-17,35
2008-07-18,31
2008-07-19,28
2008-07-20,31
2008-07-21,34
2008-07-22,38
2008-07-23,41
2008-07-24,45
2008-07-25,48
2008-07-26,52
2008-07-27,49
2008-08-03,37
2008-08-04,41
2008-08-05,45
2008-08-06,49
2008-08-07,54
2008-08-08,58
2008-08-09,62
2008-08-10,61
2008-08-11,59
2008-08-12,58
2008-08-13,57
2008-08-14,55
2008-08-15,54
2008-08-16,53
2008-08-17,52
2008-08-18,50
2008-08-19,49
2008-08-20,48
2008-08-21,47
2008-08-22,46
2008-08-23,45
2008-08-24,43
2008-08-25,42
2008-08-26,41
2008-08-27,40
2008-08-28,38
2008-08-29,37
2008-08-30,36
2008-08-31,36
2008-09-01,37
2008-09-02,37
2008-09-03,38
2008-09-04,38
2008-09-05,39
2008-09-06,40
2008-09-07,42
2008-09-08,44
2008-09-09,46
2008-09-10,48
2008-09-11,50
2008-09-12,52
2008-09-13,55
2008-09-14,55
2008-09-15,55
2008-09-16,55
2008-09-17,55
2008-09-18,55
2008-09-19,55
2008-09-20,55
2008-09-21,55
2008-09-22,55
2008-09-23,55
2008-09-24,56
2008-09-25,56
2008-09-26,56
2008-09-27,57
2008-09-28,55
2008-09-29,54
2008-09-30,53
2008-10-01,52
2008-10-02,50
2008-10-03,49
2008-10-04,48
2008-10-05,49
2008-10-06,50
2008-10-07,52
2008-10-08,53
2008-10-09,55
2008-10-10,56
2008-10-11,58
2008-10-12,58
2008-10-13,59
2008-10-14,60
2008-10-15,61
2008-10-16,62
2008-10-17,63
2008-10-18,64
2008-10-19,64
2008-10-20,65
2008-10-21,65
2008-10-22,65
2008-10-23,66
2008-10-24,66
2008-10-25,67
2008-10-26,66
