Date,Janney Montgomery Scott
2007-03-16,38
2007-03-17,38
2007-03-18,39
2007-03-19,40
2007-03-20,41
2007-03-21,42
2007-03-22,43
2007-03-23,44
2007-03-24,46
2007-03-25,47
2007-03-26,48
2007-03-27,49
2007-03-28,51
2007-03-29,52
2007-03-30,53
2007-03-31,55
2007-04-01,56
2007-04-02,57
2007-04-03,58
2007-04-04,59
2007-04-05,60
2007-04-06,61
2007-04-07,63
2007-04-08,59
2007-04-09,55
2007-04-10,51
2007-04-11,47
2007-04-12,43
2007-04-13,39
2007-04-14,36
2007-04-15,36
2007-04-16,36
2007-04-17,36
2007-04-18,36
2007-04-19,36
2007-04-20,36
2007-04-21,36
2007-04-22,36
2007-04-23,36
2007-04-24,36
2007-04-25,36
2007-04-26,36
2007-04-27,36
2007-04-28,36
2007-04-29,36
2007-04-30,36
2007-05-06,37
2007-05-07,37
2007-05-08,37
2007-05-09,38
2007-05-10,38
2007-05-11,38
2007-05-12,39
2007-05-13,39
2007-05-14,39
2007-05-15,39
2007-05-16,40
2007-05-17,40
2007-05-18,40
2007-05-19,41
2007-05-20,40
2007-05-21,50
2007-05-22,39
2007-05-23,38
2007-05-24,38
2007-05-25,37
2007-05-26,37
2007-05-27,39
2007-05-28,41
2007-05-29,43
2007-05-30,45
2007-05-31,47
2007-06-01,49
2007-06-02,51
2007-06-03,53
2007-06-04,55
2007-06-05,57
2007-06-06,59
2007-06-07,61
2007-06-08,63
2007-06-09,65
2007-06-10,62
2007-06-11,59
2007-06-12,57
2007-06-13,54
2007-06-14,52
2007-06-15,49
2007-06-16,47
2007-06-17,46
2007-06-18,46
2007-06-19,46
2007-06-20,45
2007-06-21,45
2007-06-22,45
2007-06-23,45
2007-06-24,45
2007-06-25,45
2007-06-26,45
2007-06-27,45
2007-06-28,45
2007-06-29,45
2007-06-30,45
2007-07-01,45
2007-07-02,45
2007-07-03,45
2007-07-04,45
2007-07-05,45
2007-07-06,45
2007-07-07,45
2007-07-08,45
2007-07-09,45
2007-07-10,45
2007-07-11,45
2007-07-12,45
2007-07-13,45
2007-07-14,45
2007-07-15,45
2007-07-16,45
2007-07-17,45
2007-07-18,45
2007-07-19,45
2007-07-20,45
2007-07-21,45
2007-07-22,45
2007-07-23,44
2007-07-24,44
2007-07-25,44
2007-07-26,44
2007-07-27,44
2007-07-28,44
2007-07-29,44
