Date,Canaccord Adams Inc
2010-06-15,70
2010-06-16,70
2010-06-17,69
2010-06-18,72
2010-06-19,69
2010-06-20,68
2010-06-21,67
2010-06-22,66
2010-06-23,67
2010-06-24,65
2010-06-25,63
2010-06-26,62
2010-06-27,60
2010-06-28,58
2010-06-29,56
2010-06-30,55
2010-07-01,52
2010-07-02,50
2010-07-03,48
2010-07-04,48
2010-07-05,49
2010-07-06,50
2010-07-07,54
2010-07-08,52
2010-07-09,53
2010-07-10,54
2010-07-11,54
2010-07-12,55
2010-07-13,58
2010-07-14,56
2010-07-15,58
2010-07-16,59
2010-07-17,59
2010-07-18,58
2010-07-19,57
2010-07-20,56
2010-07-21,55
2010-07-22,55
2010-07-23,54
2010-07-24,52
2010-07-25,54
2010-07-26,56
2010-07-27,58
2010-07-28,61
2010-07-29,65
2010-07-30,65
2010-07-31,68
2010-08-01,67
2010-08-02,67
2010-08-03,67
2010-08-04,67
2010-08-05,75
2010-08-06,67
2010-08-07,67
2010-08-08,69
2010-08-09,71
2010-08-10,81
2010-08-11,76
2010-08-12,78
2010-08-13,82
2010-08-14,87
2010-08-15,81
2010-08-16,79
2010-08-17,78
2010-08-18,78
2010-08-19,82
2010-08-20,73
2010-08-21,73
2010-08-22,68
2010-08-23,65
2010-08-24,62
2010-08-25,59
2010-08-26,56
2010-08-27,53
2010-08-28,50
2010-08-29,52
2010-08-30,55
2010-08-31,58
2010-09-01,59
2010-09-02,63
2010-09-03,64
2010-09-04,67
2010-09-05,65
2010-09-06,64
2010-09-07,63
2010-09-08,61
2010-09-09,62
2010-09-10,62
2010-09-11,58
2010-09-12,58
2010-09-13,58
2010-09-14,58
2010-09-15,58
2010-09-16,58
2010-09-17,59
2010-09-18,63
2010-09-19,60
2010-09-20,61
2010-09-21,62
2010-09-22,63
2010-09-23,64
2010-09-24,66
2010-09-25,67
2010-09-26,67
2010-09-27,68
2010-09-28,69
2010-09-29,71
2010-09-30,72
2010-10-01,74
2010-10-02,80
2010-10-03,73
2010-10-04,72
2010-10-05,71
2010-10-06,70
2010-10-07,69
2010-10-08,72
2010-10-09,68
2010-10-10,68
2010-10-11,69
2010-10-12,70
2010-10-13,71
2010-10-14,75
2010-10-15,77
2010-10-16,74
2010-10-17,71
2010-10-18,68
2010-10-19,68
2010-10-20,65
2010-10-21,61
2010-10-22,58
2010-10-23,58
2010-10-24,57
2010-10-25,58
2010-10-26,59
2010-10-27,61
2010-10-28,62
2010-10-29,63
2010-10-30,65
2010-10-31,64
2010-11-01,63
2010-11-02,62
2010-11-03,66
2010-11-04,60
2010-11-05,59
2010-11-06,59
2010-11-07,60
2010-11-08,62
2010-11-09,64
2010-11-10,66
2010-11-11,72
2010-11-12,70
2010-11-13,73
2010-11-14,72
2010-11-15,71
2010-11-16,70
2010-11-17,70
2010-11-18,69
2010-11-19,68
2010-11-20,75
2010-11-21,69
2010-11-22,70
2010-11-23,71
2010-11-24,73
2010-11-25,81
2010-11-26,75
2010-11-27,80
2010-11-28,76
2010-11-29,76
2010-11-30,75
2010-12-01,75
2010-12-02,76
2010-12-03,78
2010-12-04,74
2010-12-05,73
2010-12-06,72
2010-12-07,72
2010-12-08,71
2010-12-09,75
2010-12-10,71
2010-12-11,70
2010-12-12,67
2010-12-13,64
2010-12-14,66
2010-12-15,58
2010-12-16,55
2010-12-17,52
2010-12-18,49
2010-12-19,48
2010-12-20,47
2010-12-21,47
2010-12-22,48
2010-12-23,46
2010-12-24,45
2010-12-25,45
2010-12-26,44
2010-12-27,43
2010-12-28,42
2010-12-29,42
2010-12-30,41
2010-12-31,40
2011-01-01,40
2011-01-02,43
2011-01-03,46
2011-01-04,50
2011-01-05,54
2011-01-06,57
2011-01-07,60
2011-01-08,69
2011-01-09,63
2011-01-10,62
2011-01-11,63
2011-01-12,60
2011-01-13,64
2011-01-14,58
2011-01-15,58
2011-01-16,58
2011-01-17,58
2011-01-18,60
2011-01-19,59
2011-01-20,60
2011-01-21,63
2011-01-22,62
2011-01-23,61
2011-01-24,61
2011-01-25,61
2011-01-26,66
2011-01-27,61
2011-01-28,61
2011-01-29,62
2011-01-30,63
2011-01-31,64
2011-02-01,65
2011-02-02,68
2011-02-03,68
2011-02-04,72
2011-02-05,71
2011-02-06,71
2011-02-07,71
2011-02-08,71
2011-02-09,73
2011-02-10,71
2011-02-11,71
2011-02-12,73
2011-02-13,70
2011-02-14,69
2011-02-15,70
2011-02-16,71
2011-02-17,66
2011-02-18,70
2011-02-19,65
2011-02-20,64
2011-02-21,63
2011-02-22,66
2011-02-23,62
2011-02-24,61
2011-02-25,60
2011-02-26,60
2011-02-27,60
2011-02-28,61
2011-03-01,61
2011-03-02,62
2011-03-03,67
2011-03-04,63
2011-03-05,65
2011-03-06,64
2011-03-07,65
2011-03-08,70
2011-03-09,66
2011-03-10,69
2011-03-11,67
2011-03-12,71
2011-03-13,65
2011-03-14,62
2011-03-15,61
2011-03-16,57
2011-03-17,54
2011-03-18,54
2011-03-19,49
2011-03-20,50
2011-03-21,52
2011-03-22,53
2011-03-23,56
2011-03-24,56
2011-03-25,61
2011-03-26,60
2011-03-27,61
2011-03-28,62
2011-03-29,63
2011-03-30,68
2011-03-31,66
2011-05-01,53
2011-05-02,53
2011-05-03,53
2011-05-04,54
2011-05-05,54
2011-05-06,58
2011-05-07,55
2011-05-08,54
2011-05-09,53
2011-05-10,53
2011-05-11,53
2011-05-12,52
2011-05-13,51
2011-05-14,54
2011-05-15,49
2011-05-16,47
2011-05-17,45
2011-05-18,43
2011-05-19,44
2011-05-20,39
2011-05-21,37
2011-05-22,38
2011-05-23,40
2011-05-24,42
2011-05-25,43
2011-05-26,46
2011-05-27,49
2011-05-28,49
2011-05-29,48
2011-05-30,48
2011-05-31,48
2011-06-01,49
2011-06-02,48
2011-06-03,49
2011-06-04,48
2011-06-05,48
2011-06-06,49
2011-06-07,49
2011-06-08,50
2011-06-09,50
2011-06-10,51
2011-06-11,52
2011-06-12,51
2011-06-13,51
2011-06-14,51
2011-06-15,54
2011-06-16,51
2011-06-17,52
2011-06-18,51
2011-06-19,52
2011-06-20,53
2011-06-21,54
2011-06-22,55
2011-06-23,61
2011-06-24,57
2011-06-25,62
2011-06-26,56
2011-06-27,54
2011-06-28,52
2011-06-29,50
2011-06-30,50
2011-07-01,46
2011-07-02,44
2011-07-03,45
2011-07-04,46
2011-07-05,47
2011-07-06,49
2011-07-07,53
2011-07-08,50
2011-07-09,53
2011-07-10,51
2011-07-11,52
2011-07-12,53
2011-07-13,53
2011-07-14,58
2011-07-15,55
2011-07-16,56
2011-07-17,55
2011-07-18,55
2011-07-19,56
2011-07-20,55
2011-07-21,56
2011-07-22,59
2011-07-23,55
2011-07-24,55
2011-07-25,55
2011-07-26,55
2011-07-27,60
2011-07-28,56
2011-07-29,55
2011-07-30,56
2011-07-31,55
