Date,Lazard Capital Markets
2011-10-06,85
2011-10-07,84
2011-10-08,84
2011-10-09,84
2011-10-10,83
2011-10-11,83
2011-10-12,83
2011-10-13,82
2011-10-14,82
2011-10-15,82
2011-10-16,81
2011-10-17,81
2011-10-18,80
2011-10-19,80
2011-10-20,80
2011-10-21,79
2011-10-22,79
2011-10-23,79
2011-10-24,78
2011-10-25,78
2011-10-26,78
2011-10-27,77
2011-10-28,77
2011-10-29,77
2011-10-30,76
2011-10-31,76
2011-11-01,76
2011-11-02,75
2011-11-03,75
2011-11-04,74
2011-11-05,74
2011-11-06,73
2011-11-07,73
2011-11-08,72
2011-11-09,72
2011-11-10,72
2011-11-11,71
2011-11-12,71
2011-11-13,70
2011-11-14,70
2011-11-15,69
2011-11-16,69
2011-11-17,69
2011-11-18,68
2011-11-19,68
2011-11-20,67
2011-11-21,67
2011-11-22,66
2011-11-23,66
2011-11-24,66
2011-11-25,65
2011-11-26,65
2011-11-27,64
2011-11-28,64
2011-11-29,63
2011-11-30,63
2011-12-01,63
2011-12-02,63
2011-12-03,63
2011-12-04,64
2011-12-05,64
2011-12-06,64
2011-12-07,65
2011-12-08,65
2011-12-09,65
2011-12-10,66
2011-12-11,66
2011-12-12,66
2011-12-13,67
2011-12-14,67
2011-12-15,67
2011-12-16,68
2011-12-17,68
2011-12-18,69
2011-12-19,69
2011-12-20,69
2011-12-21,70
2011-12-22,70
2011-12-23,70
2011-12-24,71
2011-12-25,71
2011-12-26,71
2011-12-27,72
2011-12-28,72
2011-12-29,72
2011-12-30,73
2011-12-31,73
2012-01-01,74
2012-01-02,74
2012-01-03,74
2012-01-04,75
2012-01-05,75
2012-01-06,76
2012-01-07,76
2012-01-08,77
2012-01-09,77
2012-01-10,78
2012-01-11,78
2012-01-12,78
2012-01-13,79
2012-01-14,79
2012-01-15,80
2012-01-16,80
2012-01-17,81
2012-01-18,81
2012-01-19,82
2012-01-20,82
2012-01-21,83
2012-01-22,83
2012-01-23,83
2012-01-24,84
2012-01-25,84
2012-01-26,85
2012-01-27,85
2012-01-28,86
2012-01-29,86
2012-01-30,87
2012-01-31,87
2012-02-01,88
2012-02-02,87
2012-02-03,86
2012-02-04,86
2012-02-05,85
2012-02-06,84
2012-02-07,84
2012-02-08,83
2012-02-09,83
2012-02-10,82
2012-02-11,81
2012-02-12,81
2012-02-13,80
2012-02-14,79
2012-02-15,79
2012-02-16,78
2012-02-17,78
2012-02-18,77
2012-02-19,76
2012-02-20,76
2012-02-21,75
2012-02-22,74
2012-02-23,74
2012-02-24,73
2012-02-25,73
2012-02-26,72
2012-02-27,71
2012-02-28,71
2012-02-29,70
2012-03-01,70
2012-03-02,69
2012-03-03,68
2012-03-04,68
2012-03-05,67
2012-03-06,66
2012-03-07,66
2012-03-08,65
2012-03-09,65
2012-03-10,64
2012-03-11,63
2012-03-12,63
2012-03-13,62
2012-03-14,62
2012-03-15,61
2012-03-16,60
2012-03-17,60
2012-03-18,59
2012-03-19,58
2012-03-20,58
2012-03-21,57
2012-03-22,57
2012-03-23,56
2012-03-24,55
2012-03-25,55
2012-03-26,54
2012-03-27,54
2012-03-28,53
2012-03-29,52
2012-03-30,52
2012-03-31,51
2012-04-01,51
2012-04-02,51
2012-04-03,51
2012-04-04,52
2012-04-05,52
2012-04-06,52
2012-04-07,53
2012-04-08,53
2012-04-09,53
2012-04-10,54
2012-04-11,54
2012-04-12,54
2012-04-13,55
2012-04-14,55
2012-04-15,55
2012-04-16,56
2012-04-17,56
2012-04-18,56
2012-04-19,57
2012-04-20,57
2012-04-21,57
2012-04-22,58
2012-04-23,58
2012-04-24,58
2012-04-25,59
2012-04-26,59
2012-04-27,59
2012-04-28,60
2012-04-29,60
2012-04-30,60
2012-05-01,61
2012-05-02,60
2012-05-03,59
2012-05-04,59
2012-05-05,58
2012-05-06,58
2012-05-07,57
2012-05-08,57
2012-05-09,56
2012-05-10,56
2012-05-11,55
2012-05-12,54
2012-05-13,54
2012-05-14,53
2012-05-15,53
2012-05-16,52
2012-05-17,52
2012-05-18,51
2012-05-19,51
2012-05-20,50
2012-05-21,50
2012-05-22,49
2012-05-23,48
2012-05-24,48
2012-05-25,47
2012-05-26,47
2012-05-27,46
2012-05-28,46
2012-05-29,45
2012-05-30,45
2012-05-31,44
2012-06-01,44
2012-06-02,44
2012-06-03,44
2012-06-04,45
2012-06-05,45
2012-06-06,46
2012-06-07,46
2012-06-08,47
2012-06-09,47
2012-06-10,48
2012-06-11,48
2012-06-12,49
2012-06-13,49
2012-06-14,50
2012-06-15,50
2012-06-16,51
2012-06-17,51
2012-06-18,51
2012-06-19,52
2012-06-20,52
2012-06-21,53
2012-06-22,53
2012-06-23,54
2012-06-24,54
2012-06-25,55
2012-06-26,55
2012-06-27,56
2012-06-28,56
2012-06-29,57
2012-06-30,57
2012-07-01,58
2012-07-02,58
2012-07-03,58
2012-07-04,58
2012-07-05,58
2012-07-06,58
2012-07-07,58
2012-07-08,58
2012-07-09,58
2012-07-10,58
2012-07-11,58
2012-07-12,59
2012-07-13,59
2012-07-14,59
2012-07-15,59
2012-07-16,59
2012-07-17,59
2012-07-18,59
2012-07-19,59
2012-07-20,59
2012-07-21,59
2012-07-22,60
2012-07-23,60
2012-07-24,60
2012-07-25,60
2012-07-26,60
2012-07-27,60
2012-07-28,60
2012-07-29,60
2012-07-30,60
2012-07-31,60
2012-08-01,61
2012-08-02,61
2012-08-03,62
2012-08-04,62
2012-08-05,63
2012-08-06,63
2012-08-07,64
2012-08-08,64
2012-08-09,65
2012-08-10,65
2012-08-11,66
2012-08-12,67
2012-08-13,67
2012-08-14,68
2012-08-15,68
2012-08-16,69
2012-08-17,69
2012-08-18,70
2012-08-19,70
2012-08-20,71
2012-08-21,71
2012-08-22,72
2012-08-23,73
2012-08-24,73
2012-08-25,74
2012-08-26,74
2012-08-27,75
2012-08-28,75
2012-08-29,76
2012-08-30,76
2012-08-31,77
2012-09-01,78
2012-09-02,77
2012-09-03,76
2012-09-04,75
2012-09-05,74
2012-09-06,73
2012-09-07,72
2012-09-08,71
2012-09-09,70
2012-09-10,69
2012-09-11,68
2012-09-12,67
2012-09-13,66
2012-09-14,65
2012-09-15,64
2012-09-16,64
2012-09-17,63
2012-09-18,62
2012-09-19,61
2012-09-20,60
2012-09-21,59
2012-09-22,58
2012-09-23,57
2012-09-24,56
2012-09-25,55
2012-09-26,54
2012-09-27,53
2012-09-28,52
2012-09-29,51
2012-09-30,50
2012-10-01,50
2012-10-02,51
2012-10-03,52
2012-10-04,53
2012-10-05,54
2012-10-06,55
2012-10-07,56
2012-10-08,58
2012-10-09,59
2012-10-10,60
2012-10-11,61
2012-10-12,62
2012-10-13,63
2012-10-14,65
2012-10-15,66
2012-10-16,67
2012-10-17,68
2012-10-18,69
2012-10-19,70
2012-10-20,72
2012-10-21,73
2012-10-22,74
2012-10-23,75
2012-10-24,76
2012-10-25,77
2012-10-26,79
2012-10-27,80
2012-10-28,81
2012-10-29,82
2012-10-30,83
2012-10-31,84
2012-11-01,86
2012-11-02,84
2012-11-03,83
2012-11-04,82
2012-11-05,81
2012-11-06,79
2012-11-07,78
2012-11-08,77
2012-11-09,76
2012-11-10,74
2012-11-11,73
2012-11-12,72
2012-11-13,71
2012-11-14,69
2012-11-15,68
2012-11-16,67
2012-11-17,66
2012-11-18,65
2012-11-19,63
2012-11-20,62
2012-11-21,61
2012-11-22,60
2012-11-23,58
2012-11-24,57
2012-11-25,56
2012-11-26,55
2012-11-27,53
2012-11-28,52
2012-11-29,51
2012-11-30,50
2012-12-01,49
