Date,Lehman Brothers
2006-12-10,79
2006-12-11,71
2006-12-12,71
2006-12-13,71
2006-12-14,72
2006-12-15,71
2006-12-16,77
2006-12-17,73
2006-12-18,70
2006-12-19,70
2006-12-20,72
2006-12-21,70
2006-12-22,73
2006-12-23,71
2006-12-24,70
2006-12-25,64
2006-12-26,61
2006-12-27,58
2006-12-28,58
2006-12-29,52
2006-12-30,51
2006-12-31,55
2007-01-01,59
2007-01-02,61
2007-01-03,65
2007-01-04,70
2007-01-05,74
2007-01-06,85
2007-01-07,77
2007-01-08,77
2007-01-09,78
2007-01-10,80
2007-01-11,79
2007-01-12,84
2007-01-13,83
2007-01-14,79
2007-01-15,78
2007-01-16,77
2007-01-17,79
2007-01-18,75
2007-01-19,74
2007-01-20,79
2007-01-21,74
2007-01-22,75
2007-01-23,76
2007-01-24,81
2007-01-25,80
2007-01-26,83
2007-01-27,82
2007-01-28,80
2007-01-29,78
2007-01-30,77
2007-01-31,76
2007-02-01,74
2007-02-02,72
2007-02-03,79
2007-02-04,73
2007-02-05,73
2007-02-06,74
2007-02-07,76
2007-02-08,76
2007-02-09,77
2007-02-10,82
2007-02-11,81
2007-02-12,78
2007-02-13,78
2007-02-14,79
2007-02-15,78
2007-02-16,82
2007-02-17,86
2007-02-18,78
2007-02-19,78
2007-02-20,78
2007-02-21,79
2007-02-22,82
2007-02-23,79
2007-02-24,91
2007-02-25,79
2007-02-26,78
2007-02-27,81
2007-02-28,76
2007-03-01,78
2007-03-02,78
2007-03-03,80
2007-03-04,73
2007-03-05,72
2007-03-06,71
2007-03-07,71
2007-03-08,72
2007-03-09,68
2007-03-10,72
2007-03-11,74
2007-03-12,76
2007-03-13,81
2007-03-14,85
2007-03-15,90
2007-03-16,113
2007-03-17,109
2007-03-18,94
2007-03-19,89
2007-03-20,89
2007-03-21,78
2007-03-22,74
2007-03-23,71
2007-03-24,65
2007-03-25,63
2007-03-26,63
2007-03-27,65
2007-03-28,64
2007-03-29,68
2007-03-30,65
2007-03-31,73
2007-05-01,61
2007-05-02,64
2007-05-03,62
2007-05-04,63
2007-05-05,72
2007-05-06,63
2007-05-07,61
2007-05-08,60
2007-05-09,59
2007-05-10,58
2007-05-11,62
2007-05-12,56
2007-05-13,59
2007-05-14,58
2007-05-15,59
2007-05-16,60
2007-05-17,64
2007-05-18,62
2007-05-19,73
2007-05-20,63
2007-05-21,63
2007-05-22,66
2007-05-23,63
2007-05-24,63
2007-05-25,68
2007-05-26,70
2007-05-27,64
2007-05-28,64
2007-05-29,64
2007-05-30,64
2007-05-31,68
2007-06-01,67
2007-06-02,72
2007-06-03,66
2007-06-04,68
2007-06-05,70
2007-06-06,72
2007-06-07,73
2007-06-08,76
2007-06-09,84
2007-06-10,76
2007-06-11,77
2007-06-12,78
2007-06-13,79
2007-06-14,83
2007-06-15,84
2007-06-16,93
2007-06-17,80
2007-06-18,78
2007-06-19,77
2007-06-20,75
2007-06-21,76
2007-06-22,75
2007-06-23,78
2007-06-24,70
2007-06-25,69
2007-06-26,68
2007-06-27,69
2007-06-28,68
2007-06-29,66
2007-06-30,70
2007-07-01,66
2007-07-02,66
2007-07-03,66
2007-07-04,67
2007-07-05,67
2007-07-06,70
2007-07-07,75
2007-07-08,68
2007-07-09,69
2007-07-10,70
2007-07-11,71
2007-07-12,72
2007-07-13,75
2007-07-14,81
2007-07-15,78
2007-07-16,71
2007-07-17,73
2007-07-18,68
2007-07-19,70
2007-07-20,66
2007-07-21,71
2007-07-22,65
2007-07-23,63
2007-07-24,62
2007-07-25,61
2007-07-26,60
2007-07-27,59
2007-07-28,62
2007-07-29,62
2007-07-30,60
2007-07-31,61
