Date,Morgan Stanley
2011-04-22,91
2011-04-23,95
2011-04-24,85
2011-04-25,83
2011-04-26,82
2011-04-27,82
2011-04-28,81
2011-04-29,80
2011-04-30,85
2011-05-01,77
2011-05-02,76
2011-05-03,75
2011-05-04,74
2011-05-05,74
2011-05-06,73
2011-05-07,80
2011-05-08,74
2011-05-09,74
2011-05-10,75
2011-05-11,77
2011-05-12,77
2011-05-13,79
2011-05-14,86
2011-05-15,78
2011-05-16,78
2011-05-17,79
2011-05-18,77
2011-05-19,77
2011-05-20,78
2011-05-21,87
2011-05-22,76
2011-05-23,76
2011-05-24,76
2011-05-25,76
2011-05-26,77
2011-05-27,77
2011-05-28,85
2011-05-29,75
2011-05-30,75
2011-05-31,74
2011-06-01,74
2011-06-02,76
2011-06-03,73
2011-06-04,80
2011-06-05,73
2011-06-06,74
2011-06-07,75
2011-06-08,75
2011-06-09,80
2011-06-10,77
2011-06-11,87
2011-06-12,77
2011-06-13,76
2011-06-14,75
2011-06-15,75
2011-06-16,75
2011-06-17,75
2011-06-18,81
2011-06-19,73
2011-06-20,73
2011-06-21,73
2011-06-22,76
2011-06-23,74
2011-06-24,74
2011-06-25,84
2011-06-26,75
2011-06-27,75
2011-06-28,75
2011-06-29,75
2011-06-30,77
2011-07-01,75
2011-07-02,83
2011-07-03,76
2011-07-04,74
2011-07-05,74
2011-07-06,74
2011-07-07,73
2011-07-08,74
2011-07-09,82
2011-07-10,73
2011-07-11,73
2011-07-12,74
2011-07-13,75
2011-07-14,75
2011-07-15,78
2011-07-16,82
2011-07-17,77
2011-07-18,78
2011-07-19,80
2011-07-20,81
2011-07-21,83
2011-07-22,88
2011-07-23,95
2011-07-24,87
2011-07-25,82
2011-07-26,80
2011-07-27,80
2011-07-28,76
2011-07-29,75
2011-07-30,79
2011-07-31,74
2011-08-01,74
2011-08-02,75
2011-08-03,76
2011-08-04,76
2011-08-05,77
2011-08-06,86
2011-08-07,78
2011-08-08,79
2011-08-09,80
2011-08-10,82
2011-08-11,82
2011-08-12,83
2011-08-13,90
2011-08-14,83
2011-08-15,84
2011-08-16,84
2011-08-17,86
2011-08-18,85
2011-08-19,89
2011-08-20,98
2011-08-21,85
2011-08-22,83
2011-08-23,82
2011-08-24,80
2011-08-25,79
2011-08-26,78
2011-08-27,81
2011-08-28,75
2011-08-29,73
2011-08-30,72
2011-08-31,72
2011-09-01,71
2011-09-02,73
2011-09-03,74
2011-09-04,76
2011-09-05,69
2011-09-06,69
2011-09-07,69
2011-09-08,69
2011-09-09,69
2011-09-10,74
2011-09-11,70
2011-09-12,72
2011-09-13,73
2011-09-14,75
2011-09-15,76
2011-09-16,78
2011-09-17,88
2011-09-18,80
2011-09-19,79
2011-09-20,79
2011-09-21,78
2011-09-22,78
2011-09-23,80
2011-09-24,83
2011-09-25,81
2011-09-26,79
2011-09-27,80
2011-09-28,81
2011-09-29,82
2011-09-30,82
