Date,Pali Capital
2008-11-01,80
2008-11-02,79
2008-11-03,79
2008-11-04,79
2008-11-05,78
2008-11-06,78
2008-11-07,78
2008-11-08,77
2008-11-09,77
2008-11-10,77
2008-11-11,76
2008-11-12,76
2008-11-13,76
2008-11-14,75
2008-11-15,75
2008-11-16,75
2008-11-17,74
2008-11-18,74
2008-11-19,74
2008-11-20,73
2008-11-21,73
2008-11-22,73
2008-11-23,72
2008-11-24,72
2008-11-25,72
2008-11-26,71
2008-11-27,71
2008-11-28,71
2008-11-29,70
2008-11-30,70
2008-12-01,70
2008-12-02,70
2008-12-03,70
2008-12-04,70
2008-12-05,71
2008-12-06,71
2008-12-07,71
2008-12-08,72
2008-12-09,72
2008-12-10,72
2008-12-11,73
2008-12-12,73
2008-12-13,73
2008-12-14,74
2008-12-15,74
2008-12-16,74
2008-12-17,75
2008-12-18,75
2008-12-19,75
2008-12-20,76
2008-12-21,76
2008-12-22,76
2008-12-23,77
2008-12-24,77
2008-12-25,77
2008-12-26,78
2008-12-27,78
2008-12-28,78
2008-12-29,79
2008-12-30,79
2008-12-31,79
2009-01-04,80
2009-01-05,80
2009-01-06,80
2009-01-07,80
2009-01-08,80
2009-01-09,81
2009-01-10,81
2009-01-11,81
2009-01-12,81
2009-01-13,81
2009-01-14,81
2009-01-15,81
2009-01-16,81
2009-01-17,82
2009-01-18,82
2009-01-19,82
2009-01-20,82
2009-01-21,82
2009-01-22,82
2009-01-23,82
2009-01-24,82
2009-01-25,83
2009-01-26,83
2009-01-27,83
2009-01-28,83
2009-01-29,83
2009-01-30,83
2009-01-31,83
2009-02-01,84
2009-02-02,84
2009-02-03,84
2009-02-04,84
2009-02-05,85
2009-02-06,85
2009-02-07,85
2009-02-08,85
2009-02-09,84
2009-02-10,84
2009-02-11,84
2009-02-12,84
2009-02-13,84
2009-02-14,84
2009-02-15,85
2009-02-16,85
2009-02-17,85
2009-02-18,85
2009-02-19,85
2009-02-20,85
2009-02-21,85
2009-02-22,85
2009-02-23,85
2009-02-24,85
2009-02-25,85
2009-02-26,85
2009-02-27,85
2009-02-28,85
2009-03-01,86
2009-03-02,85
2009-03-03,85
2009-03-04,85
2009-03-05,85
2009-03-06,85
2009-03-07,85
2009-03-08,85
2009-03-09,84
2009-03-10,84
2009-03-11,84
2009-03-12,84
2009-03-13,84
2009-03-14,84
2009-03-15,84
2009-03-16,84
2009-03-17,83
2009-03-18,83
2009-03-19,83
2009-03-20,83
2009-03-21,83
2009-03-22,83
2009-03-23,85
2009-03-24,85
2009-03-25,86
2009-03-26,86
2009-03-27,88
2009-03-28,91
2009-03-29,82
2009-04-01,82
2009-04-02,81
2009-04-03,80
2009-04-04,79
2009-04-05,79
2009-04-06,78
2009-04-07,77
2009-04-08,76
2009-04-09,76
2009-04-10,75
2009-04-11,74
2009-04-12,73
2009-04-13,73
2009-04-14,72
2009-04-15,71
2009-04-16,71
2009-04-17,70
2009-04-18,69
2009-04-19,68
2009-04-20,68
2009-04-21,67
2009-04-22,66
2009-04-23,65
2009-04-24,65
2009-04-25,64
2009-04-26,63
2009-04-27,62
2009-04-28,62
2009-04-29,61
2009-04-30,60
2009-05-01,60
2009-05-02,59
2009-05-03,58
2009-05-04,58
2009-05-05,57
2009-05-06,57
2009-05-07,56
2009-05-08,56
2009-05-09,55
2009-05-10,55
2009-05-11,54
2009-05-12,53
2009-05-13,53
2009-05-14,52
2009-05-15,52
2009-05-16,51
2009-05-17,51
2009-05-18,50
2009-05-19,50
2009-05-20,49
2009-05-21,49
2009-05-22,48
2009-05-23,47
2009-05-24,47
2009-05-25,46
2009-05-26,46
2009-05-27,45
2009-05-28,45
2009-05-29,44
2009-05-30,44
2009-05-31,43
2009-06-01,43
2009-06-02,43
2009-06-03,44
2009-06-04,44
2009-06-05,45
2009-06-06,45
2009-06-07,46
2009-06-08,46
2009-06-09,47
2009-06-10,47
2009-06-11,48
2009-06-12,48
2009-06-13,49
2009-06-14,49
2009-06-15,50
2009-06-16,50
2009-06-17,51
2009-06-18,51
2009-06-19,52
2009-06-20,52
2009-06-21,53
2009-06-22,53
2009-06-23,54
2009-06-24,54
2009-06-25,55
2009-06-26,55
2009-06-27,56
2009-06-28,56
2009-06-29,57
2009-06-30,57
2009-07-05,58
2009-07-06,58
2009-07-07,58
2009-07-08,59
2009-07-09,59
2009-07-10,59
2009-07-11,59
2009-07-12,59
2009-07-13,59
2009-07-14,60
2009-07-15,60
2009-07-16,60
2009-07-17,60
2009-07-18,60
2009-07-19,60
2009-07-20,61
2009-07-21,61
2009-07-22,61
2009-07-23,61
2009-07-24,61
2009-07-25,61
2009-07-26,62
2009-07-27,74
2009-07-28,62
2009-07-29,62
2009-07-30,62
2009-07-31,62
2009-08-01,63
2009-08-02,63
2009-08-03,64
2009-08-04,65
2009-08-05,65
2009-08-06,66
2009-08-07,67
2009-08-08,67
2009-08-09,68
2009-08-10,69
2009-08-11,70
2009-08-12,71
2009-08-13,71
2009-08-14,72
2009-08-15,73
2009-08-16,74
2009-08-17,74
2009-08-18,75
2009-08-19,75
2009-08-20,76
2009-08-21,77
2009-08-22,77
2009-08-23,78
2009-08-24,79
2009-08-25,80
2009-08-26,80
2009-08-27,81
2009-08-28,82
2009-08-29,82
2009-08-30,83
2009-08-31,84
2009-09-01,85
