Date,Lazard Capital Markets
2010-03-27,48
2010-03-28,48
2010-03-29,48
2010-03-30,48
2010-03-31,48
2010-04-01,48
2010-04-02,48
2010-04-03,49
2010-04-04,49
2010-04-05,50
2010-04-06,50
2010-04-07,51
2010-04-08,51
2010-04-09,52
2010-04-10,52
2010-04-11,53
2010-04-12,53
2010-04-13,54
2010-04-14,54
2010-04-15,55
2010-04-16,55
2010-04-17,56
2010-04-18,56
2010-04-19,57
2010-04-20,57
2010-04-21,58
2010-04-22,58
2010-04-23,59
2010-04-24,59
2010-04-25,60
2010-04-26,60
2010-04-27,61
2010-04-28,61
2010-04-29,62
2010-04-30,62
2010-05-01,63
2010-05-02,63
2010-05-03,63
2010-05-04,63
2010-05-05,63
2010-05-06,63
2010-05-07,63
2010-05-08,64
2010-05-09,64
2010-05-10,64
2010-05-11,64
2010-05-12,64
2010-05-13,64
2010-05-14,65
2010-05-15,65
2010-05-16,65
2010-05-17,65
2010-05-18,65
2010-05-19,65
2010-05-20,66
2010-05-21,66
2010-05-22,66
2010-05-23,66
2010-05-24,66
2010-05-25,66
2010-05-26,67
2010-05-27,67
2010-05-28,67
2010-05-29,67
2010-05-30,67
2010-05-31,67
2010-06-01,68
2010-06-02,67
2010-06-03,67
2010-06-04,67
2010-06-05,67
2010-06-06,67
2010-06-07,67
2010-06-08,67
2010-06-09,67
2010-06-10,67
2010-06-11,67
2010-06-12,67
2010-06-13,67
2010-06-14,67
2010-06-15,67
2010-06-16,67
2010-06-17,67
2010-06-18,67
2010-06-19,67
2010-06-20,67
2010-06-21,67
2010-06-22,67
2010-06-23,67
2010-06-24,67
2010-06-25,67
2010-06-26,67
2010-06-27,67
2010-06-28,67
2010-06-29,67
2010-06-30,67
2010-07-01,67
2010-07-02,66
2010-07-03,65
2010-07-04,64
2010-07-05,63
2010-07-06,62
2010-07-07,61
2010-07-08,60
2010-07-09,59
2010-07-10,58
2010-07-11,57
2010-07-12,56
2010-07-13,55
2010-07-14,54
2010-07-15,53
2010-07-16,52
2010-07-17,52
2010-07-18,51
2010-07-19,50
2010-07-20,49
2010-07-21,48
2010-07-22,47
2010-07-23,46
2010-07-24,45
2010-07-25,44
2010-07-26,43
2010-07-27,42
2010-07-28,41
2010-07-29,40
2010-07-30,39
2010-07-31,38
2010-08-01,38
2010-08-02,38
2010-08-03,39
2010-08-04,40
2010-08-05,41
2010-08-06,42
2010-08-07,43
2010-08-08,44
2010-08-09,45
2010-08-10,46
2010-08-11,47
2010-08-12,48
2010-08-13,49
2010-08-14,50
2010-08-15,51
2010-08-16,52
2010-08-17,53
2010-08-18,54
2010-08-19,55
2010-08-20,56
2010-08-21,57
2010-08-22,58
2010-08-23,59
2010-08-24,60
2010-08-25,61
2010-08-26,62
2010-08-27,63
2010-08-28,64
2010-08-29,65
2010-08-30,66
2010-08-31,67
2010-09-01,68
2010-09-02,67
2010-09-03,66
2010-09-04,66
2010-09-05,65
2010-09-06,65
2010-09-07,64
2010-09-08,64
2010-09-09,63
2010-09-10,62
2010-09-11,62
2010-09-12,61
2010-09-13,61
2010-09-14,60
2010-09-15,60
2010-09-16,59
2010-09-17,58
2010-09-18,58
2010-09-19,57
2010-09-20,57
2010-09-21,56
2010-09-22,56
2010-09-23,55
2010-09-24,54
2010-09-25,54
2010-09-26,53
2010-09-27,53
2010-09-28,52
2010-09-29,52
2010-09-30,51
2010-10-01,51
2010-10-02,52
2010-10-03,54
2010-10-04,55
2010-10-05,57
2010-10-06,58
2010-10-07,60
2010-10-08,62
2010-10-09,63
2010-10-10,65
2010-10-11,66
2010-10-12,68
2010-10-13,69
2010-10-14,71
2010-10-15,73
2010-10-16,74
2010-10-17,76
2010-10-18,77
2010-10-19,79
2010-10-20,81
2010-10-21,82
2010-10-22,84
2010-10-23,85
2010-10-24,87
2010-10-25,88
2010-10-26,90
2010-10-27,92
2010-10-28,93
2010-10-29,95
2010-10-30,96
2010-10-31,98
2010-11-01,100
2010-11-02,98
2010-11-03,96
2010-11-04,94
2010-11-05,92
2010-11-06,90
2010-11-07,89
2010-11-08,87
2010-11-09,85
2010-11-10,83
2010-11-11,81
2010-11-12,79
2010-11-13,78
2010-11-14,76
2010-11-15,74
2010-11-16,72
2010-11-17,70
2010-11-18,68
2010-11-19,67
2010-11-20,65
2010-11-21,63
2010-11-22,61
2010-11-23,59
2010-11-24,57
2010-11-25,56
2010-11-26,54
2010-11-27,52
2010-11-28,50
2010-11-29,48
2010-11-30,46
2010-12-01,45
2010-12-02,45
2010-12-03,45
2010-12-04,45
2010-12-05,46
2010-12-06,46
2010-12-07,46
2010-12-08,47
2010-12-09,47
2010-12-10,47
2010-12-11,47
2010-12-12,48
2010-12-13,48
2010-12-14,48
2010-12-15,49
2010-12-16,49
2010-12-17,49
2010-12-18,49
2010-12-19,50
2010-12-20,50
2010-12-21,50
2010-12-22,51
2010-12-23,51
2010-12-24,51
2010-12-25,51
2010-12-26,52
2010-12-27,52
2010-12-28,52
2010-12-29,53
2010-12-30,53
2010-12-31,53
2011-01-01,54
2011-01-02,53
2011-01-03,53
2011-01-04,53
2011-01-05,53
2011-01-06,53
2011-01-07,53
2011-01-08,53
2011-01-09,53
2011-01-10,53
2011-01-11,53
2011-01-12,52
2011-01-13,52
2011-01-14,52
2011-01-15,52
2011-01-16,52
2011-01-17,52
2011-01-18,52
2011-01-19,52
2011-01-20,52
2011-01-21,52
2011-01-22,51
2011-01-23,51
2011-01-24,51
2011-01-25,51
2011-01-26,51
2011-01-27,51
2011-01-28,51
2011-01-29,51
2011-01-30,51
2011-01-31,51
2011-02-01,51
2011-02-02,51
2011-02-03,51
2011-02-04,51
2011-02-05,52
2011-02-06,52
2011-02-07,52
2011-02-08,52
2011-02-09,53
2011-02-10,53
2011-02-11,53
2011-02-12,53
2011-02-13,54
2011-02-14,54
2011-02-15,54
2011-02-16,54
2011-02-17,55
2011-02-18,55
2011-02-19,55
2011-02-20,55
2011-02-21,56
2011-02-22,56
2011-02-23,56
2011-02-24,56
2011-02-25,57
2011-02-26,57
2011-02-27,57
2011-02-28,57
2011-03-01,58
2011-03-02,57
2011-03-03,56
2011-03-04,56
2011-03-05,55
2011-03-06,55
2011-03-07,54
2011-03-08,53
2011-03-09,53
2011-03-10,52
2011-03-11,52
2011-03-12,51
2011-03-13,51
2011-03-14,50
2011-03-15,49
2011-03-16,49
2011-03-17,48
2011-03-18,48
2011-03-19,47
2011-03-20,46
2011-03-21,46
2011-03-22,45
2011-03-23,45
2011-03-24,44
2011-03-25,44
2011-03-26,43
2011-03-27,42
2011-03-28,42
2011-03-29,41
2011-03-30,41
2011-03-31,40
2011-04-01,40
2011-04-02,41
2011-04-03,42
2011-04-04,44
2011-04-05,45
2011-04-06,46
2011-04-07,48
2011-04-08,49
2011-04-09,50
2011-04-10,52
2011-04-11,53
2011-04-12,55
2011-04-13,56
2011-04-14,57
2011-04-15,59
2011-04-16,60
2011-04-17,61
2011-04-18,63
2011-04-19,64
2011-04-20,65
2011-04-21,67
2011-04-22,68
2011-04-23,70
2011-04-24,71
2011-04-25,72
2011-04-26,74
2011-04-27,75
2011-04-28,76
2011-04-29,78
2011-04-30,79
2011-05-01,81
2011-05-02,80
2011-05-03,79
2011-05-04,78
2011-05-05,77
2011-05-06,77
2011-05-07,76
2011-05-08,75
2011-05-09,74
2011-05-10,74
2011-05-11,73
2011-05-12,72
2011-05-13,71
2011-05-14,70
2011-05-15,70
2011-05-16,69
2011-05-17,68
2011-05-18,67
2011-05-19,67
2011-05-20,66
2011-05-21,65
2011-05-22,64
2011-05-23,63
2011-05-24,63
2011-05-25,62
2011-05-26,61
2011-05-27,60
2011-05-28,60
2011-05-29,59
2011-05-30,58
2011-05-31,57
2011-06-01,57
