Date,Thomas Weisel
2008-12-15,35
2008-12-16,34
2008-12-17,33
2008-12-18,32
2008-12-19,31
2008-12-20,30
2008-12-21,30
2008-12-22,31
2008-12-23,32
2008-12-24,33
2008-12-25,34
2008-12-26,35
2008-12-27,36
2008-12-28,35
2008-12-29,35
2008-12-30,35
2008-12-31,35
2009-01-01,35
2009-01-02,35
2009-01-03,35
2009-01-04,35
2009-01-05,35
2009-01-06,36
2009-01-07,36
2009-01-08,36
2009-01-09,36
2009-01-10,37
2009-01-11,36
2009-01-12,35
2009-01-13,34
2009-01-14,34
2009-01-15,33
2009-01-16,32
2009-01-17,32
2009-01-18,32
2009-01-19,33
2009-01-20,33
2009-01-21,34
2009-01-22,34
2009-01-23,35
2009-01-24,36
2009-01-25,35
2009-02-01,35
2009-02-02,37
2009-02-03,40
2009-02-04,42
2009-02-05,44
2009-02-06,47
2009-02-07,49
2009-02-08,48
2009-02-09,48
2009-02-10,47
2009-02-11,47
2009-02-12,46
2009-02-13,46
2009-02-14,45
2009-02-15,42
2009-02-16,39
2009-02-17,36
2009-02-18,33
2009-02-19,30
2009-02-20,27
2009-02-21,24
2009-02-22,25
2009-02-23,26
2009-02-24,27
2009-02-25,28
2009-02-26,29
2009-02-27,30
2009-02-28,31
2009-03-01,30
2009-03-02,30
2009-03-03,30
2009-03-04,30
2009-03-05,30
2009-03-06,30
2009-03-07,30
2009-03-08,30
2009-03-09,29
2009-03-10,29
2009-03-11,28
2009-03-12,28
2009-03-13,28
2009-03-14,28
2009-03-15,29
2009-03-16,31
2009-03-17,33
2009-03-18,35
2009-03-19,36
2009-03-20,38
2009-03-21,40
2009-03-22,39
2009-03-23,37
2009-03-24,36
2009-03-25,35
2009-03-26,34
2009-03-27,33
2009-03-28,32
2009-03-29,31
2009-05-03,29
2009-05-04,28
2009-05-05,28
2009-05-06,27
2009-05-07,27
2009-05-08,26
2009-05-09,26
2009-05-10,26
2009-05-11,26
2009-05-12,26
2009-05-13,26
2009-05-14,26
2009-05-15,26
2009-05-16,27
2009-05-17,27
2009-05-18,28
2009-05-19,29
2009-05-20,30
2009-05-21,30
2009-05-22,31
2009-05-23,32
2009-05-24,30
2009-05-25,28
2009-05-26,26
2009-05-27,24
2009-05-28,22
2009-05-29,20
2009-05-30,19
2009-05-31,20
2009-06-01,22
2009-06-02,23
2009-06-03,25
2009-06-04,26
2009-06-05,28
2009-06-06,30
2009-06-07,30
2009-06-08,30
2009-06-09,30
2009-06-10,30
2009-06-11,30
2009-06-12,30
2009-06-13,31
2009-06-14,31
2009-06-15,33
2009-06-16,33
2009-06-17,34
2009-06-18,35
2009-06-19,36
2009-06-20,37
2009-06-21,36
2009-06-22,34
2009-06-23,33
2009-06-24,32
2009-06-25,30
2009-06-26,29
2009-06-27,28
2009-06-28,27
2009-06-29,26
2009-06-30,25
2009-07-01,24
2009-07-02,23
2009-07-03,22
2009-07-04,22
2009-07-05,21
2009-07-06,21
2009-07-07,21
2009-07-08,21
2009-07-09,21
2009-07-10,21
2009-07-11,21
2009-07-12,23
2009-07-13,26
2009-07-14,28
2009-07-15,31
2009-07-16,33
2009-07-17,36
2009-07-18,39
2009-07-19,39
2009-07-20,40
2009-07-21,40
2009-07-22,40
2009-07-23,41
2009-07-24,41
2009-07-25,41
2009-07-26,39
