Date,Merriman Curhan Ford
2008-02-27,51
2008-02-28,50
2008-02-29,49
2008-03-01,49
2008-03-02,48
2008-03-03,48
2008-03-04,48
2008-03-05,48
2008-03-06,48
2008-03-07,48
2008-03-08,48
2008-03-09,48
2008-03-10,48
2008-03-11,48
2008-03-12,47
2008-03-13,47
2008-03-14,47
2008-03-15,47
2008-03-16,47
2008-03-17,47
2008-03-18,47
2008-03-19,47
2008-03-20,47
2008-03-21,47
2008-03-22,46
2008-03-23,46
2008-03-24,46
2008-03-25,46
2008-03-26,46
2008-03-27,46
2008-03-28,46
2008-03-29,46
2008-03-30,46
2008-03-31,46
2008-04-01,46
2008-04-02,47
2008-04-03,48
2008-04-04,50
2008-04-05,51
2008-04-06,52
2008-04-07,54
2008-04-08,55
2008-04-09,56
2008-04-10,58
2008-04-11,59
2008-04-12,61
2008-04-13,62
2008-04-14,63
2008-04-15,65
2008-04-16,66
2008-04-17,67
2008-04-18,69
2008-04-19,70
2008-04-20,71
2008-04-21,73
2008-04-22,74
2008-04-23,76
2008-04-24,77
2008-04-25,78
2008-04-26,80
2008-04-27,81
2008-04-28,82
2008-04-29,84
2008-04-30,85
2008-05-01,87
2008-05-02,87
2008-05-03,87
2008-05-04,88
2008-05-05,88
2008-05-06,89
2008-05-07,89
2008-05-08,89
2008-05-09,90
2008-05-10,90
2008-05-11,91
2008-05-12,91
2008-05-13,92
2008-05-14,92
2008-05-15,92
2008-05-16,93
2008-05-17,93
2008-05-18,94
2008-05-19,94
2008-05-20,94
2008-05-21,95
2008-05-22,95
2008-05-23,96
2008-05-24,96
2008-05-25,97
2008-05-26,97
2008-05-27,97
2008-05-28,98
2008-05-29,98
2008-05-30,99
2008-05-31,99
2008-06-01,100
2008-06-02,97
2008-06-03,95
2008-06-04,93
2008-06-05,91
2008-06-06,89
2008-06-07,87
2008-06-08,84
2008-06-09,82
2008-06-10,80
2008-06-11,78
2008-06-12,76
2008-06-13,74
2008-06-14,71
2008-06-15,69
2008-06-16,67
2008-06-17,65
2008-06-18,63
2008-06-19,61
2008-06-20,58
2008-06-21,56
2008-06-22,54
2008-06-23,52
2008-06-24,50
2008-06-25,48
2008-06-26,45
2008-06-27,43
2008-06-28,41
2008-06-29,39
2008-06-30,37
2008-07-01,35
2008-07-02,36
2008-07-03,37
2008-07-04,38
2008-07-05,39
2008-07-06,40
2008-07-07,41
2008-07-08,42
2008-07-09,43
2008-07-10,44
2008-07-11,45
2008-07-12,46
2008-07-13,47
2008-07-14,48
2008-07-15,49
2008-07-16,50
2008-07-17,52
2008-07-18,53
2008-07-19,54
2008-07-20,55
2008-07-21,56
2008-07-22,57
2008-07-23,58
2008-07-24,59
2008-07-25,60
2008-07-26,61
2008-07-27,62
2008-07-28,63
2008-07-29,64
2008-07-30,65
2008-07-31,66
2008-08-01,68
2008-08-02,68
2008-08-03,69
2008-08-04,69
2008-08-05,70
2008-08-06,70
2008-08-07,71
2008-08-08,72
2008-08-09,72
2008-08-10,73
2008-08-11,73
2008-08-12,74
2008-08-13,74
2008-08-14,75
2008-08-15,76
2008-08-16,76
2008-08-17,77
2008-08-18,77
2008-08-19,78
2008-08-20,79
2008-08-21,79
2008-08-22,80
2008-08-23,80
2008-08-24,81
2008-08-25,81
2008-08-26,82
2008-08-27,83
2008-08-28,83
2008-08-29,84
2008-08-30,84
2008-08-31,85
2008-09-01,86
2008-09-02,85
2008-09-03,84
2008-09-04,83
2008-09-05,82
2008-09-06,81
2008-09-07,81
2008-09-08,80
2008-09-09,79
2008-09-10,78
2008-09-11,77
2008-09-12,76
2008-09-13,76
2008-09-14,75
2008-09-15,74
2008-09-16,73
2008-09-17,72
2008-09-18,71
2008-09-19,71
2008-09-20,70
2008-09-21,69
2008-09-22,68
2008-09-23,67
2008-09-24,66
2008-09-25,66
2008-09-26,65
2008-09-27,64
2008-09-28,63
2008-09-29,62
2008-09-30,61
2008-10-01,61
2008-10-02,60
2008-10-03,60
2008-10-04,60
2008-10-05,60
2008-10-06,60
2008-10-07,60
2008-10-08,60
2008-10-09,60
2008-10-10,60
2008-10-11,60
2008-10-12,60
2008-10-13,60
2008-10-14,60
2008-10-15,60
2008-10-16,60
2008-10-17,59
2008-10-18,59
2008-10-19,59
2008-10-20,59
2008-10-21,59
2008-10-22,59
2008-10-23,59
2008-10-24,59
2008-10-25,59
2008-10-26,59
2008-10-27,59
2008-10-28,59
2008-10-29,59
2008-10-30,59
2008-10-31,59
2008-11-01,59
2008-11-02,58
2008-11-03,57
2008-11-04,56
2008-11-05,55
2008-11-06,54
2008-11-07,54
2008-11-08,53
2008-11-09,52
2008-11-10,51
2008-11-11,50
2008-11-12,49
2008-11-13,49
2008-11-14,48
2008-11-15,47
2008-11-16,46
2008-11-17,45
2008-11-18,44
2008-11-19,44
2008-11-20,43
2008-11-21,42
2008-11-22,41
2008-11-23,40
2008-11-24,39
2008-11-25,39
2008-11-26,38
2008-11-27,37
2008-11-28,36
2008-11-29,35
2008-11-30,34
2008-12-01,34
