Date,Imperial Capital
2008-12-20,47
2008-12-21,49
2008-12-22,52
2008-12-23,55
2008-12-24,58
2008-12-25,61
2008-12-26,64
2008-12-27,67
2008-12-28,69
2008-12-29,72
2008-12-30,75
2008-12-31,78
2009-01-01,81
2009-01-02,84
2009-01-03,87
2009-01-04,84
2009-01-05,82
2009-01-06,80
2009-01-07,78
2009-01-08,75
2009-01-09,73
2009-01-10,71
2009-01-11,74
2009-01-12,76
2009-01-13,79
2009-01-14,82
2009-01-15,84
2009-01-16,87
2009-01-17,90
2009-01-18,84
2009-01-19,79
2009-01-20,73
2009-01-21,68
2009-01-22,62
2009-01-23,57
2009-01-24,52
2009-01-25,52
2009-01-26,53
2009-01-27,54
2009-01-28,54
2009-01-29,55
2009-01-30,56
2009-01-31,56
2009-02-01,59
2009-02-02,61
2009-02-03,64
2009-02-04,66
2009-02-05,69
2009-02-06,72
2009-02-07,75
2009-02-08,77
2009-02-09,81
2009-02-10,83
2009-02-11,86
2009-02-12,89
2009-02-13,91
2009-02-14,94
2009-02-15,88
2009-02-16,79
2009-02-17,73
2009-02-18,66
2009-02-19,60
2009-02-20,53
2009-02-21,47
2009-02-22,47
2009-03-01,47
2009-03-02,47
2009-03-03,48
2009-03-04,48
2009-03-05,49
2009-03-06,49
2009-03-07,50
2009-03-08,50
2009-03-09,50
2009-03-10,50
2009-03-11,50
2009-03-12,50
2009-03-13,50
2009-03-14,50
2009-03-15,49
2009-03-16,46
2009-03-17,45
2009-03-18,43
2009-03-19,42
2009-03-20,40
2009-03-21,39
2009-03-22,39
2009-03-23,39
2009-03-24,39
2009-03-25,39
2009-03-26,39
2009-03-27,39
2009-03-28,39
2009-03-29,39
2009-03-30,39
2009-03-31,39
2009-04-01,39
2009-04-02,39
2009-04-03,39
2009-04-04,39
2009-04-05,39
2009-04-06,39
2009-04-07,39
2009-04-08,39
2009-04-09,39
2009-04-10,39
2009-04-11,39
2009-04-12,39
2009-04-13,39
2009-04-14,39
2009-04-15,39
2009-04-16,39
2009-04-17,39
2009-04-18,39
2009-04-19,38
2009-04-20,38
2009-04-21,38
2009-04-22,38
2009-04-23,38
2009-04-24,38
2009-04-25,38
2009-04-26,40
2009-04-27,42
2009-04-28,44
2009-04-29,47
2009-04-30,49
2009-05-01,51
2009-05-02,54
2009-05-03,52
2009-05-04,50
2009-05-05,48
2009-05-06,46
2009-05-07,44
2009-05-08,42
2009-05-09,41
2009-05-10,41
2009-05-11,41
2009-05-12,41
2009-05-13,41
2009-05-14,41
2009-05-15,41
2009-05-16,41
2009-05-17,41
2009-05-18,41
2009-05-19,41
2009-05-20,41
2009-05-21,41
2009-05-22,41
2009-05-23,41
2009-05-24,43
2009-05-25,45
2009-05-26,47
2009-05-27,50
2009-05-28,52
2009-05-29,54
2009-05-30,56
2009-05-31,55
2009-06-07,49
2009-06-08,61
2009-06-09,51
2009-06-10,52
2009-06-11,53
2009-06-12,54
2009-06-13,55
2009-06-14,56
2009-06-15,57
2009-06-16,58
2009-06-17,59
2009-06-18,60
2009-06-19,61
2009-06-20,62
2009-06-21,60
2009-06-22,58
2009-06-23,56
2009-06-24,54
2009-06-25,52
2009-06-26,50
2009-06-27,49
2009-06-28,49
2009-06-29,49
2009-06-30,49
2009-07-01,49
2009-07-02,49
2009-07-03,49
2009-07-04,49
2009-07-05,49
2009-07-06,49
2009-07-07,49
2009-07-08,49
2009-07-09,49
2009-07-10,49
2009-07-11,49
2009-07-12,49
2009-07-13,49
2009-07-14,49
2009-07-15,49
2009-07-16,49
2009-07-17,49
2009-07-18,49
2009-07-19,49
2009-07-20,49
2009-07-21,49
2009-07-22,50
2009-07-23,50
2009-07-24,50
2009-07-25,51
2009-07-26,51
2009-07-27,51
2009-07-28,51
2009-07-29,51
2009-07-30,51
2009-07-31,51
2009-08-01,52
2009-08-02,52
2009-08-03,52
2009-08-04,52
2009-08-05,53
2009-08-06,53
2009-08-07,53
2009-08-08,54
2009-08-09,51
2009-08-10,49
2009-08-11,47
2009-08-12,45
2009-08-13,42
2009-08-14,40
2009-08-15,38
2009-08-16,38
2009-08-17,38
2009-08-18,39
2009-08-19,39
2009-08-20,40
2009-08-21,40
2009-08-22,41
2009-08-23,41
2009-08-24,41
2009-08-25,41
2009-08-26,41
2009-08-27,41
2009-08-28,41
2009-08-29,42
2009-08-30,42
2009-09-06,41
2009-09-07,41
2009-09-08,40
2009-09-09,40
2009-09-10,39
2009-09-11,39
2009-09-12,39
2009-09-13,42
2009-09-14,46
2009-09-15,50
2009-09-16,54
2009-09-17,58
2009-09-18,61
2009-09-19,65
2009-09-20,61
2009-09-21,56
2009-09-22,51
2009-09-23,47
2009-09-24,42
2009-09-25,38
2009-09-26,34
2009-09-27,36
2009-09-28,38
2009-09-29,41
2009-09-30,43
2009-10-01,45
2009-10-02,47
2009-10-03,50
2009-10-04,48
2009-10-05,46
2009-10-06,44
2009-10-07,42
2009-10-08,40
2009-10-09,38
2009-10-10,37
2009-10-11,42
2009-10-12,48
2009-10-13,54
2009-10-14,59
2009-10-15,65
2009-10-16,71
2009-10-17,77
2009-10-18,78
2009-10-19,79
2009-10-20,80
2009-10-21,82
2009-10-22,83
2009-10-23,84
2009-10-24,85
2009-10-25,82
2009-10-26,79
2009-10-27,77
2009-10-28,74
2009-10-29,72
2009-10-30,69
2009-10-31,67
2009-11-01,64
2009-11-02,63
2009-11-03,61
2009-11-04,59
2009-11-05,57
2009-11-06,55
2009-11-07,53
2009-11-08,51
2009-11-09,48
2009-11-10,46
2009-11-11,44
2009-11-12,42
2009-11-13,40
2009-11-14,38
2009-11-15,40
2009-11-16,42
2009-11-17,45
2009-11-18,47
2009-11-19,49
2009-11-20,52
2009-11-21,54
2009-11-22,55
2009-11-23,56
2009-11-24,57
2009-11-25,57
2009-11-26,58
2009-11-27,60
2009-11-28,62
2009-11-29,57
2009-12-06,61
2009-12-07,61
2009-12-08,62
2009-12-09,62
2009-12-10,63
2009-12-11,63
2009-12-12,64
2009-12-13,66
2009-12-14,68
2009-12-15,70
2009-12-16,72
2009-12-17,74
2009-12-18,76
2009-12-19,78
2009-12-20,77
2009-12-21,74
2009-12-22,73
2009-12-23,71
2009-12-24,70
2009-12-25,68
2009-12-26,67
2009-12-27,68
2009-12-28,69
2009-12-29,70
2009-12-30,72
2009-12-31,73
2010-01-01,74
2010-01-02,75
2010-01-03,74
2010-01-04,72
2010-01-05,71
2010-01-06,69
2010-01-07,68
2010-01-08,67
2010-01-09,66
2010-01-10,63
2010-01-11,61
2010-01-12,59
2010-01-13,57
2010-01-14,55
2010-01-15,53
2010-01-16,51
2010-01-17,53
2010-01-18,55
2010-01-19,57
2010-01-20,60
2010-01-21,62
2010-01-22,64
2010-01-23,66
2010-01-24,63
2010-01-25,59
2010-01-26,56
2010-01-27,53
2010-01-28,50
2010-01-29,47
2010-01-30,44
2010-01-31,52
2010-02-01,60
2010-02-02,68
2010-02-03,76
2010-02-04,84
2010-02-05,93
2010-02-06,101
2010-02-07,95
2010-02-08,89
2010-02-09,84
2010-02-10,78
2010-02-11,73
2010-02-12,67
2010-02-13,62
2010-02-14,59
2010-02-15,57
2010-02-16,54
2010-02-17,52
2010-02-18,49
2010-02-19,47
2010-02-20,45
2010-02-21,47
2010-02-22,49
2010-02-23,51
2010-02-24,53
2010-02-25,55
2010-02-26,57
2010-02-27,60
2010-02-28,56
2010-03-07,36
2010-03-08,38
2010-03-09,40
2010-03-10,41
2010-03-11,43
2010-03-12,44
2010-03-13,46
2010-03-14,44
2010-03-15,42
2010-03-16,41
2010-03-17,39
2010-03-18,38
2010-03-19,36
2010-03-20,35
2010-03-21,35
2010-03-22,35
2010-03-23,35
2010-03-24,35
2010-03-25,35
2010-03-26,35
2010-03-27,35
2010-03-28,34
2010-03-29,34
2010-03-30,34
2010-03-31,34
2010-04-01,34
2010-04-02,34
2010-04-03,34
2010-04-04,35
2010-04-05,36
2010-04-06,37
2010-04-07,38
2010-04-08,39
2010-04-09,40
2010-04-10,42
2010-04-11,43
2010-04-12,46
2010-04-13,47
2010-04-14,49
2010-04-15,51
2010-04-16,53
2010-04-17,55
2010-04-18,53
2010-04-19,51
2010-04-20,49
2010-04-21,48
2010-04-22,46
2010-04-23,44
2010-04-24,43
2010-04-25,43
2010-04-26,44
2010-04-27,45
2010-04-28,45
2010-04-29,46
2010-04-30,47
2010-05-01,48
2010-05-02,48
2010-05-03,49
2010-05-04,50
2010-05-05,50
2010-05-06,51
2010-05-07,52
2010-05-08,53
2010-05-09,54
2010-05-10,57
2010-05-11,59
2010-05-12,61
2010-05-13,63
2010-05-14,65
2010-05-15,67
2010-05-16,62
2010-05-17,56
2010-05-18,51
2010-05-19,47
2010-05-20,42
2010-05-21,37
2010-05-22,33
2010-05-23,33
2010-05-24,33
2010-05-25,34
2010-05-26,34
2010-05-27,34
2010-05-28,35
2010-05-29,36
2010-05-30,28
