Date,Santander
2010-08-29,70
2010-09-05,40
2010-09-12,48
2010-09-19,36
2010-09-26,91
2010-10-03,86
2010-10-10,52
2010-10-17,64
2010-10-24,72
2010-10-31,61
2010-11-07,54
2010-11-14,78
2010-11-21,87
2010-11-28,76
2010-12-05,58
2010-12-12,60
2010-12-19,62
2010-12-26,55
2011-01-02,72
2011-01-09,70
2011-01-16,84
2011-01-23,53
2011-01-30,69
2011-02-06,66
2011-02-13,73
2011-02-20,55
2011-02-27,75
2011-03-06,54
2011-03-13,55
2011-03-20,67
2011-03-27,70
2011-04-03,83
2011-04-10,61
2011-04-17,36
2011-04-24,52
2011-05-01,67
2011-05-08,59
2011-05-15,48
2011-05-22,47
2011-05-29,66
2011-06-05,68
2011-06-12,43
2011-06-19,50
2011-06-26,78
2011-07-03,64
2011-07-10,75
2011-07-17,61
2011-07-24,47
2011-07-31,86
2011-08-07,80
2011-08-14,71
2011-08-21,29
2011-08-28,54
2011-09-04,56
2011-09-11,49
2011-09-18,49
2011-09-25,60
2011-10-02,67
2011-10-09,80
2011-10-16,61
2011-10-23,82
2011-10-30,74
2011-11-06,69
2011-11-13,48
2011-11-20,75
2011-11-27,100
2011-12-04,66
2011-12-11,64
2011-12-18,47
2011-12-25,56
2012-01-01,62
2012-01-08,87
2012-01-15,79
2012-01-22,62
2012-01-29,83
2012-02-05,98
2012-02-12,94
2012-02-19,48
2012-02-26,54
2012-03-04,72
2012-03-11,71
2012-03-18,51
2012-03-25,78
2012-04-01,49
2012-04-08,58
2012-04-15,77
2012-04-22,100
2012-04-29,90
2012-05-06,53
2012-05-13,100
2012-05-20,80
2012-05-27,90
2012-06-03,96
2012-06-10,77
2012-06-17,81
2012-06-24,76
2012-07-01,78
2012-07-08,77
2012-07-15,78
2012-07-22,95
2012-07-29,77
2012-08-05,59
2012-08-12,79
2012-08-19,66
2012-08-26,51
2012-09-02,87
2012-09-09,74
2012-09-16,64
2012-09-23,74
2012-09-30,56
2012-10-07,71
2012-10-14,56
2012-10-21,76
2012-10-28,60
2012-11-04,56
2012-11-11,63
2012-11-18,55
2012-11-25,58
2012-12-02,57
2012-12-09,51
2012-12-16,51
2012-12-23,49
2012-12-30,49
2013-01-06,90
2013-01-13,92
2013-01-20,59
2013-01-27,66
2013-02-03,74
2013-02-10,65
2013-02-17,68
2013-02-24,80
2013-03-03,76
2013-03-10,70
2013-03-17,83
2013-03-24,75
2013-03-31,65
2013-04-07,83
2013-04-14,61
2013-04-21,62
2013-04-28,71
2013-05-05,73
2013-05-12,60
2013-05-19,60
2013-05-26,60
2013-06-02,71
2013-06-09,63
2013-06-16,73
2013-06-23,69
2013-06-30,95
2013-07-07,65
2013-07-14,73
2013-07-21,75
2013-07-28,100
2013-08-04,68
2013-08-11,80
2013-08-18,50
2013-08-25,68
2013-09-01,73
2013-09-08,54
2013-09-15,78
2013-09-22,68
2013-09-29,79
2013-10-06,62
2013-10-13,88
2013-10-20,72
2013-10-27,77
2013-11-03,85
2013-11-10,80
2013-11-17,56
2013-11-24,75
