Date,SunTrust Banks
2011-08-14,55
2011-08-21,55
2011-08-28,56
2011-09-04,58
2011-09-11,59
2011-09-18,58
2011-09-25,82
2011-10-02,71
2011-10-09,71
2011-10-16,71
2011-10-23,62
2011-10-30,51
2011-11-06,51
2011-11-13,0
2011-11-20,0
2011-11-27,0
2011-12-04,0
2011-12-11,0
2011-12-18,0
2011-12-25,0
2012-01-01,70
2012-01-08,71
2012-01-15,100
2012-01-22,76
2012-01-29,65
2012-02-05,76
2012-02-12,82
2012-02-19,65
2012-02-26,65
2012-03-04,65
2012-03-11,99
2012-03-18,81
2012-03-25,65
2012-04-01,65
2012-04-08,69
2012-04-15,73
2012-04-22,74
2012-04-29,58
2012-05-06,58
2012-05-13,58
2012-05-20,58
2012-05-27,61
2012-06-03,64
2012-06-10,67
2012-06-17,76
2012-06-24,85
2012-07-01,94
2012-07-08,64
2012-07-15,88
2012-07-22,64
2012-07-29,64
2012-08-05,64
2012-08-12,64
2012-08-19,70
2012-08-26,95
2012-09-02,56
2012-09-09,100
2012-09-16,71
2012-09-23,86
2012-09-30,68
2012-10-07,68
2012-10-14,72
2012-10-21,98
2012-10-28,62
2012-11-04,51
2012-11-11,51
2012-11-18,50
2012-11-25,50
2012-12-02,50
2012-12-09,60
2012-12-16,81
2012-12-23,64
2012-12-30,64
2013-01-06,52
2013-01-13,66
2013-01-20,57
2013-01-27,65
2013-02-03,74
2013-02-10,64
2013-02-17,64
2013-02-24,50
2013-03-03,100
2013-03-10,77
2013-03-17,55
2013-03-24,65
2013-03-31,83
2013-04-07,58
2013-04-14,54
2013-04-21,55
2013-04-28,56
2013-05-05,58
2013-05-12,59
2013-05-19,45
2013-05-26,45
2013-06-02,56
2013-06-09,67
2013-06-16,78
2013-06-23,88
2013-06-30,99
2013-07-07,46
2013-07-14,46
2013-07-21,46
2013-07-28,65
2013-08-04,61
2013-08-11,72
2013-08-18,82
2013-08-25,58
2013-09-01,76
2013-09-08,52
2013-09-15,65
2013-09-22,73
2013-09-29,69
2013-10-06,52
2013-10-13,74
2013-10-20,54
2013-10-27,55
2013-11-03,88
2013-11-10,42
2013-11-17,41
2013-11-24,0
