Date,Lehman Brothers
2008-09-25,49
2008-09-26,40
2008-09-27,32
2008-09-28,27
2008-09-29,25
2008-09-30,24
2008-10-01,22
2008-10-02,19
2008-10-03,18
2008-10-04,17
2008-10-05,17
2008-10-06,18
2008-10-07,19
2008-10-08,20
2008-10-09,22
2008-10-10,22
2008-10-11,25
2008-10-12,23
2008-10-13,21
2008-10-14,20
2008-10-15,18
2008-10-16,17
2008-10-17,15
2008-10-18,14
2008-10-19,13
2008-10-20,12
2008-10-21,12
2008-10-22,11
2008-10-23,11
2008-10-24,10
2008-10-25,10
2008-10-26,9
2008-10-27,10
2008-10-28,9
2008-10-29,9
2008-10-30,9
2008-10-31,9
