Date,Morgan Stanley
2014-01-28,42
2014-01-29,38
2014-01-30,40
2014-01-31,39
2014-02-01,37
2014-02-02,37
2014-02-03,38
2014-02-04,39
2014-02-05,40
2014-02-06,46
2014-02-07,42
2014-02-08,43
2014-02-09,42
2014-02-10,40
2014-02-11,39
2014-02-12,38
2014-02-13,39
2014-02-14,36
2014-02-15,36
2014-02-16,35
2014-02-17,36
2014-02-18,37
2014-02-19,38
2014-02-20,39
2014-02-21,42
2014-02-22,43
2014-02-23,40
2014-02-24,39
2014-02-25,39
2014-02-26,41
2014-02-27,38
2014-02-28,39
