Date,LinkedIn
2012-01-22,9
2012-01-23,9
2012-01-24,9
2012-01-25,11
2012-01-26,10
2012-01-27,11
2012-01-28,11
2012-01-29,11
2012-01-30,10
2012-01-31,12
2012-02-01,12
2012-02-02,13
2012-02-03,13
2012-02-04,14
2012-02-05,15
2012-02-06,11
2012-02-07,13
2012-02-08,13
2012-02-09,13
2012-02-10,12
2012-02-11,14
2012-02-12,13
2012-02-13,11
2012-02-14,12
2012-02-15,13
2012-02-16,13
2012-02-17,13
2012-02-18,15
2012-02-19,14
2012-02-20,12
2012-02-21,12
2012-02-22,13
2012-02-23,13
2012-02-24,11
2012-02-25,13
2012-02-26,13
2012-02-27,8
2012-02-28,12
2012-02-29,12
2012-03-01,14
2012-03-02,13
2012-03-03,15
2012-03-04,14
2012-03-05,10
2012-03-06,13
2012-03-07,13
2012-03-08,11
2012-03-09,12
2012-03-10,12
2012-03-11,11
2012-03-12,11
2012-03-13,11
2012-03-14,11
2012-03-15,12
2012-03-16,10
2012-03-17,12
2012-03-18,9
2012-03-19,10
2012-03-20,11
2012-03-21,10
2012-03-22,11
2012-03-23,10
2012-03-24,12
2012-03-25,10
2012-03-26,10
2012-03-27,11
2012-03-28,11
2012-03-29,12
2012-03-30,11
2012-03-31,13
2012-04-01,12
2012-04-02,9
2012-04-03,12
2012-04-04,12
2012-04-05,13
2012-04-06,13
2012-04-07,12
2012-04-08,13
2012-04-09,12
2012-04-10,12
2012-04-11,12
2012-04-12,12
2012-04-13,13
2012-04-14,14
2012-04-15,12
2012-04-16,11
2012-04-17,13
2012-04-18,13
2012-04-19,13
2012-04-20,14
2012-04-21,15
2012-04-22,12
2012-04-23,12
2012-04-24,12
2012-04-25,13
2012-04-26,12
2012-04-27,12
2012-04-28,12
2012-04-29,12
2012-04-30,11
2012-05-01,12
2012-05-02,13
2012-05-03,13
2012-05-04,15
2012-05-05,17
2012-05-06,14
2012-05-07,12
2012-05-08,14
2012-05-09,13
2012-05-10,15
2012-05-11,13
2012-05-12,15
2012-05-13,13
2012-05-14,14
2012-05-15,15
2012-05-16,15
2012-05-17,17
2012-05-18,14
2012-05-19,21
2012-05-20,18
2012-05-21,13
2012-05-22,17
2012-05-23,16
2012-05-24,16
2012-05-25,16
2012-05-26,18
2012-05-27,13
2012-05-28,14
2012-05-29,14
2012-05-30,15
2012-05-31,14
2012-06-01,14
2012-06-02,16
2012-06-03,14
2012-06-04,11
2012-06-05,16
2012-06-06,11
2012-06-07,16
2012-06-08,17
2012-06-09,18
2012-06-10,17
2012-06-11,11
2012-06-12,16
2012-06-13,15
2012-06-14,15
2012-06-15,13
2012-06-16,15
2012-06-17,13
2012-06-18,11
2012-06-19,13
2012-06-20,12
2012-06-21,12
2012-06-22,13
2012-06-23,11
2012-06-24,11
2012-06-25,11
2012-06-26,11
2012-06-27,10
2012-06-28,10
2012-06-29,10
2012-06-30,10
