Date,Barclays Capital
2012-11-02,75
2012-11-03,77
2012-11-04,74
2012-11-05,73
2012-11-06,74
2012-11-07,74
2012-11-08,73
2012-11-09,75
2012-11-10,76
2012-11-11,72
2012-11-12,71
2012-11-13,71
2012-11-14,70
2012-11-15,68
2012-11-16,68
2012-11-17,71
2012-11-18,67
2012-11-19,67
2012-11-20,67
2012-11-21,67
2012-11-22,67
2012-11-23,67
2012-11-24,72
2012-11-25,67
2012-11-26,67
2012-11-27,69
2012-11-28,68
2012-11-29,69
2012-11-30,69
