Date,Deutsche Bank
2012-01-08,79
2012-01-09,78
2012-01-10,79
2012-01-11,77
2012-01-12,77
2012-01-13,77
2012-01-14,85
2012-01-15,76
2012-01-16,76
2012-01-17,77
2012-01-18,76
2012-01-19,75
2012-01-20,76
2012-01-21,81
2012-01-22,75
2012-01-23,75
2012-01-24,76
2012-01-25,76
2012-01-26,76
2012-01-27,76
2012-01-28,83
2012-01-29,78
2012-01-30,79
2012-01-31,80
2012-02-01,82
2012-02-02,82
2012-02-03,86
2012-02-04,93
2012-02-05,83
2012-02-06,82
2012-02-07,82
2012-02-08,80
2012-02-09,79
2012-02-10,78
2012-02-11,84
2012-02-12,77
2012-02-13,75
2012-02-14,75
2012-02-15,74
2012-02-16,75
2012-02-17,74
2012-02-18,79
2012-02-19,72
2012-02-20,72
2012-02-21,71
2012-02-22,72
2012-02-23,70
2012-02-24,71
2012-02-25,77
2012-02-26,72
2012-02-27,74
2012-02-28,76
2012-02-29,79
2012-03-01,80
2012-03-02,85
2012-03-03,92
2012-03-04,83
2012-03-05,82
2012-03-06,83
2012-03-07,81
2012-03-08,79
2012-03-09,78
2012-03-10,84
2012-03-11,76
2012-03-12,75
2012-03-13,74
2012-03-14,73
2012-03-15,73
2012-03-16,72
2012-03-17,77
2012-03-18,70
2012-03-19,70
2012-03-20,70
2012-03-21,69
2012-03-22,68
2012-03-23,70
2012-03-24,73
2012-03-25,70
2012-03-26,72
2012-03-27,74
2012-03-28,76
2012-03-29,78
2012-03-30,80
2012-03-31,90
2012-04-01,81
2012-04-02,80
2012-04-03,81
2012-04-04,80
2012-04-05,80
2012-04-06,84
2012-04-07,79
2012-04-08,79
2012-04-09,75
2012-04-10,74
2012-04-11,73
2012-04-12,72
2012-04-13,72
2012-04-14,76
2012-04-15,70
2012-04-16,70
2012-04-17,72
2012-04-18,71
2012-04-19,73
2012-04-20,73
2012-04-21,80
2012-04-22,73
2012-04-23,74
2012-04-24,75
2012-04-25,76
2012-04-26,75
2012-04-27,76
2012-04-28,85
2012-04-29,77
2012-04-30,77
2012-05-01,85
2012-05-02,77
2012-05-03,79
2012-05-04,78
2012-05-05,84
2012-05-06,78
2012-05-07,77
2012-05-08,79
2012-05-09,77
2012-05-10,77
2012-05-11,77
2012-05-12,84
2012-05-13,76
2012-05-14,75
2012-05-15,75
2012-05-16,74
2012-05-17,79
2012-05-18,72
2012-05-19,79
2012-05-20,72
2012-05-21,72
2012-05-22,73
2012-05-23,73
2012-05-24,72
2012-05-25,72
2012-05-26,80
2012-05-27,76
2012-05-28,76
2012-05-29,78
2012-05-30,80
2012-05-31,82
2012-06-01,84
2012-06-02,93
2012-06-03,85
2012-06-04,84
2012-06-05,85
2012-06-06,82
2012-06-07,84
2012-06-08,80
2012-06-09,86
2012-06-10,79
2012-06-11,79
2012-06-12,79
2012-06-13,79
2012-06-14,79
2012-06-15,80
2012-06-16,87
2012-06-17,78
2012-06-18,77
2012-06-19,76
2012-06-20,76
2012-06-21,74
2012-06-22,74
2012-06-23,78
2012-06-24,73
2012-06-25,74
2012-06-26,76
