Date,Jefferies
2012-12-28,16
2012-12-29,15
2012-12-30,15
2012-12-31,15
2013-01-01,15
2013-01-02,15
2013-01-03,15
2013-01-04,15
2013-01-05,15
2013-01-06,16
2013-01-07,17
2013-01-08,18
2013-01-09,19
2013-01-10,20
2013-01-11,21
2013-01-12,23
2013-01-13,25
2013-01-14,27
2013-01-15,29
2013-01-16,31
2013-01-17,33
2013-01-18,35
2013-01-19,37
2013-01-20,36
2013-01-21,36
2013-01-22,35
2013-01-23,35
2013-01-24,34
2013-01-25,34
2013-01-26,34
2013-01-27,34
