Date,SunTrust Robinson Humphrey
2013-08-04,93
2013-08-05,88
2013-08-06,88
2013-08-07,86
2013-08-08,85
2013-08-09,84
2013-08-10,87
2013-08-11,88
2013-08-12,84
2013-08-13,85
2013-08-14,85
2013-08-15,86
2013-08-16,86
2013-08-17,90
2013-08-18,91
2013-08-19,86
2013-08-20,87
2013-08-21,85
2013-08-22,86
2013-08-23,85
2013-08-24,89
2013-08-25,88
2013-08-26,84
2013-08-27,84
2013-08-28,84
2013-08-29,83
2013-08-30,83
2013-08-31,87
2013-09-01,82
2013-09-02,82
2013-09-03,81
2013-09-04,83
2013-09-05,80
2013-09-06,80
2013-09-07,84
2013-09-08,83
2013-09-09,79
2013-09-10,80
2013-09-11,79
2013-09-12,79
2013-09-13,79
2013-09-14,84
2013-09-15,79
2013-09-16,79
2013-09-17,80
2013-09-18,80
2013-09-19,80
2013-09-20,80
2013-09-21,86
2013-09-22,83
2013-09-23,79
2013-09-24,79
2013-09-25,78
2013-09-26,78
2013-09-27,77
2013-09-28,80
2013-09-29,82
2013-09-30,79
2013-10-01,81
2013-10-02,90
2013-10-03,84
2013-10-04,85
2013-10-05,91
2013-10-06,90
2013-10-07,83
2013-10-08,82
2013-10-09,80
2013-10-10,78
2013-10-11,76
2013-10-12,78
2013-10-13,79
2013-10-14,74
2013-10-15,74
2013-10-16,74
2013-10-17,75
2013-10-18,74
2013-10-19,77
2013-10-20,76
2013-10-21,72
2013-10-22,71
2013-10-23,70
2013-10-24,70
2013-10-25,68
2013-10-26,72
2013-10-27,72
2013-10-28,69
2013-10-29,70
2013-10-30,71
2013-10-31,72
2013-11-01,73
2013-11-02,79
2013-11-03,77
2013-11-04,74
2013-11-05,75
2013-11-06,74
2013-11-07,74
2013-11-08,74
2013-11-09,77
2013-11-10,79
2013-11-11,73
2013-11-12,73
2013-11-13,73
2013-11-14,74
2013-11-15,73
2013-11-16,77
2013-11-17,75
2013-11-18,72
2013-11-19,71
2013-11-20,71
2013-11-21,70
2013-11-22,70
2013-11-23,73
2013-11-24,73
2013-11-25,68
2013-11-26,68
2013-11-27,67
2013-11-28,74
2013-11-29,66
2013-11-30,68
