Date,Aegis Capital
2013-10-13,75
2013-10-14,75
2013-10-15,75
2013-10-16,76
2013-10-17,76
2013-10-18,77
2013-10-19,77
2013-10-20,77
2013-10-21,78
2013-10-22,78
2013-10-23,78
2013-10-24,79
2013-10-25,79
2013-10-26,79
2013-10-27,80
2013-10-28,80
2013-10-29,80
2013-10-30,81
2013-10-31,81
