Date,Generac
2010-11-26,64
2010-11-27,61
2010-11-28,66
2010-11-29,64
2010-11-30,69
2010-12-01,67
2010-12-02,68
2010-12-03,75
2010-12-04,72
2010-12-05,79
2010-12-06,68
2010-12-07,66
2010-12-08,68
2010-12-09,62
2010-12-10,64
2010-12-11,59
2010-12-12,59
2010-12-13,59
2010-12-14,60
2010-12-15,61
2010-12-16,61
2010-12-17,61
2010-12-18,70
2010-12-19,62
2010-12-20,64
2010-12-21,62
2010-12-22,66
2010-12-23,68
2010-12-24,63
2010-12-25,64
2010-12-26,65
2010-12-27,66
2010-12-28,70
2010-12-29,70
2010-12-30,69
2010-12-31,70
2011-01-01,72
2011-01-02,70
2011-01-03,69
2011-01-04,67
2011-01-05,68
2011-01-06,64
2011-01-07,63
2011-01-08,64
2011-01-09,65
2011-01-10,62
2011-01-11,62
2011-01-12,62
2011-01-13,63
2011-01-14,62
2011-01-15,69
2011-01-16,63
2011-01-17,59
2011-01-18,59
2011-01-19,59
2011-01-20,55
2011-01-21,54
2011-01-22,55
2011-01-23,54
2011-01-24,52
2011-01-25,53
2011-01-26,52
2011-01-27,52
2011-01-28,53
2011-01-29,52
2011-01-30,58
2011-01-31,65
2011-02-01,72
2011-02-02,80
2011-02-03,86
2011-02-04,101
2011-02-05,100
2011-02-06,95
2011-02-07,91
2011-02-08,87
2011-02-09,93
2011-02-10,78
2011-02-11,74
2011-02-12,82
2011-02-13,68
2011-02-14,66
2011-02-15,66
2011-02-16,62
2011-02-17,60
2011-02-18,61
2011-02-19,59
2011-02-20,59
2011-02-21,61
2011-02-22,63
2011-02-23,69
2011-02-24,69
2011-02-25,69
2011-02-26,71
2011-02-27,80
2011-02-28,67
2011-03-01,65
2011-03-02,65
2011-03-03,61
2011-03-04,62
2011-03-05,60
2011-03-06,58
2011-03-07,59
2011-03-08,61
2011-03-09,60
2011-03-10,60
2011-03-11,62
2011-03-12,68
2011-03-13,63
2011-03-14,67
2011-03-15,65
2011-03-16,67
2011-03-17,73
2011-03-18,69
2011-03-19,79
2011-03-20,70
2011-03-21,70
2011-03-22,69
2011-03-23,69
2011-03-24,70
2011-03-25,68
2011-03-26,71
2011-03-27,69
2011-03-28,65
2011-03-29,64
2011-03-30,64
2011-03-31,62
