Date,FleetCor
2010-02-05,72
2010-02-06,72
2010-02-07,72
2010-02-08,72
2010-02-09,71
2010-02-10,71
2010-02-11,71
2010-02-12,70
2010-02-13,70
2010-02-14,70
2010-02-15,70
2010-02-16,69
2010-02-17,69
2010-02-18,69
2010-02-19,68
2010-02-20,68
2010-02-21,68
2010-02-22,68
2010-02-23,67
2010-02-24,67
2010-02-25,67
2010-02-26,66
2010-02-27,66
2010-02-28,66
2010-03-01,66
2010-03-02,66
2010-03-03,66
2010-03-04,66
2010-03-05,66
2010-03-06,66
2010-03-07,66
2010-03-08,66
2010-03-09,66
2010-03-10,66
2010-03-11,66
2010-03-12,66
2010-03-13,66
2010-03-14,66
2010-03-15,66
2010-03-16,66
2010-03-17,66
2010-03-18,66
2010-03-19,66
2010-03-20,66
2010-03-21,66
2010-03-22,66
2010-03-23,66
2010-03-24,66
2010-03-25,66
2010-03-26,66
2010-03-27,66
2010-03-28,66
2010-03-29,66
2010-03-30,66
2010-03-31,66
2010-04-01,66
2010-04-02,64
2010-04-03,63
2010-04-04,62
2010-04-05,60
2010-04-06,59
2010-04-07,58
2010-04-08,56
2010-04-09,55
2010-04-10,54
2010-04-11,53
2010-04-12,51
2010-04-13,50
2010-04-14,49
2010-04-15,47
2010-04-16,46
2010-04-17,45
2010-04-18,43
2010-04-19,42
2010-04-20,41
2010-04-21,40
2010-04-22,38
2010-04-23,37
2010-04-24,36
2010-04-25,34
2010-04-26,33
2010-04-27,32
2010-04-28,30
2010-04-29,29
2010-04-30,28
2010-05-01,27
2010-05-02,29
2010-05-03,31
2010-05-04,33
2010-05-05,35
2010-05-06,37
2010-05-07,39
2010-05-08,41
2010-05-09,43
2010-05-10,45
2010-05-11,47
2010-05-12,49
2010-05-13,51
2010-05-14,53
2010-05-15,55
2010-05-16,57
2010-05-17,59
2010-05-18,61
2010-05-19,63
2010-05-20,65
2010-05-21,67
2010-05-22,69
2010-05-23,71
2010-05-24,73
2010-05-25,75
2010-05-26,77
2010-05-27,79
2010-05-28,81
2010-05-29,83
2010-05-30,85
2010-05-31,87
2010-06-01,90
2010-06-02,89
2010-06-03,88
2010-06-04,88
2010-06-05,87
2010-06-06,87
2010-06-07,86
2010-06-08,86
2010-06-09,85
2010-06-10,85
2010-06-11,84
2010-06-12,84
2010-06-13,83
2010-06-14,83
2010-06-15,82
2010-06-16,82
2010-06-17,81
2010-06-18,80
2010-06-19,80
2010-06-20,79
2010-06-21,79
2010-06-22,78
2010-06-23,78
2010-06-24,77
2010-06-25,77
2010-06-26,76
2010-06-27,76
2010-06-28,75
2010-06-29,75
2010-06-30,74
2010-07-01,74
2010-07-02,73
2010-07-03,72
2010-07-04,72
2010-07-05,71
2010-07-06,70
2010-07-07,70
2010-07-08,69
2010-07-09,69
2010-07-10,68
2010-07-11,67
2010-07-12,67
2010-07-13,66
2010-07-14,66
2010-07-15,65
2010-07-16,64
2010-07-17,64
2010-07-18,63
2010-07-19,62
2010-07-20,62
2010-07-21,61
2010-07-22,61
2010-07-23,60
2010-07-24,59
2010-07-25,59
2010-07-26,58
2010-07-27,58
2010-07-28,57
2010-07-29,56
2010-07-30,56
2010-07-31,55
2010-08-01,55
2010-08-02,55
2010-08-03,55
2010-08-04,56
2010-08-05,56
2010-08-06,57
2010-08-07,57
2010-08-08,58
2010-08-09,58
2010-08-10,59
2010-08-11,59
2010-08-12,60
2010-08-13,60
2010-08-14,61
2010-08-15,61
2010-08-16,62
2010-08-17,62
2010-08-18,63
2010-08-19,63
2010-08-20,64
2010-08-21,64
2010-08-22,65
2010-08-23,65
2010-08-24,66
2010-08-25,66
2010-08-26,67
2010-08-27,67
2010-08-28,68
2010-08-29,68
2010-08-30,69
2010-08-31,69
2010-09-01,70
2010-09-02,69
2010-09-03,68
2010-09-04,67
2010-09-05,66
2010-09-06,65
2010-09-07,64
2010-09-08,63
2010-09-09,62
2010-09-10,61
2010-09-11,60
2010-09-12,59
2010-09-13,58
2010-09-14,57
2010-09-15,56
2010-09-16,55
2010-09-17,54
2010-09-18,53
2010-09-19,52
2010-09-20,51
2010-09-21,50
2010-09-22,49
2010-09-23,48
2010-09-24,47
2010-09-25,46
2010-09-26,45
2010-09-27,44
2010-09-28,43
2010-09-29,42
2010-09-30,41
2010-10-01,41
2010-10-02,41
2010-10-03,41
2010-10-04,41
2010-10-05,41
2010-10-06,41
2010-10-07,41
2010-10-08,41
2010-10-09,41
2010-10-10,41
2010-10-11,41
2010-10-12,41
2010-10-13,41
2010-10-14,41
2010-10-15,41
2010-10-16,41
2010-10-17,41
2010-10-18,41
2010-10-19,41
2010-10-20,41
2010-10-21,41
2010-10-22,41
2010-10-23,41
2010-10-24,41
2010-10-25,41
2010-10-26,41
2010-10-27,41
2010-10-28,41
2010-10-29,41
2010-10-30,41
2010-10-31,41
2010-11-01,42
2010-11-02,43
2010-11-03,45
2010-11-04,47
2010-11-05,49
2010-11-06,51
2010-11-07,53
2010-11-08,55
2010-11-09,57
2010-11-10,59
2010-11-11,61
2010-11-12,63
2010-11-13,65
2010-11-14,67
2010-11-15,69
2010-11-16,71
2010-11-17,72
2010-11-18,74
2010-11-19,76
2010-11-20,78
2010-11-21,80
2010-11-22,82
2010-11-23,84
2010-11-24,86
2010-11-25,88
2010-11-26,90
2010-11-27,92
2010-11-28,94
2010-11-29,96
2010-11-30,98
2010-12-01,100
2010-12-02,99
2010-12-03,98
2010-12-04,97
2010-12-05,96
2010-12-06,95
2010-12-07,94
2010-12-08,94
2010-12-09,93
2010-12-10,92
2010-12-11,91
2010-12-12,90
2010-12-13,89
2010-12-14,89
2010-12-15,88
2010-12-16,87
2010-12-17,86
2010-12-18,85
2010-12-19,84
2010-12-20,84
2010-12-21,83
2010-12-22,82
2010-12-23,81
2010-12-24,80
2010-12-25,79
2010-12-26,79
2010-12-27,78
2010-12-28,77
2010-12-29,76
2010-12-30,75
2010-12-31,74
2011-01-02,73
2011-01-03,73
2011-01-04,73
2011-01-05,73
2011-01-06,73
2011-01-07,73
2011-01-08,72
2011-01-09,72
2011-01-10,72
2011-01-11,72
2011-01-12,72
2011-01-13,72
2011-01-14,71
2011-01-15,71
2011-01-16,71
2011-01-17,75
2011-01-18,71
2011-01-19,71
2011-01-20,70
2011-01-21,70
2011-01-22,70
2011-01-23,70
2011-01-24,72
2011-01-25,72
2011-01-26,72
2011-01-27,73
2011-01-28,74
2011-01-29,76
2011-01-30,69
2011-01-31,69
2011-02-01,69
2011-02-02,68
2011-02-03,68
2011-02-04,67
2011-02-05,67
2011-02-06,66
2011-02-07,66
2011-02-08,65
2011-02-09,65
2011-02-10,64
2011-02-11,64
2011-02-12,63
2011-02-13,63
2011-02-14,62
2011-02-15,62
2011-02-16,62
2011-02-17,61
2011-02-18,61
2011-02-19,60
2011-02-20,60
2011-02-21,59
2011-02-22,59
2011-02-23,58
2011-02-24,58
2011-02-25,57
2011-02-26,57
2011-02-27,56
2011-02-28,56
2011-03-01,56
2011-03-02,55
2011-03-03,55
2011-03-04,55
2011-03-05,55
2011-03-06,55
2011-03-07,56
2011-03-08,56
2011-03-09,56
2011-03-10,56
2011-03-11,57
2011-03-12,59
2011-03-13,53
2011-03-14,53
2011-03-15,53
2011-03-16,53
2011-03-17,52
2011-03-18,52
2011-03-19,52
2011-03-20,52
2011-03-21,52
2011-03-22,51
2011-03-23,51
2011-03-24,51
2011-03-25,51
2011-03-26,51
2011-03-27,50
2011-04-01,50
2011-04-02,50
2011-04-03,50
2011-04-04,50
2011-04-05,51
2011-04-06,51
2011-04-07,51
2011-04-08,51
2011-04-09,52
2011-04-10,52
2011-04-11,52
2011-04-12,52
2011-04-13,53
2011-04-14,53
2011-04-15,53
2011-04-16,54
2011-04-17,54
2011-04-18,54
2011-04-19,54
2011-04-20,55
2011-04-21,55
2011-04-22,55
2011-04-23,55
2011-04-24,56
2011-04-25,56
2011-04-26,56
2011-04-27,56
2011-04-28,57
2011-04-29,57
2011-04-30,57
2011-05-01,58
2011-05-02,58
2011-05-03,58
2011-05-04,58
2011-05-05,58
2011-05-06,58
2011-05-07,58
2011-05-08,58
2011-05-09,58
2011-05-10,58
2011-05-11,58
2011-05-12,58
2011-05-13,58
2011-05-14,58
2011-05-15,58
2011-05-16,58
2011-05-17,59
2011-05-18,59
2011-05-19,59
2011-05-20,59
2011-05-21,59
2011-05-22,59
2011-05-23,59
2011-05-24,59
2011-05-25,59
2011-05-26,59
2011-05-27,59
2011-05-28,59
2011-05-29,59
2011-05-30,59
2011-05-31,59
2011-06-01,60
2011-06-02,59
2011-06-03,59
2011-06-04,59
2011-06-05,59
2011-06-06,59
2011-06-07,59
2011-06-08,59
2011-06-09,58
2011-06-10,58
2011-06-11,58
2011-06-12,58
2011-06-13,58
2011-06-14,58
2011-06-15,58
2011-06-16,58
2011-06-17,57
2011-06-18,57
2011-06-19,57
2011-06-20,57
2011-06-21,57
2011-06-22,57
2011-06-23,57
2011-06-24,56
2011-06-25,56
2011-06-26,56
2011-06-27,56
2011-06-28,56
2011-06-29,56
2011-06-30,56
2011-07-01,56
2011-07-02,56
2011-07-03,56
2011-07-04,56
2011-07-05,57
2011-07-06,57
2011-07-07,57
2011-07-08,58
2011-07-09,58
2011-07-10,58
2011-07-11,59
2011-07-12,59
2011-07-13,59
2011-07-14,60
2011-07-15,60
2011-07-16,60
2011-07-17,61
2011-07-18,61
2011-07-19,61
2011-07-20,62
2011-07-21,62
2011-07-22,62
2011-07-23,63
2011-07-24,63
2011-07-25,63
2011-07-26,64
2011-07-27,64
2011-07-28,64
2011-07-29,65
2011-07-30,65
2011-07-31,65
2011-08-01,66
2011-08-02,65
2011-08-03,65
2011-08-04,64
2011-08-05,64
2011-08-06,63
2011-08-07,63
2011-08-08,63
2011-08-09,62
2011-08-10,62
2011-08-11,61
2011-08-12,61
2011-08-13,60
2011-08-14,60
2011-08-15,60
2011-08-16,59
2011-08-17,59
2011-08-18,58
2011-08-19,58
2011-08-20,58
2011-08-21,57
2011-08-22,57
2011-08-23,56
2011-08-24,56
2011-08-25,55
2011-08-26,55
2011-08-27,55
2011-08-28,54
2011-08-29,54
2011-08-30,53
2011-08-31,53
2011-09-01,53
2011-09-02,53
2011-09-03,53
2011-09-04,53
2011-09-05,53
2011-09-06,53
2011-09-07,53
2011-09-08,53
2011-09-09,53
2011-09-10,53
2011-09-11,53
2011-09-12,53
2011-09-13,53
2011-09-14,53
2011-09-15,53
2011-09-16,54
2011-09-17,54
2011-09-18,54
2011-09-19,54
2011-09-20,54
2011-09-21,54
2011-09-22,54
2011-09-23,54
2011-09-24,54
2011-09-25,54
2011-09-26,54
2011-09-27,54
2011-09-28,54
2011-09-29,54
2011-09-30,54
