Date,Nimble Storage
2014-03-12,48
2014-03-13,45
2014-03-14,45
2014-03-15,45
2014-03-16,41
2014-03-17,37
2014-03-18,34
2014-03-19,30
2014-03-20,27
2014-03-21,23
2014-03-22,20
2014-03-23,23
2014-03-24,26
2014-03-25,29
2014-03-26,32
2014-03-27,35
2014-03-28,38
2014-03-29,41
2014-03-30,39
2014-03-31,37
2014-04-01,36
