Date,Birds Eye Foods
2010-10-18,54
2010-10-19,55
2010-10-20,53
2010-10-21,53
2010-10-22,53
2010-10-23,55
2010-10-24,52
2010-10-25,51
2010-10-26,50
2010-10-27,50
2010-10-28,49
2010-10-29,49
2010-10-30,48
2010-10-31,49
2010-11-01,50
2010-11-02,51
2010-11-03,58
2010-11-04,53
2010-11-05,54
2010-11-06,55
2010-11-07,55
2010-11-08,55
2010-11-09,55
2010-11-10,56
2010-11-11,56
2010-11-12,56
2010-11-13,57
2010-11-14,57
2010-11-15,57
2010-11-16,57
2010-11-17,57
2010-11-18,61
2010-11-19,57
2010-11-20,57
2010-11-21,57
2010-11-22,58
2010-11-23,57
2010-11-24,59
2010-11-25,57
2010-11-26,57
2010-11-27,58
2010-11-28,55
2010-11-29,53
2010-11-30,50
2010-12-01,50
2010-12-02,45
2010-12-03,43
2010-12-04,41
2010-12-05,42
2010-12-06,43
2010-12-07,47
2010-12-08,45
2010-12-09,47
2010-12-10,47
2010-12-11,48
2010-12-12,48
2010-12-13,48
2010-12-14,48
2010-12-15,52
2010-12-16,49
2010-12-17,49
2010-12-18,50
2010-12-19,48
2010-12-20,46
2010-12-21,45
2010-12-22,43
2010-12-23,42
2010-12-24,40
2010-12-25,39
2010-12-26,36
2010-12-27,33
2010-12-28,30
2010-12-29,27
2010-12-30,24
2010-12-31,21
2011-01-01,18
2011-01-02,23
2011-01-03,29
2011-01-04,34
2011-01-05,43
2011-01-06,45
2011-01-07,53
2011-01-08,57
2011-01-09,57
2011-01-10,58
2011-01-11,59
2011-01-12,63
2011-01-13,61
2011-01-14,62
2011-01-15,64
2011-01-16,62
2011-01-17,61
2011-01-18,61
2011-01-19,60
2011-01-20,60
2011-01-21,62
2011-01-22,61
2011-01-23,57
2011-01-24,56
2011-01-25,54
2011-01-26,53
2011-01-27,51
2011-01-28,53
2011-01-29,49
2011-01-30,50
2011-01-31,51
2011-02-01,52
2011-02-02,55
2011-02-03,54
2011-02-04,55
2011-02-05,58
2011-02-06,62
2011-02-07,68
2011-02-08,76
2011-02-09,81
2011-02-10,90
2011-02-11,93
2011-02-12,126
2011-02-13,97
2011-02-14,90
2011-02-15,85
2011-02-16,80
2011-02-17,82
2011-02-18,70
2011-02-19,78
2011-02-20,61
2011-02-21,58
2011-02-22,55
2011-02-23,52
2011-02-24,49
2011-02-25,46
2011-02-26,43
2011-02-27,45
2011-02-28,47
2011-03-01,52
2011-03-02,55
2011-03-03,54
2011-03-04,56
2011-03-05,59
2011-03-06,58
2011-03-07,61
2011-03-08,56
2011-03-09,58
2011-03-10,54
2011-03-11,58
2011-03-12,53
2011-03-13,51
2011-03-14,50
2011-03-15,49
2011-03-16,47
2011-03-17,47
2011-03-18,45
2011-03-19,44
2011-03-20,45
2011-03-21,47
2011-03-22,51
2011-03-23,51
2011-03-24,53
2011-03-25,58
2011-03-26,57
2011-03-27,56
2011-03-28,55
2011-03-29,57
2011-03-30,53
2011-03-31,55
