Date,Ruckus Wireless
2013-12-14,40
2013-12-15,40
2013-12-16,40
2013-12-17,40
2013-12-18,40
2013-12-19,40
2013-12-20,40
2013-12-21,40
2013-12-22,40
2013-12-23,40
2013-12-24,40
2013-12-25,40
2013-12-26,40
2013-12-27,40
2013-12-28,40
2013-12-29,40
2013-12-30,40
2013-12-31,40
2014-01-01,40
2014-01-02,40
2014-01-03,40
2014-01-04,40
2014-01-05,40
2014-01-06,40
2014-01-07,40
2014-01-08,40
2014-01-09,40
2014-01-10,40
2014-01-11,40
2014-01-12,40
2014-01-13,40
2014-01-14,40
2014-01-15,40
2014-01-16,40
2014-01-17,40
2014-01-18,40
2014-01-19,40
2014-01-20,40
2014-01-21,40
2014-01-22,40
2014-01-23,40
2014-01-24,40
2014-01-25,40
2014-01-26,40
2014-01-27,40
2014-01-28,40
2014-01-29,40
2014-01-30,40
2014-01-31,40
2014-02-01,40
