Date,Univar
2010-04-27,66
2010-04-28,65
2010-04-29,64
2010-04-30,63
2010-05-01,62
2010-05-02,61
2010-05-03,60
2010-05-04,59
2010-05-05,58
2010-05-06,57
2010-05-07,56
2010-05-08,55
2010-05-09,58
2010-05-10,61
2010-05-11,64
2010-05-12,67
2010-05-13,70
2010-05-14,73
2010-05-15,76
2010-05-16,75
2010-05-17,74
2010-05-18,73
2010-05-19,73
2010-05-20,72
2010-05-21,71
2010-05-22,71
2010-05-23,71
2010-05-24,71
2010-05-25,71
2010-05-26,72
2010-05-27,72
2010-05-28,72
2010-05-29,72
2010-05-30,69
2010-06-06,55
2010-06-07,59
2010-06-08,63
2010-06-09,67
2010-06-10,71
2010-06-11,75
2010-06-12,79
2010-06-13,79
2010-06-14,79
2010-06-15,79
2010-06-16,79
2010-06-17,79
2010-06-18,79
2010-06-19,80
2010-06-20,82
2010-06-21,86
2010-06-22,89
2010-06-23,92
2010-06-24,95
2010-06-25,97
2010-06-26,100
2010-06-27,97
2010-06-28,95
2010-06-29,92
2010-06-30,89
2010-07-01,86
2010-07-02,83
2010-07-03,81
2010-07-04,75
2010-07-05,68
2010-07-06,62
2010-07-07,56
2010-07-08,50
2010-07-09,44
2010-07-10,38
2010-07-11,39
2010-07-12,40
2010-07-13,42
2010-07-14,43
2010-07-15,45
2010-07-16,46
2010-07-17,48
2010-07-18,51
2010-07-19,54
2010-07-20,58
2010-07-21,61
2010-07-22,65
2010-07-23,68
2010-07-24,72
2010-07-25,73
2010-07-26,75
2010-07-27,76
2010-07-28,78
2010-07-29,79
2010-07-30,81
2010-07-31,82
2010-08-01,77
2010-08-02,71
2010-08-03,66
2010-08-04,60
2010-08-05,55
2010-08-06,50
2010-08-07,45
2010-08-08,49
2010-08-09,54
2010-08-10,59
2010-08-11,63
2010-08-12,68
2010-08-13,73
2010-08-14,78
2010-08-15,78
2010-08-16,78
2010-08-17,78
2010-08-18,78
2010-08-19,78
2010-08-20,78
2010-08-21,78
2010-08-22,75
2010-08-23,73
2010-08-24,70
2010-08-25,68
2010-08-26,65
2010-08-27,63
2010-08-28,61
2010-08-29,62
2010-09-05,74
2010-09-06,74
2010-09-07,74
2010-09-08,74
2010-09-09,74
2010-09-10,74
2010-09-11,74
2010-09-12,71
2010-09-13,67
2010-09-14,64
2010-09-15,61
2010-09-16,58
2010-09-17,55
2010-09-18,52
2010-09-19,57
2010-09-20,64
2010-09-21,69
2010-09-22,75
2010-09-23,81
2010-09-24,87
2010-09-25,93
2010-09-26,89
2010-09-27,85
2010-09-28,80
2010-09-29,76
2010-09-30,72
2010-10-01,67
2010-10-02,63
2010-10-03,63
2010-10-04,62
2010-10-05,61
2010-10-06,61
2010-10-07,60
2010-10-08,60
2010-10-09,60
2010-10-10,63
2010-10-11,66
2010-10-12,70
2010-10-13,73
2010-10-14,77
2010-10-15,80
2010-10-16,84
2010-10-17,80
2010-10-18,77
2010-10-19,74
2010-10-20,71
2010-10-21,68
2010-10-22,65
2010-10-23,62
2010-10-24,61
2010-10-25,60
2010-10-26,59
2010-10-27,58
2010-10-28,57
2010-10-29,56
2010-10-30,55
2010-10-31,54
2010-11-01,53
2010-11-02,52
2010-11-03,51
2010-11-04,50
2010-11-05,49
2010-11-06,49
2010-11-07,54
2010-11-08,59
2010-11-09,65
2010-11-10,70
2010-11-11,75
2010-11-12,81
2010-11-13,86
2010-11-14,81
2010-11-15,76
2010-11-16,71
2010-11-17,66
2010-11-18,61
2010-11-19,56
2010-11-20,51
2010-11-21,51
2010-11-22,51
2010-11-23,52
2010-11-24,52
2010-11-25,53
2010-11-26,53
2010-11-27,54
2010-11-28,54
2010-12-05,53
2010-12-06,50
2010-12-07,48
2010-12-08,45
2010-12-09,43
2010-12-10,40
2010-12-11,38
2010-12-12,44
2010-12-13,51
2010-12-14,57
2010-12-15,63
2010-12-16,70
2010-12-17,76
2010-12-18,83
2010-12-19,79
2010-12-20,74
2010-12-21,70
2010-12-22,66
2010-12-23,62
2010-12-24,58
2010-12-25,54
2010-12-26,54
2010-12-27,54
2010-12-28,54
2010-12-29,54
2010-12-30,54
2010-12-31,54
2011-01-01,54
2011-01-02,54
2011-01-03,54
2011-01-04,54
2011-01-05,54
2011-01-06,54
2011-01-07,54
2011-01-08,54
2011-01-09,55
2011-01-10,56
2011-01-11,57
2011-01-12,59
2011-01-13,60
2011-01-14,61
2011-01-15,63
2011-01-16,63
2011-01-17,65
2011-01-18,66
2011-01-19,66
2011-01-20,67
2011-01-21,68
2011-01-22,69
2011-01-23,69
2011-01-24,69
2011-01-25,69
2011-01-26,68
2011-01-27,68
2011-01-28,68
2011-01-29,68
2011-01-30,66
2011-01-31,63
2011-02-01,60
2011-02-02,58
2011-02-03,55
2011-02-04,53
2011-02-05,51
2011-02-06,51
2011-02-07,52
2011-02-08,53
2011-02-09,53
2011-02-10,54
2011-02-11,55
2011-02-12,56
2011-02-13,57
2011-02-14,59
2011-02-15,61
2011-02-16,62
2011-02-17,64
2011-02-18,65
2011-02-19,67
2011-02-20,66
2011-02-21,64
2011-02-22,62
2011-02-23,61
2011-02-24,59
2011-02-25,58
2011-02-26,57
2011-02-27,55
2011-03-06,46
2011-03-07,46
2011-03-08,46
2011-03-09,46
2011-03-10,46
2011-03-11,46
2011-03-12,46
2011-03-13,45
2011-03-14,43
2011-03-15,42
2011-03-16,41
2011-03-17,40
2011-03-18,39
2011-03-19,38
2011-03-20,41
2011-03-21,44
2011-03-22,47
2011-03-23,50
2011-03-24,53
2011-03-25,56
2011-03-26,60
2011-03-27,58
2011-03-28,58
2011-03-29,57
2011-03-30,56
2011-03-31,54
2011-04-01,53
2011-04-02,52
2011-04-03,50
2011-04-04,48
2011-04-05,46
2011-04-06,44
2011-04-07,42
2011-04-08,40
2011-04-09,38
2011-04-10,40
2011-04-11,42
2011-04-12,44
2011-04-13,46
2011-04-14,48
2011-04-15,50
2011-04-16,52
2011-04-17,56
2011-04-18,62
2011-04-19,67
2011-04-20,72
2011-04-21,77
2011-04-22,82
2011-04-23,87
2011-04-24,83
2011-04-25,77
2011-04-26,73
2011-04-27,69
2011-04-28,65
2011-04-29,61
2011-04-30,57
2011-05-01,56
2011-05-02,55
2011-05-03,54
2011-05-04,54
2011-05-05,53
2011-05-06,52
2011-05-07,52
2011-05-08,52
2011-05-09,52
2011-05-10,53
2011-05-11,53
2011-05-12,54
2011-05-13,54
2011-05-14,55
2011-05-15,53
2011-05-16,52
2011-05-17,51
2011-05-18,50
2011-05-19,48
2011-05-20,47
2011-05-21,46
2011-05-22,47
2011-05-23,49
2011-05-24,51
2011-05-25,53
2011-05-26,54
2011-05-27,56
2011-05-28,58
2011-05-29,57
2011-06-05,49
2011-06-06,49
2011-06-07,49
2011-06-08,48
2011-06-09,48
2011-06-10,48
2011-06-11,48
2011-06-12,48
2011-06-13,49
2011-06-14,50
2011-06-15,51
2011-06-16,52
2011-06-17,53
2011-06-18,54
2011-06-19,56
2011-06-20,59
2011-06-21,62
2011-06-22,64
2011-06-23,67
2011-06-24,70
2011-06-25,72
2011-06-26,68
2011-06-27,63
2011-06-28,58
2011-06-29,54
2011-06-30,50
2011-07-01,45
2011-07-02,41
2011-07-03,40
2011-07-04,39
2011-07-05,38
2011-07-06,37
2011-07-07,36
2011-07-08,35
2011-07-09,35
2011-07-10,38
2011-07-11,42
2011-07-12,46
2011-07-13,50
2011-07-14,54
2011-07-15,58
2011-07-16,62
2011-07-17,60
2011-07-18,58
2011-07-19,57
2011-07-20,55
2011-07-21,53
2011-07-22,51
2011-07-23,49
2011-07-24,50
2011-07-25,50
2011-07-26,51
2011-07-27,52
2011-07-28,53
2011-07-29,54
2011-07-30,55
2011-07-31,57
2011-08-01,59
2011-08-02,61
2011-08-03,63
2011-08-04,65
2011-08-05,67
2011-08-06,69
2011-08-07,68
2011-08-08,68
2011-08-09,67
2011-08-10,67
2011-08-11,66
2011-08-12,65
2011-08-13,65
2011-08-14,61
2011-08-15,57
2011-08-16,54
2011-08-17,50
2011-08-18,47
2011-08-19,43
2011-08-20,40
2011-08-21,41
2011-08-22,42
2011-08-23,43
2011-08-24,45
2011-08-25,46
2011-08-26,47
2011-08-27,49
2011-08-28,51
2011-09-04,64
2011-09-05,61
2011-09-06,58
2011-09-07,55
2011-09-08,52
2011-09-09,49
2011-09-10,47
2011-09-11,50
2011-09-12,53
2011-09-13,57
2011-09-14,60
2011-09-15,63
2011-09-16,67
2011-09-17,70
2011-09-18,67
2011-09-19,63
2011-09-20,60
2011-09-21,57
2011-09-22,54
2011-09-23,51
2011-09-24,49
2011-09-25,50
2011-09-26,52
2011-09-27,53
2011-09-28,55
2011-09-29,56
2011-09-30,58
2011-10-01,60
2011-10-02,59
2011-10-03,58
2011-10-04,57
2011-10-05,56
2011-10-06,56
2011-10-07,55
2011-10-08,54
2011-10-09,52
2011-10-10,50
2011-10-11,48
2011-10-12,47
2011-10-13,45
2011-10-14,43
2011-10-15,42
2011-10-16,44
2011-10-17,47
2011-10-18,50
2011-10-19,53
2011-10-20,56
2011-10-21,58
2011-10-22,61
2011-10-23,58
2011-10-24,55
2011-10-25,52
2011-10-26,49
2011-10-27,46
2011-10-28,43
2011-10-29,41
2011-10-30,44
2011-10-31,48
2011-11-01,52
2011-11-02,55
2011-11-03,59
2011-11-04,63
2011-11-05,66
2011-11-06,64
2011-11-07,60
2011-11-08,57
2011-11-09,54
2011-11-10,51
2011-11-11,48
2011-11-12,46
2011-11-13,46
2011-11-14,46
2011-11-15,47
2011-11-16,47
2011-11-17,48
2011-11-18,48
2011-11-19,49
2011-11-20,50
2011-11-21,51
2011-11-22,52
2011-11-23,54
2011-11-24,55
2011-11-25,56
2011-11-26,58
2011-11-27,56
