Date,Graham Packaging
2010-11-10,24
2010-11-11,25
2010-11-12,26
2010-11-13,27
2010-11-14,25
2010-11-15,24
2010-11-16,23
2010-11-17,21
2010-11-18,20
2010-11-19,19
2010-11-20,18
2010-11-21,17
2010-11-22,17
2010-11-23,17
2010-11-24,17
2010-11-25,17
2010-11-26,17
2010-11-27,17
2010-11-28,17
2010-12-05,17
2010-12-06,18
2010-12-07,18
2010-12-08,19
2010-12-09,19
2010-12-10,20
2010-12-11,21
2010-12-12,21
2010-12-13,21
2010-12-14,21
2010-12-15,21
2010-12-16,21
2010-12-17,21
2010-12-18,21
2010-12-19,21
2010-12-20,21
2010-12-21,21
2010-12-22,21
2010-12-23,21
2010-12-24,21
2010-12-25,21
2010-12-26,21
2010-12-27,21
2010-12-28,21
2010-12-29,21
2010-12-30,21
2010-12-31,21
2011-01-01,21
2011-01-02,21
2011-01-03,21
2011-01-04,21
2011-01-05,21
2011-01-06,21
2011-01-07,21
2011-01-08,21
2011-01-09,21
2011-01-10,22
2011-01-11,23
2011-01-12,24
2011-01-13,24
2011-01-14,25
2011-01-15,26
2011-01-16,25
2011-01-17,24
2011-01-18,23
2011-01-19,22
2011-01-20,21
2011-01-21,20
2011-01-22,20
2011-01-23,20
2011-01-24,21
2011-01-25,21
2011-01-26,22
2011-01-27,22
2011-01-28,23
2011-01-29,24
2011-01-30,24
2011-01-31,24
2011-02-01,24
2011-02-02,24
2011-02-03,24
2011-02-04,24
2011-02-05,25
2011-02-06,25
2011-02-07,26
2011-02-08,27
2011-02-09,27
2011-02-10,28
2011-02-11,28
2011-02-12,29
2011-02-13,29
2011-02-14,28
2011-02-15,28
2011-02-16,27
2011-02-17,27
2011-02-18,27
2011-02-19,27
2011-02-20,25
2011-02-21,23
2011-02-22,22
2011-02-23,20
2011-02-24,19
2011-02-25,17
2011-02-26,16
2011-02-27,16
2011-03-06,20
2011-03-07,21
2011-03-08,21
2011-03-09,22
2011-03-10,22
2011-03-11,23
2011-03-12,24
2011-03-13,24
2011-03-14,31
2011-03-15,26
2011-03-16,26
2011-03-17,27
2011-03-18,28
2011-03-19,29
2011-03-20,29
2011-03-21,30
2011-03-22,30
2011-03-23,31
2011-03-24,31
2011-03-25,32
2011-03-26,33
2011-03-27,32
2011-03-28,31
2011-03-29,31
2011-03-30,30
2011-03-31,30
2011-04-01,29
2011-04-02,29
2011-04-03,29
2011-04-04,29
2011-04-05,29
2011-04-06,30
2011-04-07,30
2011-04-08,30
2011-04-09,31
2011-04-10,40
2011-04-11,51
2011-04-12,61
2011-04-13,72
2011-04-14,82
2011-04-15,92
2011-04-16,103
2011-04-17,93
2011-04-18,78
2011-04-19,67
2011-04-20,57
2011-04-21,46
2011-04-22,35
2011-04-23,25
2011-04-24,24
2011-04-25,23
2011-04-26,23
2011-04-27,22
2011-04-28,22
2011-04-29,21
2011-04-30,21
2011-05-01,22
2011-05-02,24
2011-05-03,25
2011-05-04,27
2011-05-05,28
2011-05-06,30
2011-05-07,32
2011-05-08,30
2011-05-09,28
2011-05-10,27
2011-05-11,25
2011-05-12,24
2011-05-13,22
2011-05-14,21
2011-05-15,21
2011-05-16,21
2011-05-17,21
2011-05-18,21
2011-05-19,21
2011-05-20,21
2011-05-21,22
2011-05-22,22
2011-05-23,22
2011-05-24,22
2011-05-25,22
2011-05-26,22
2011-05-27,22
2011-05-28,23
2011-05-29,23
