Date,HD Supply
2013-01-25,60
2013-01-26,69
2013-01-27,60
2013-01-28,61
2013-01-29,63
2013-01-30,64
2013-01-31,67
2013-02-01,71
2013-02-02,76
2013-02-03,67
2013-02-04,65
2013-02-05,63
2013-02-06,62
2013-02-07,62
2013-02-08,58
2013-02-09,66
2013-02-10,60
2013-02-11,62
2013-02-12,66
2013-02-13,67
2013-02-14,73
2013-02-15,75
2013-02-16,79
2013-02-17,73
2013-02-18,71
2013-02-19,69
2013-02-20,68
2013-02-21,65
2013-02-22,66
2013-02-23,68
2013-02-24,63
2013-02-25,60
2013-02-26,62
2013-02-27,59
2013-02-28,59
2013-03-01,61
2013-03-02,62
2013-03-03,60
2013-03-04,62
2013-03-05,64
2013-03-06,67
2013-03-07,74
2013-03-08,74
2013-03-09,74
2013-03-10,72
2013-03-11,71
2013-03-12,70
2013-03-13,69
2013-03-14,71
2013-03-15,68
2013-03-16,66
2013-03-17,66
2013-03-18,67
2013-03-19,68
2013-03-20,70
2013-03-21,74
2013-03-22,71
2013-03-23,81
2013-03-24,70
2013-03-25,69
2013-03-26,68
2013-03-27,67
2013-03-28,69
2013-03-29,65
2013-03-30,70
2013-03-31,64
2013-04-01,64
2013-04-02,64
2013-04-03,69
2013-04-04,65
2013-04-05,70
2013-04-06,75
2013-04-07,66
2013-04-08,66
2013-04-09,67
2013-04-10,67
2013-04-11,67
2013-04-12,72
2013-04-13,74
2013-04-14,67
2013-04-15,67
2013-04-16,67
2013-04-17,66
2013-04-18,69
2013-04-19,66
2013-04-20,66
2013-04-21,67
2013-04-22,68
2013-04-23,70
2013-04-24,70
2013-04-25,74
2013-04-26,73
2013-04-27,86
2013-04-28,72
2013-04-29,70
2013-04-30,68
2013-05-01,66
2013-05-02,69
2013-05-03,62
2013-05-04,68
2013-05-05,62
2013-05-06,64
2013-05-07,68
2013-05-08,69
2013-05-09,70
2013-05-10,74
2013-05-11,84
2013-05-12,73
2013-05-13,72
2013-05-14,71
2013-05-15,70
2013-05-16,70
2013-05-17,72
2013-05-18,75
2013-05-19,69
2013-05-20,65
2013-05-21,63
2013-05-22,62
2013-05-23,60
2013-05-24,60
2013-05-25,66
2013-05-26,58
2013-05-27,58
2013-05-28,58
2013-05-29,58
2013-05-30,59
2013-05-31,58
2013-06-01,64
2013-06-02,60
2013-06-03,63
2013-06-04,66
2013-06-05,70
2013-06-06,72
2013-06-07,77
2013-06-08,82
2013-06-09,84
2013-06-10,73
2013-06-11,70
2013-06-12,73
2013-06-13,65
2013-06-14,63
2013-06-15,71
2013-06-16,62
2013-06-17,64
2013-06-18,65
2013-06-19,68
2013-06-20,70
2013-06-21,70
2013-06-22,79
2013-06-23,83
2013-06-24,80
2013-06-25,84
2013-06-26,90
2013-06-27,92
2013-06-28,105
2013-06-29,114
2013-06-30,98
2013-07-01,89
2013-07-02,83
2013-07-03,84
2013-07-04,84
2013-07-05,67
2013-07-06,71
2013-07-07,65
2013-07-08,65
2013-07-09,68
2013-07-10,69
2013-07-11,71
2013-07-12,74
2013-07-13,88
2013-07-14,74
2013-07-15,73
2013-07-16,77
2013-07-17,72
2013-07-18,74
2013-07-19,74
2013-07-20,77
2013-07-21,71
2013-07-22,73
2013-07-23,76
2013-07-24,79
2013-07-25,79
2013-07-26,84
2013-07-27,97
2013-07-28,83
2013-07-29,81
2013-07-30,81
2013-07-31,81
2013-08-01,81
2013-08-02,80
2013-08-03,93
2013-08-04,79
2013-08-05,79
2013-08-06,79
2013-08-07,79
2013-08-08,81
2013-08-09,79
2013-08-10,91
2013-08-11,78
2013-08-12,78
2013-08-13,78
2013-08-14,78
2013-08-15,80
2013-08-16,83
2013-08-17,84
2013-08-18,79
2013-08-19,75
2013-08-20,74
2013-08-21,76
2013-08-22,72
2013-08-23,73
2013-08-24,80
2013-08-25,72
2013-08-26,71
2013-08-27,71
2013-08-28,72
2013-08-29,78
2013-08-30,73
2013-08-31,85
2013-09-01,72
2013-09-02,70
2013-09-03,68
2013-09-04,66
2013-09-05,64
2013-09-06,62
2013-09-07,72
2013-09-08,61
2013-09-09,62
2013-09-10,63
2013-09-11,67
2013-09-12,65
2013-09-13,71
2013-09-14,75
2013-09-15,68
2013-09-16,67
2013-09-17,67
2013-09-18,68
2013-09-19,67
2013-09-20,70
2013-09-21,67
2013-09-22,68
2013-09-23,69
2013-09-24,71
2013-09-25,73
2013-09-26,74
2013-09-27,78
2013-09-28,90
2013-09-29,76
2013-09-30,75
2013-10-01,74
2013-10-02,74
2013-10-03,78
2013-10-04,72
2013-10-05,84
2013-10-06,71
2013-10-07,70
2013-10-08,70
2013-10-09,70
2013-10-10,69
2013-10-11,68
2013-10-12,78
2013-10-13,70
2013-10-14,69
2013-10-15,70
2013-10-16,70
2013-10-17,75
2013-10-18,75
2013-10-19,83
2013-10-20,71
2013-10-21,70
2013-10-22,68
2013-10-23,67
2013-10-24,65
2013-10-25,69
2013-10-26,71
2013-10-27,64
2013-10-28,65
2013-10-29,66
2013-10-30,68
2013-10-31,68
2013-11-01,73
2013-11-02,79
2013-11-03,68
2013-11-04,66
2013-11-05,67
2013-11-06,66
2013-11-07,62
2013-11-08,60
2013-11-09,60
2013-11-10,60
2013-11-11,62
2013-11-12,63
2013-11-13,67
2013-11-14,68
2013-11-15,68
2013-11-16,77
2013-11-17,69
2013-11-18,68
2013-11-19,70
2013-11-20,66
2013-11-21,65
2013-11-22,69
2013-11-23,69
2013-11-24,61
2013-11-25,58
2013-11-26,55
2013-11-27,55
2013-11-28,56
2013-11-29,47
2013-11-30,47
2013-12-01,50
2013-12-02,51
2013-12-03,55
2013-12-04,58
2013-12-05,61
2013-12-06,67
2013-12-07,78
2013-12-08,67
2013-12-09,67
2013-12-10,70
2013-12-11,67
2013-12-12,67
2013-12-13,72
2013-12-14,73
2013-12-15,66
2013-12-16,65
2013-12-17,65
2013-12-18,64
2013-12-19,65
2013-12-20,67
2013-12-21,70
2013-12-22,59
2013-12-23,56
2013-12-24,56
2013-12-25,50
2013-12-26,47
2013-12-27,44
2013-12-28,41
2013-12-29,43
2013-12-30,45
2013-12-31,48
2014-01-01,50
2014-01-02,52
2014-01-03,57
2014-01-04,63
2014-01-05,62
2014-01-06,62
2014-01-07,64
2014-01-08,67
2014-01-09,69
2014-01-10,73
2014-01-11,86
2014-01-12,74
2014-01-13,74
2014-01-14,74
2014-01-15,75
2014-01-16,73
2014-01-17,76
2014-01-18,80
2014-01-19,77
2014-01-20,73
2014-01-21,73
2014-01-22,74
2014-01-23,76
2014-01-24,76
2014-01-25,84
2014-01-26,78
2014-01-27,75
2014-01-28,78
2014-01-29,76
2014-01-30,78
2014-01-31,77
2014-02-01,96
2014-02-02,76
2014-02-03,75
2014-02-04,74
2014-02-05,74
2014-02-06,74
2014-02-07,70
2014-02-08,78
2014-02-09,73
2014-02-10,70
2014-02-11,71
2014-02-12,76
2014-02-13,73
2014-02-14,76
2014-02-15,84
2014-02-16,78
2014-02-17,75
2014-02-18,76
2014-02-19,76
2014-02-20,78
2014-02-21,82
2014-02-22,90
2014-02-23,77
2014-02-24,77
2014-02-25,77
2014-02-26,77
2014-02-27,77
2014-02-28,82
2014-03-01,90
