Date,EVERTEC
2013-12-20,29
2013-12-21,29
2013-12-22,29
2013-12-23,29
2013-12-24,29
2013-12-25,29
2013-12-26,29
2013-12-27,29
2013-12-28,29
2013-12-29,29
2013-12-30,29
2013-12-31,29
2014-01-01,29
2014-01-02,29
2014-01-03,29
2014-01-04,29
2014-01-05,29
2014-01-06,29
2014-01-07,29
2014-01-08,29
2014-01-09,29
2014-01-10,29
2014-01-11,29
2014-01-12,29
2014-01-13,29
2014-01-14,29
2014-01-15,29
2014-01-16,29
2014-01-17,29
2014-01-18,30
2014-01-19,29
2014-01-20,28
2014-01-21,27
2014-01-22,26
2014-01-23,25
2014-01-24,24
2014-01-25,23
2014-01-26,25
2014-02-01,43
2014-02-02,40
2014-02-03,38
2014-02-04,36
2014-02-05,33
2014-02-06,31
2014-02-07,29
2014-02-08,27
2014-02-09,27
2014-02-10,27
2014-02-11,27
2014-02-12,27
2014-02-13,27
2014-02-14,27
2014-02-15,27
2014-02-16,26
2014-02-17,25
2014-02-18,24
2014-02-19,24
2014-02-20,23
2014-02-21,22
2014-02-22,22
2014-02-23,23
2014-02-24,25
2014-02-25,26
2014-02-26,28
2014-02-27,29
2014-02-28,31
2014-03-01,33
