Date,Ironplanet
2010-05-18,69
2010-05-19,71
2010-05-20,74
2010-05-21,77
2010-05-22,80
2010-05-23,82
2010-05-24,85
2010-05-25,88
2010-05-26,91
2010-05-27,94
2010-05-28,97
2010-05-29,100
2010-05-30,98
2010-06-06,84
2010-06-07,83
2010-06-08,82
2010-06-09,81
2010-06-10,80
2010-06-11,79
2010-06-12,79
2010-06-13,78
2010-06-14,78
2010-06-15,78
2010-06-16,78
2010-06-17,78
2010-06-18,78
2010-06-19,78
2010-06-20,78
2010-06-21,79
2010-06-22,80
2010-06-23,81
2010-06-24,82
2010-06-25,83
2010-06-26,84
2010-06-27,81
2010-06-28,79
2010-06-29,77
2010-06-30,74
2010-07-01,72
2010-07-02,70
2010-07-03,68
2010-07-04,71
2010-07-05,74
2010-07-06,78
2010-07-07,81
2010-07-08,85
2010-07-09,88
2010-07-10,92
2010-07-11,88
2010-07-12,84
2010-07-13,80
2010-07-14,76
2010-07-15,72
2010-07-16,69
2010-07-17,65
2010-07-18,66
2010-07-19,67
2010-07-20,68
2010-07-21,69
2010-07-22,70
2010-07-23,71
2010-07-24,73
2010-07-25,75
2010-07-26,78
2010-07-27,80
2010-07-28,82
2010-07-29,84
2010-07-30,87
2010-07-31,89
2010-08-01,84
2010-08-02,78
2010-08-03,74
2010-08-04,69
2010-08-05,65
2010-08-06,60
2010-08-07,56
2010-08-08,57
2010-08-09,59
2010-08-10,60
2010-08-11,62
2010-08-12,63
2010-08-13,65
2010-08-14,67
2010-08-15,67
2010-08-16,67
2010-08-17,66
2010-08-18,66
2010-08-19,66
2010-08-20,66
2010-08-21,66
2010-08-22,65
2010-08-23,65
2010-08-24,64
2010-08-25,64
2010-08-26,63
2010-08-27,62
2010-08-28,62
2010-08-29,57
2010-09-05,27
2010-09-06,28
2010-09-07,28
2010-09-08,29
2010-09-09,29
2010-09-10,30
2010-09-11,31
2010-09-12,34
2010-09-13,38
2010-09-14,42
2010-09-15,46
2010-09-16,49
2010-09-17,53
2010-09-18,57
2010-09-19,56
2010-09-20,54
2010-09-21,53
2010-09-22,52
2010-09-23,51
2010-09-24,50
2010-09-25,49
2010-09-26,49
2010-09-27,50
2010-09-28,51
2010-09-29,52
2010-09-30,53
2010-10-01,54
2010-10-02,55
2010-10-03,53
2010-10-04,50
2010-10-05,48
2010-10-06,46
2010-10-07,44
2010-10-08,42
2010-10-09,40
2010-10-10,41
2010-10-11,43
2010-10-12,45
2010-10-13,46
2010-10-14,48
2010-10-15,50
2010-10-16,52
2010-10-17,53
2010-10-18,54
2010-10-19,55
2010-10-20,56
2010-10-21,57
2010-10-22,58
2010-10-23,59
2010-10-24,57
2010-10-25,55
2010-10-26,53
2010-10-27,51
2010-10-28,49
2010-10-29,47
2010-10-30,45
2010-10-31,45
2010-11-01,46
2010-11-02,46
2010-11-03,47
2010-11-04,47
2010-11-05,48
2010-11-06,49
2010-11-07,53
2010-11-08,57
2010-11-09,61
2010-11-10,65
2010-11-11,69
2010-11-12,73
2010-11-13,78
2010-11-14,76
2010-11-15,75
2010-11-16,74
2010-11-17,72
2010-11-18,71
2010-11-19,70
2010-11-20,68
2010-11-21,66
2010-11-22,63
2010-11-23,61
2010-11-24,59
2010-11-25,57
2010-11-26,55
2010-11-27,53
2010-11-28,52
2010-12-05,52
2010-12-06,54
2010-12-07,55
2010-12-08,57
2010-12-09,58
2010-12-10,60
2010-12-11,62
2010-12-12,61
2010-12-13,60
2010-12-14,59
2010-12-15,58
2010-12-16,57
2010-12-17,56
2010-12-18,55
2010-12-19,54
2010-12-20,53
2010-12-21,53
2010-12-22,52
2010-12-23,52
2010-12-24,51
2010-12-25,51
2010-12-26,51
2010-12-27,51
2010-12-28,51
2010-12-29,51
2010-12-30,51
2010-12-31,51
2011-01-01,52
2011-01-02,53
2011-01-03,55
2011-01-04,56
2011-01-05,58
2011-01-06,59
2011-01-07,60
2011-01-08,62
2011-01-09,59
2011-01-10,57
2011-01-11,54
2011-01-12,52
2011-01-13,49
2011-01-14,47
2011-01-15,45
2011-01-16,46
2011-01-17,47
2011-01-18,49
2011-01-19,50
2011-01-20,52
2011-01-21,53
2011-01-22,55
2011-01-23,56
2011-01-24,59
2011-01-25,61
2011-01-26,62
2011-01-27,64
2011-01-28,66
2011-01-29,68
2011-01-30,65
2011-01-31,62
2011-02-01,59
2011-02-02,57
2011-02-03,54
2011-02-04,51
2011-02-05,48
2011-02-06,47
2011-02-07,46
2011-02-08,45
2011-02-09,45
2011-02-10,44
2011-02-11,43
2011-02-12,43
2011-02-13,43
2011-02-14,43
2011-02-15,44
2011-02-16,44
2011-02-17,45
2011-02-18,45
2011-02-19,46
2011-02-20,47
2011-02-21,48
2011-02-22,49
2011-02-23,50
2011-02-24,51
2011-02-25,52
2011-02-26,53
2011-02-27,53
2011-03-06,58
2011-03-07,58
2011-03-08,57
2011-03-09,57
2011-03-10,56
2011-03-11,55
2011-03-12,55
2011-03-13,54
2011-03-14,53
2011-03-15,52
2011-03-16,51
2011-03-17,50
2011-03-18,49
2011-03-19,49
2011-03-20,51
2011-03-21,53
2011-03-22,55
2011-03-23,58
2011-03-24,60
2011-03-25,62
2011-03-26,65
2011-03-27,66
2011-03-28,69
2011-03-29,71
2011-03-30,72
2011-03-31,74
2011-04-01,76
2011-04-02,78
2011-04-03,74
2011-04-04,69
2011-04-05,65
2011-04-06,61
2011-04-07,57
2011-04-08,53
2011-04-09,50
2011-04-10,52
2011-04-11,54
2011-04-12,56
2011-04-13,58
2011-04-14,60
2011-04-15,62
2011-04-16,64
2011-04-17,63
2011-04-18,63
2011-04-19,62
2011-04-20,61
2011-04-21,61
2011-04-22,60
2011-04-23,60
2011-04-24,61
2011-04-25,62
2011-04-26,63
2011-04-27,64
2011-04-28,65
2011-04-29,66
2011-04-30,67
2011-05-01,65
2011-05-02,64
2011-05-03,63
2011-05-04,62
2011-05-05,61
2011-05-06,59
2011-05-07,58
2011-05-08,55
2011-05-09,52
2011-05-10,49
2011-05-11,46
2011-05-12,43
2011-05-13,40
2011-05-14,37
2011-05-15,38
2011-05-16,39
2011-05-17,41
2011-05-18,42
2011-05-19,44
2011-05-20,45
2011-05-21,47
2011-05-22,47
2011-05-23,47
2011-05-24,47
2011-05-25,47
2011-05-26,48
2011-05-27,48
2011-05-28,48
2011-05-29,48
2011-06-05,47
2011-06-06,48
2011-06-07,49
2011-06-08,50
2011-06-09,51
2011-06-10,52
2011-06-11,53
2011-06-12,53
2011-06-13,54
2011-06-14,55
2011-06-15,56
2011-06-16,57
2011-06-17,58
2011-06-18,59
2011-06-19,60
2011-06-20,61
2011-06-21,62
2011-06-22,64
2011-06-23,65
2011-06-24,66
2011-06-25,67
2011-06-26,65
2011-06-27,63
2011-06-28,61
2011-06-29,60
2011-06-30,58
2011-07-01,56
2011-07-02,55
2011-07-03,55
2011-07-04,55
2011-07-05,55
2011-07-06,56
2011-07-07,56
2011-07-08,56
2011-07-09,57
2011-07-10,56
2011-07-11,55
2011-07-12,54
2011-07-13,54
2011-07-14,53
2011-07-15,52
2011-07-16,52
2011-07-17,52
2011-07-18,52
2011-07-19,52
2011-07-20,52
2011-07-21,52
2011-07-22,52
2011-07-23,52
2011-07-24,51
2011-07-25,51
2011-07-26,51
2011-07-27,50
2011-07-28,50
2011-07-29,49
2011-07-30,49
2011-07-31,48
2011-08-01,48
2011-08-02,47
2011-08-03,47
2011-08-04,46
2011-08-05,46
2011-08-06,46
2011-08-07,49
2011-08-08,53
2011-08-09,56
2011-08-10,60
2011-08-11,63
2011-08-12,67
2011-08-13,70
2011-08-14,68
2011-08-15,66
2011-08-16,63
2011-08-17,61
2011-08-18,59
2011-08-19,57
2011-08-20,55
2011-08-21,55
2011-08-22,54
2011-08-23,54
2011-08-24,53
2011-08-25,53
2011-08-26,53
2011-08-27,53
2011-08-28,52
