Date,Targa Resources
2010-07-14,69
2010-07-15,70
2010-07-16,70
2010-07-17,71
2010-07-18,71
2010-07-19,72
2010-07-20,73
2010-07-21,73
2010-07-22,74
2010-07-23,74
2010-07-24,75
2010-07-25,75
2010-07-26,76
2010-07-27,77
2010-07-28,77
2010-07-29,78
2010-07-30,78
2010-07-31,79
2010-08-01,80
2010-08-02,78
2010-08-03,77
2010-08-04,76
2010-08-05,75
2010-08-06,74
2010-08-07,73
2010-08-08,72
2010-08-09,71
2010-08-10,70
2010-08-11,69
2010-08-12,68
2010-08-13,67
2010-08-14,66
2010-08-15,65
2010-08-16,64
2010-08-17,63
2010-08-18,62
2010-08-19,61
2010-08-20,60
2010-08-21,59
2010-08-22,58
2010-08-23,57
2010-08-24,56
2010-08-25,55
2010-08-26,54
2010-08-27,53
2010-08-28,52
2010-08-29,51
2010-08-30,50
2010-08-31,49
2010-09-01,48
2010-09-02,48
2010-09-03,48
2010-09-04,48
2010-09-05,48
2010-09-06,49
2010-09-07,49
2010-09-08,49
2010-09-09,49
2010-09-10,49
2010-09-11,50
2010-09-12,50
2010-09-13,50
2010-09-14,50
2010-09-15,50
2010-09-16,51
2010-09-17,51
2010-09-18,51
2010-09-19,51
2010-09-20,51
2010-09-21,52
2010-09-22,52
2010-09-23,52
2010-09-24,52
2010-09-25,52
2010-09-26,53
2010-09-27,53
2010-09-28,53
2010-09-29,53
2010-09-30,53
2010-10-01,54
2010-10-02,54
2010-10-03,54
2010-10-04,54
2010-10-05,55
2010-10-06,55
2010-10-07,55
2010-10-08,56
2010-10-09,56
2010-10-10,56
2010-10-11,57
2010-10-12,57
2010-10-13,57
2010-10-14,58
2010-10-15,58
2010-10-16,58
2010-10-17,59
2010-10-18,59
2010-10-19,59
2010-10-20,60
2010-10-21,60
2010-10-22,60
2010-10-23,61
2010-10-24,61
2010-10-25,61
2010-10-26,62
2010-10-27,62
2010-10-28,62
2010-10-29,63
2010-10-30,63
2010-10-31,63
2010-11-01,64
2010-11-02,64
2010-11-03,65
2010-11-04,66
2010-11-05,67
2010-11-06,67
2010-11-07,68
2010-11-08,69
2010-11-09,70
2010-11-10,70
2010-11-11,71
2010-11-12,72
2010-11-13,73
2010-11-14,73
2010-11-15,74
2010-11-16,75
2010-11-17,76
2010-11-18,77
2010-11-19,77
2010-11-20,78
2010-11-21,79
2010-11-22,80
2010-11-23,80
2010-11-24,81
2010-11-25,82
2010-11-26,83
2010-11-27,83
2010-11-28,84
2010-11-29,85
2010-11-30,86
2010-12-05,82
2010-12-06,83
2010-12-07,82
2010-12-08,81
2010-12-09,81
2010-12-10,81
2010-12-11,83
2010-12-12,73
2010-12-13,72
2010-12-14,71
2010-12-15,70
2010-12-16,69
2010-12-17,67
2010-12-18,66
2010-12-19,65
2010-12-20,64
2010-12-21,63
2010-12-22,61
2010-12-23,60
2010-12-24,59
2010-12-25,58
2010-12-26,57
2010-12-27,55
2010-12-28,54
2010-12-29,53
2010-12-30,52
2010-12-31,51
2011-01-01,50
2011-01-02,50
2011-01-03,50
2011-01-04,51
2011-01-05,51
2011-01-06,52
2011-01-07,52
2011-01-08,53
2011-01-09,53
2011-01-10,54
2011-01-11,54
2011-01-12,55
2011-01-13,55
2011-01-14,56
2011-01-15,56
2011-01-16,57
2011-01-17,57
2011-01-18,58
2011-01-19,58
2011-01-20,59
2011-01-21,59
2011-01-22,60
2011-01-23,60
2011-01-24,63
2011-01-25,61
2011-01-26,62
2011-01-27,62
2011-01-28,63
2011-01-29,63
2011-01-30,64
2011-01-31,64
2011-02-01,65
2011-02-02,65
2011-02-03,65
2011-02-04,65
2011-02-05,66
2011-02-06,66
2011-02-07,66
2011-02-08,66
2011-02-09,66
2011-02-10,66
2011-02-11,67
2011-02-12,67
2011-02-13,67
2011-02-14,67
2011-02-15,68
2011-02-16,68
2011-02-17,68
2011-02-18,68
2011-02-19,68
2011-02-20,69
2011-02-21,69
2011-02-22,69
2011-02-23,69
2011-02-24,69
2011-02-25,70
2011-02-26,70
2011-02-27,70
2011-03-06,73
2011-03-07,88
2011-03-08,74
2011-03-09,74
2011-03-10,75
2011-03-11,75
2011-03-12,75
2011-03-13,76
2011-03-14,76
2011-03-15,77
2011-03-16,77
2011-03-17,78
2011-03-18,78
2011-03-19,79
2011-03-20,79
2011-03-21,80
2011-03-22,80
2011-03-23,81
2011-03-24,81
2011-03-25,82
2011-03-26,82
2011-03-27,82
2011-03-28,83
2011-03-29,83
2011-03-30,84
2011-03-31,84
2011-04-01,85
2011-04-02,84
2011-04-03,83
2011-04-04,82
2011-04-05,81
2011-04-06,80
2011-04-07,79
2011-04-08,78
2011-04-09,77
2011-04-10,76
2011-04-11,76
2011-04-12,75
2011-04-13,74
2011-04-14,73
2011-04-15,72
2011-04-16,71
2011-04-17,70
2011-04-18,71
2011-04-19,70
2011-04-20,69
2011-04-21,69
2011-04-22,69
2011-04-23,71
2011-04-24,63
2011-04-25,62
2011-04-26,61
2011-04-27,60
2011-04-28,59
2011-04-29,58
2011-04-30,57
2011-05-01,57
2011-05-02,57
2011-05-03,57
2011-05-04,58
2011-05-05,58
2011-05-06,59
2011-05-07,59
2011-05-08,60
2011-05-09,60
2011-05-10,61
2011-05-11,61
2011-05-12,62
2011-05-13,62
2011-05-14,63
2011-05-15,63
2011-05-16,64
2011-05-17,64
2011-05-18,65
2011-05-19,65
2011-05-20,66
2011-05-21,66
2011-05-22,67
2011-05-23,67
2011-05-24,68
2011-05-25,68
2011-05-26,69
2011-05-27,69
2011-05-28,70
2011-05-29,70
2011-06-01,72
2011-06-02,70
2011-06-03,69
2011-06-04,68
2011-06-05,67
2011-06-06,66
2011-06-07,65
2011-06-08,64
2011-06-09,63
2011-06-10,62
2011-06-11,61
2011-06-12,60
2011-06-13,59
2011-06-14,58
2011-06-15,57
2011-06-16,56
2011-06-17,54
2011-06-18,53
2011-06-19,52
2011-06-20,51
2011-06-21,50
2011-06-22,49
2011-06-23,48
2011-06-24,47
2011-06-25,46
2011-06-26,45
2011-06-27,44
2011-06-28,43
2011-06-29,42
2011-06-30,41
2011-07-01,40
2011-07-02,40
2011-07-03,41
2011-07-04,41
2011-07-05,42
2011-07-06,42
2011-07-07,43
2011-07-08,43
2011-07-09,44
2011-07-10,44
2011-07-11,45
2011-07-12,46
2011-07-13,46
2011-07-14,47
2011-07-15,47
2011-07-16,48
2011-07-17,48
2011-07-18,49
2011-07-19,49
2011-07-20,50
2011-07-21,50
2011-07-22,51
2011-07-23,52
2011-07-24,52
2011-07-25,53
2011-07-26,53
2011-07-27,54
2011-07-28,54
2011-07-29,55
2011-07-30,55
2011-07-31,56
2011-08-01,57
2011-08-02,56
2011-08-03,56
2011-08-04,56
2011-08-05,55
2011-08-06,55
2011-08-07,55
2011-08-08,55
2011-08-09,54
2011-08-10,54
2011-08-11,54
2011-08-12,54
2011-08-13,53
2011-08-14,53
2011-08-15,53
2011-08-16,53
2011-08-17,52
2011-08-18,52
2011-08-19,52
2011-08-20,52
2011-08-21,51
2011-08-22,51
2011-08-23,51
2011-08-24,51
2011-08-25,50
2011-08-26,50
2011-08-27,50
2011-08-28,50
2011-08-29,49
2011-08-30,49
2011-08-31,49
2011-09-01,49
2011-09-02,49
2011-09-03,49
2011-09-04,49
2011-09-05,49
2011-09-06,50
2011-09-07,50
2011-09-08,50
2011-09-09,50
2011-09-10,50
2011-09-11,51
2011-09-12,51
2011-09-13,51
2011-09-14,51
2011-09-15,51
2011-09-16,52
2011-09-17,52
2011-09-18,52
2011-09-19,52
2011-09-20,52
2011-09-21,53
2011-09-22,53
2011-09-23,53
2011-09-24,53
2011-09-25,53
2011-09-26,54
2011-09-27,54
2011-09-28,54
2011-09-29,54
2011-09-30,54
2011-10-01,55
2011-10-02,54
2011-10-03,54
2011-10-04,54
2011-10-05,54
2011-10-06,54
2011-10-07,54
2011-10-08,54
2011-10-09,53
2011-10-10,53
2011-10-11,53
2011-10-12,53
2011-10-13,53
2011-10-14,53
2011-10-15,53
2011-10-16,53
2011-10-17,52
2011-10-18,52
2011-10-19,52
2011-10-20,52
2011-10-21,52
2011-10-22,52
2011-10-23,52
2011-10-24,52
2011-10-25,51
2011-10-26,51
2011-10-27,51
2011-10-28,51
2011-10-29,51
2011-10-30,51
2011-10-31,51
2011-11-01,51
2011-11-02,50
2011-11-03,50
2011-11-04,49
2011-11-05,49
2011-11-06,48
2011-11-07,48
2011-11-08,47
2011-11-09,47
2011-11-10,47
2011-11-11,46
2011-11-12,46
2011-11-13,45
2011-11-14,45
2011-11-15,44
2011-11-16,44
2011-11-17,44
2011-11-18,43
2011-11-19,43
2011-11-20,42
2011-11-21,42
2011-11-22,41
2011-11-23,41
2011-11-24,41
2011-11-25,40
2011-11-26,40
2011-11-27,39
2011-11-28,39
2011-11-29,38
2011-11-30,38
2011-12-04,39
2011-12-05,40
2011-12-06,40
2011-12-07,41
2011-12-08,41
2011-12-09,42
2011-12-10,42
2011-12-11,43
2011-12-12,43
2011-12-13,43
2011-12-14,44
2011-12-15,44
2011-12-16,45
2011-12-17,45
2011-12-18,46
2011-12-19,46
2011-12-20,47
2011-12-21,47
2011-12-22,48
2011-12-23,48
2011-12-24,49
2011-12-25,49
2011-12-26,50
2011-12-27,50
2011-12-28,51
2011-12-29,51
2011-12-30,52
2011-12-31,52
2012-01-01,53
2012-01-02,53
2012-01-03,54
2012-01-04,55
2012-01-05,56
2012-01-06,57
2012-01-07,57
2012-01-08,58
2012-01-09,59
2012-01-10,60
2012-01-11,61
2012-01-12,61
2012-01-13,62
2012-01-14,63
2012-01-15,64
2012-01-16,65
2012-01-17,65
2012-01-18,66
2012-01-19,67
2012-01-20,68
2012-01-21,69
2012-01-22,69
2012-01-23,70
2012-01-24,71
2012-01-25,72
2012-01-26,73
2012-01-27,73
2012-01-28,74
2012-01-29,75
2012-01-30,76
2012-01-31,77
2012-02-01,78
