Date,Renewable Energy
2011-08-29,70
2011-08-30,69
2011-08-31,70
2011-09-01,68
2011-09-02,71
2011-09-03,73
2011-09-04,68
2011-09-05,68
2011-09-06,70
2011-09-07,69
2011-09-08,69
2011-09-09,72
2011-09-10,73
2011-09-11,71
2011-09-12,73
2011-09-13,75
2011-09-14,76
2011-09-15,79
2011-09-16,85
2011-09-17,88
2011-09-18,82
2011-09-19,82
2011-09-20,83
2011-09-21,83
2011-09-22,83
2011-09-23,86
2011-09-24,91
2011-09-25,83
2011-09-26,82
2011-09-27,83
2011-09-28,82
2011-09-29,80
2011-09-30,82
2011-10-01,79
2011-10-02,80
2011-10-03,81
2011-10-04,83
2011-10-05,83
2011-10-06,86
2011-10-07,86
2011-10-08,97
2011-10-09,86
2011-10-10,85
2011-10-11,84
2011-10-12,84
2011-10-13,86
2011-10-14,84
2011-10-15,86
2011-10-16,83
2011-10-17,84
2011-10-18,86
2011-10-19,89
2011-10-20,89
2011-10-21,96
2011-10-22,99
2011-10-23,90
2011-10-24,89
2011-10-25,87
2011-10-26,87
2011-10-27,87
2011-10-28,83
2011-10-29,90
2011-10-30,82
2011-10-31,83
2011-11-01,85
2011-11-02,86
2011-11-03,88
2011-11-04,87
2011-11-05,96
2011-11-06,87
2011-11-07,87
2011-11-08,88
2011-11-09,86
2011-11-10,88
2011-11-11,87
2011-11-12,92
2011-11-13,87
2011-11-14,88
2011-11-15,89
2011-11-16,91
2011-11-17,93
2011-11-18,97
2011-11-19,103
2011-11-20,92
2011-11-21,89
2011-11-22,88
2011-11-23,84
2011-11-24,83
2011-11-25,84
2011-11-26,78
2011-11-27,78
2011-11-28,79
2011-11-29,83
2011-11-30,81
2011-12-01,83
2011-12-02,85
2011-12-03,94
2011-12-04,84
2011-12-05,83
2011-12-06,82
2011-12-07,82
2011-12-08,80
2011-12-09,79
2011-12-10,87
2011-12-11,78
2011-12-12,78
2011-12-13,79
2011-12-14,78
2011-12-15,78
2011-12-16,83
2011-12-17,83
2011-12-18,77
2011-12-19,71
2011-12-20,67
2011-12-21,67
2011-12-22,61
2011-12-23,60
2011-12-24,57
2011-12-25,53
2011-12-26,50
2011-12-27,48
2011-12-28,47
2011-12-29,45
2011-12-30,45
2011-12-31,43
2012-01-01,44
2012-01-02,47
2012-01-03,50
2012-01-04,52
2012-01-05,56
2012-01-06,58
2012-01-07,64
2012-01-08,65
2012-01-09,65
2012-01-10,68
2012-01-11,70
2012-01-12,72
2012-01-13,79
2012-01-14,88
2012-01-15,77
2012-01-16,77
2012-01-17,78
2012-01-18,78
2012-01-19,79
2012-01-20,82
2012-01-21,83
2012-01-22,81
2012-01-23,79
2012-01-24,78
2012-01-25,78
2012-01-26,78
2012-01-27,80
2012-01-28,86
2012-01-29,78
2012-01-30,79
2012-01-31,80
2012-02-01,81
2012-02-02,82
2012-02-03,86
2012-02-04,91
2012-02-05,83
2012-02-06,83
2012-02-07,83
2012-02-08,83
2012-02-09,83
2012-02-10,84
2012-02-11,89
2012-02-12,81
2012-02-13,81
2012-02-14,81
2012-02-15,80
2012-02-16,80
2012-02-17,82
2012-02-18,82
2012-02-19,79
2012-02-20,80
2012-02-21,81
2012-02-22,82
2012-02-23,83
2012-02-24,87
2012-02-25,90
2012-02-26,84
2012-02-27,84
2012-02-28,84
2012-02-29,86
2012-03-01,84
2012-03-02,85
2012-03-03,92
2012-03-04,84
2012-03-05,84
2012-03-06,84
2012-03-07,84
2012-03-08,85
2012-03-09,88
2012-03-10,92
2012-03-11,84
2012-03-12,84
2012-03-13,84
2012-03-14,84
2012-03-15,85
2012-03-16,88
2012-03-17,92
2012-03-18,83
2012-03-19,82
2012-03-20,83
2012-03-21,81
2012-03-22,82
2012-03-23,83
2012-03-24,85
2012-03-25,80
2012-03-26,80
2012-03-27,82
2012-03-28,80
2012-03-29,81
2012-03-30,83
2012-03-31,88
2012-04-01,78
2012-04-02,76
2012-04-03,74
2012-04-04,74
2012-04-05,71
2012-04-06,73
2012-04-07,72
2012-04-08,68
2012-04-09,69
2012-04-10,70
2012-04-11,71
2012-04-12,72
2012-04-13,73
2012-04-14,75
2012-04-15,77
2012-04-16,76
2012-04-17,78
2012-04-18,80
2012-04-19,83
2012-04-20,88
2012-04-21,91
2012-04-22,86
2012-04-23,86
2012-04-24,87
2012-04-25,90
2012-04-26,87
2012-04-27,91
2012-04-28,97
2012-04-29,88
2012-04-30,88
2012-05-01,89
2012-05-02,91
2012-05-03,89
2012-05-04,92
2012-05-05,99
2012-05-06,90
2012-05-07,90
2012-05-08,90
2012-05-09,91
2012-05-10,91
2012-05-11,93
2012-05-12,99
2012-05-13,92
2012-05-14,90
2012-05-15,89
2012-05-16,89
2012-05-17,87
2012-05-18,91
2012-05-19,91
2012-05-20,84
2012-05-21,83
2012-05-22,82
2012-05-23,81
2012-05-24,81
2012-05-25,82
2012-05-26,84
2012-05-27,80
2012-05-28,77
2012-05-29,77
2012-05-30,77
2012-05-31,76
2012-06-01,78
2012-06-02,82
2012-06-03,74
2012-06-04,73
2012-06-05,72
2012-06-06,72
2012-06-07,71
2012-06-08,69
2012-06-09,72
2012-06-10,68
2012-06-11,69
2012-06-12,69
2012-06-13,70
2012-06-14,71
2012-06-15,72
2012-06-16,78
2012-06-17,71
2012-06-18,71
2012-06-19,72
2012-06-20,71
2012-06-21,71
2012-06-22,72
2012-06-23,77
2012-06-24,69
2012-06-25,68
2012-06-26,67
2012-06-27,66
2012-06-28,66
2012-06-29,65
2012-06-30,69
2012-07-01,62
2012-07-02,61
2012-07-03,62
2012-07-04,61
2012-07-05,60
2012-07-06,59
2012-07-07,65
2012-07-08,59
2012-07-09,59
2012-07-10,59
2012-07-11,60
2012-07-12,59
2012-07-13,61
2012-07-14,64
2012-07-15,59
2012-07-16,60
2012-07-17,61
2012-07-18,61
2012-07-19,63
2012-07-20,63
2012-07-21,72
2012-07-22,63
2012-07-23,63
2012-07-24,63
2012-07-25,65
2012-07-26,63
2012-07-27,64
2012-07-28,68
2012-07-29,62
2012-07-30,61
2012-07-31,62
2012-08-01,60
2012-08-02,61
2012-08-03,61
2012-08-04,60
2012-08-05,59
2012-08-06,59
2012-08-07,59
2012-08-08,59
2012-08-09,59
2012-08-10,61
2012-08-11,63
2012-08-12,59
2012-08-13,59
2012-08-14,61
2012-08-15,60
2012-08-16,62
2012-08-17,61
2012-08-18,64
2012-08-19,67
2012-08-20,62
2012-08-21,62
2012-08-22,65
2012-08-23,63
2012-08-24,64
2012-08-25,67
2012-08-26,64
2012-08-27,64
2012-08-28,64
2012-08-29,67
2012-08-30,65
2012-08-31,68
2012-09-01,70
2012-09-02,66
2012-09-03,67
2012-09-04,68
2012-09-05,69
2012-09-06,70
2012-09-07,73
2012-09-08,77
2012-09-09,72
2012-09-10,73
2012-09-11,73
2012-09-12,74
2012-09-13,77
2012-09-14,76
2012-09-15,83
2012-09-16,75
2012-09-17,75
2012-09-18,74
2012-09-19,74
2012-09-20,73
2012-09-21,77
2012-09-22,80
2012-09-23,73
2012-09-24,73
2012-09-25,73
2012-09-26,73
2012-09-27,73
2012-09-28,74
2012-09-29,81
2012-09-30,72
2012-10-01,72
2012-10-02,75
2012-10-03,72
2012-10-04,73
2012-10-05,72
2012-10-06,78
2012-10-07,72
2012-10-08,73
2012-10-09,73
2012-10-10,74
2012-10-11,76
2012-10-12,75
2012-10-13,85
2012-10-14,76
2012-10-15,77
2012-10-16,78
2012-10-17,78
2012-10-18,80
2012-10-19,84
2012-10-20,89
2012-10-21,81
2012-10-22,81
2012-10-23,82
2012-10-24,81
2012-10-25,81
2012-10-26,84
2012-10-27,89
2012-10-28,80
2012-10-29,79
2012-10-30,79
2012-10-31,79
2012-11-01,79
2012-11-02,78
2012-11-03,81
2012-11-04,77
2012-11-05,77
2012-11-06,78
2012-11-07,77
2012-11-08,78
2012-11-09,78
2012-11-10,84
2012-11-11,77
2012-11-12,77
2012-11-13,77
2012-11-14,77
2012-11-15,79
2012-11-16,80
2012-11-17,81
2012-11-18,78
2012-11-19,76
2012-11-20,76
2012-11-21,76
2012-11-22,76
2012-11-23,77
2012-11-24,79
2012-11-25,74
2012-11-26,75
2012-11-27,77
2012-11-28,77
2012-11-29,78
2012-11-30,79
2012-12-01,87
2012-12-02,78
2012-12-03,78
2012-12-04,78
2012-12-05,80
2012-12-06,77
2012-12-07,78
2012-12-08,83
2012-12-09,75
2012-12-10,74
2012-12-11,74
2012-12-12,73
2012-12-13,71
2012-12-14,71
2012-12-15,75
2012-12-16,67
2012-12-17,65
2012-12-18,63
2012-12-19,64
2012-12-20,62
2012-12-21,58
2012-12-22,61
2012-12-23,57
2012-12-24,50
2012-12-25,49
2012-12-26,44
2012-12-27,41
2012-12-28,38
2012-12-29,35
2012-12-30,36
2012-12-31,38
