Date,Mead Johnson Nutrition Co
2008-10-21,22
2008-10-22,20
2008-10-23,19
2008-10-24,17
2008-10-25,16
2008-10-26,16
2008-10-27,16
2008-10-28,16
2008-10-29,16
2008-10-30,16
2008-10-31,16
2008-11-01,16
2008-11-02,16
2008-11-03,16
2008-11-04,16
2008-11-05,17
2008-11-06,17
2008-11-07,17
2008-11-08,18
2008-11-09,17
2008-11-10,17
2008-11-11,17
2008-11-12,16
2008-11-13,16
2008-11-14,16
2008-11-15,16
2008-11-16,15
2008-11-17,15
2008-11-18,15
2008-11-19,14
2008-11-20,14
2008-11-21,14
2008-11-22,14
2008-11-23,16
2008-11-24,18
2008-11-25,20
2008-11-26,22
2008-11-27,24
2008-11-28,26
2008-11-29,28
2008-11-30,27
2008-12-07,25
2008-12-08,24
2008-12-09,23
2008-12-10,21
2008-12-11,20
2008-12-12,18
2008-12-13,17
2008-12-14,17
2008-12-15,17
2008-12-16,17
2008-12-17,17
2008-12-18,17
2008-12-19,17
2008-12-20,17
2008-12-21,17
2008-12-22,18
2008-12-23,18
2008-12-24,19
2008-12-25,19
2008-12-26,20
2008-12-27,21
2008-12-28,21
2008-12-29,21
2008-12-30,21
2008-12-31,21
2009-01-01,21
2009-01-02,21
2009-01-03,21
2009-01-04,21
2009-01-05,21
2009-01-06,21
2009-01-07,21
2009-01-08,21
2009-01-09,21
2009-01-10,22
2009-01-11,22
2009-01-12,22
2009-01-13,22
2009-01-14,22
2009-01-15,22
2009-01-16,22
2009-01-17,22
2009-01-18,22
2009-01-19,22
2009-01-20,22
2009-01-21,22
2009-01-22,22
2009-01-23,22
2009-01-24,22
2009-01-25,22
2009-01-26,22
2009-01-27,22
2009-01-28,23
2009-01-29,23
2009-01-30,23
2009-01-31,24
2009-02-01,25
2009-02-02,27
2009-02-03,28
2009-02-04,30
2009-02-05,31
2009-02-06,33
2009-02-07,35
2009-02-08,44
2009-02-09,54
2009-02-10,63
2009-02-11,73
2009-02-12,83
2009-02-13,92
2009-02-14,102
2009-02-15,95
2009-02-16,85
2009-02-17,78
2009-02-18,70
2009-02-19,62
2009-02-20,55
2009-02-21,47
2009-02-22,45
2009-03-01,30
2009-03-02,28
2009-03-03,26
2009-03-04,25
2009-03-05,23
2009-03-06,21
2009-03-07,20
2009-03-08,21
2009-03-09,22
2009-03-10,24
2009-03-11,25
2009-03-12,27
2009-03-13,28
2009-03-14,30
2009-03-15,29
2009-03-16,28
2009-03-17,27
2009-03-18,27
2009-03-19,26
2009-03-20,25
2009-03-21,25
2009-03-22,25
2009-03-23,26
2009-03-24,27
2009-03-25,27
2009-03-26,28
2009-03-27,29
2009-03-28,30
2009-03-29,30
2009-03-30,30
2009-03-31,30
2009-04-01,30
2009-04-02,31
2009-04-03,31
2009-04-04,31
2009-04-05,30
2009-04-06,29
2009-04-07,28
2009-04-08,28
2009-04-09,27
2009-04-10,26
2009-04-11,26
2009-04-12,25
2009-04-13,24
2009-04-14,23
2009-04-15,23
2009-04-16,22
2009-04-17,21
2009-04-18,21
2009-04-19,20
2009-04-20,20
2009-04-21,20
2009-04-22,19
2009-04-23,19
2009-04-24,19
2009-04-25,19
2009-04-26,19
2009-04-27,20
2009-04-28,21
2009-04-29,22
2009-04-30,23
2009-05-01,24
2009-05-02,25
2009-05-03,24
2009-05-04,24
2009-05-05,23
2009-05-06,23
2009-05-07,22
2009-05-08,22
2009-05-09,22
2009-05-10,22
2009-05-11,22
2009-05-12,23
2009-05-13,23
2009-05-14,23
2009-05-15,23
2009-05-16,24
2009-05-17,23
2009-05-18,22
2009-05-19,21
2009-05-20,21
2009-05-21,20
2009-05-22,19
2009-05-23,19
2009-05-24,19
2009-05-25,20
2009-05-26,21
2009-05-27,22
2009-05-28,23
2009-05-29,24
2009-05-30,25
2009-05-31,24
2009-06-07,20
2009-06-08,20
2009-06-09,21
2009-06-10,21
2009-06-11,22
2009-06-12,22
2009-06-13,23
2009-06-14,23
2009-06-15,23
2009-06-16,23
2009-06-17,23
2009-06-18,23
2009-06-19,23
2009-06-20,23
2009-06-21,23
2009-06-22,24
2009-06-23,25
2009-06-24,25
2009-06-25,26
2009-06-26,26
2009-06-27,27
2009-06-28,25
2009-06-29,23
2009-06-30,22
2009-07-01,20
2009-07-02,19
2009-07-03,17
2009-07-04,16
2009-07-05,17
2009-07-06,19
2009-07-07,21
2009-07-08,22
2009-07-09,24
2009-07-10,26
2009-07-11,28
2009-07-12,27
2009-07-13,27
2009-07-14,27
2009-07-15,27
2009-07-16,27
2009-07-17,27
2009-07-18,27
2009-07-19,26
2009-07-20,25
2009-07-21,24
2009-07-22,23
2009-07-23,22
2009-07-24,21
2009-07-25,20
2009-07-26,19
2009-07-27,18
2009-07-28,18
2009-07-29,17
2009-07-30,17
2009-07-31,16
2009-08-01,16
2009-08-02,16
2009-08-03,17
2009-08-04,18
2009-08-05,19
2009-08-06,20
2009-08-07,21
2009-08-08,22
2009-08-09,21
2009-08-10,20
2009-08-11,19
2009-08-12,19
2009-08-13,18
2009-08-14,17
2009-08-15,17
2009-08-16,17
2009-08-17,17
2009-08-18,17
2009-08-19,17
2009-08-20,17
2009-08-21,17
2009-08-22,17
2009-08-23,17
2009-08-24,18
2009-08-25,18
2009-08-26,19
2009-08-27,19
2009-08-28,20
2009-08-29,21
2009-08-30,21
2009-09-06,24
2009-09-07,22
2009-09-08,20
2009-09-09,18
2009-09-10,16
2009-09-11,14
2009-09-12,12
2009-09-13,13
2009-09-14,14
2009-09-15,16
2009-09-16,17
2009-09-17,19
2009-09-18,20
2009-09-19,22
2009-09-20,23
2009-09-21,24
2009-09-22,25
2009-09-23,26
2009-09-24,27
2009-09-25,28
2009-09-26,29
2009-09-27,28
2009-09-28,27
2009-09-29,26
2009-09-30,26
2009-10-01,25
2009-10-02,24
2009-10-03,24
2009-10-04,24
2009-10-05,24
2009-10-06,24
2009-10-07,24
2009-10-08,24
2009-10-09,24
2009-10-10,24
2009-10-11,23
2009-10-12,23
2009-10-13,23
2009-10-14,23
2009-10-15,23
2009-10-16,23
2009-10-17,23
2009-10-18,22
2009-10-19,22
2009-10-20,22
2009-10-21,21
2009-10-22,21
2009-10-23,21
2009-10-24,21
2009-10-25,20
2009-10-26,19
2009-10-27,19
2009-10-28,18
2009-10-29,18
2009-10-30,17
2009-10-31,17
2009-11-01,17
2009-11-02,18
2009-11-03,19
2009-11-04,19
2009-11-05,20
2009-11-06,21
2009-11-07,22
2009-11-08,22
2009-11-09,22
2009-11-10,22
2009-11-11,22
2009-11-12,22
2009-11-13,22
2009-11-14,23
2009-11-15,26
2009-11-16,29
2009-11-17,33
2009-11-18,36
2009-11-19,39
2009-11-20,43
2009-11-21,46
2009-11-22,45
2009-11-23,44
2009-11-24,43
2009-11-25,42
2009-11-26,41
2009-11-27,40
2009-11-28,39
2009-11-29,40
2009-12-06,51
2009-12-07,51
2009-12-08,51
2009-12-09,51
2009-12-10,51
2009-12-11,50
2009-12-12,50
2009-12-13,48
2009-12-14,46
2009-12-15,43
2009-12-16,41
2009-12-17,39
2009-12-18,37
2009-12-19,35
2009-12-20,32
2009-12-21,28
2009-12-22,25
2009-12-23,22
2009-12-24,19
2009-12-25,16
2009-12-26,14
2009-12-27,13
2009-12-28,13
2009-12-29,13
2009-12-30,13
2009-12-31,13
2010-01-01,13
2010-01-02,13
2010-01-03,13
2010-01-04,14
2010-01-05,15
2010-01-06,15
2010-01-07,16
2010-01-08,17
2010-01-09,18
2010-01-10,17
2010-01-11,16
2010-01-12,16
2010-01-13,15
2010-01-14,15
2010-01-15,14
2010-01-16,14
2010-01-17,14
2010-01-18,15
2010-01-19,16
2010-01-20,16
2010-01-21,17
2010-01-22,18
2010-01-23,19
2010-01-24,19
2010-01-25,20
2010-01-26,20
2010-01-27,21
2010-01-28,22
2010-01-29,22
2010-01-30,23
2010-01-31,22
2010-02-01,20
2010-02-02,19
2010-02-03,18
2010-02-04,17
2010-02-05,16
2010-02-06,15
2010-02-07,15
2010-02-08,15
2010-02-09,15
2010-02-10,15
2010-02-11,15
2010-02-12,15
2010-02-13,16
2010-02-14,16
2010-02-15,16
2010-02-16,16
2010-02-17,16
2010-02-18,16
2010-02-19,16
2010-02-20,16
2010-02-21,16
2010-02-22,16
2010-02-23,16
2010-02-24,16
2010-02-25,16
2010-02-26,16
2010-02-27,17
2010-02-28,18
