Date,EnergySolutions
2008-01-18,40
2008-01-19,39
2008-01-20,37
2008-01-21,35
2008-01-22,34
2008-01-23,32
2008-01-24,31
2008-01-25,29
2008-01-26,28
2008-01-27,29
2008-01-28,30
2008-01-29,31
2008-01-30,32
2008-01-31,33
2008-02-01,34
2008-02-02,36
2008-02-03,38
2008-02-04,40
2008-02-05,42
2008-02-06,44
2008-02-07,46
2008-02-08,49
2008-02-09,51
2008-02-10,50
2008-02-11,49
2008-02-12,48
2008-02-13,48
2008-02-14,47
2008-02-15,46
2008-02-16,45
2008-02-17,46
2008-02-18,47
2008-02-19,48
2008-02-20,49
2008-02-21,50
2008-02-22,51
2008-02-23,53
2008-02-24,54
2008-03-02,58
2008-03-03,55
2008-03-04,52
2008-03-05,49
2008-03-06,46
2008-03-07,43
2008-03-08,40
2008-03-09,40
2008-03-10,40
2008-03-11,40
2008-03-12,41
2008-03-13,41
2008-03-14,41
2008-03-15,42
2008-03-16,40
2008-03-17,39
2008-03-18,37
2008-03-19,36
2008-03-20,34
2008-03-21,33
2008-03-22,32
2008-03-23,33
2008-03-24,34
2008-03-25,35
2008-03-26,37
2008-03-27,38
2008-03-28,39
2008-03-29,41
2008-03-30,42
2008-03-31,43
2008-04-01,45
2008-04-02,46
2008-04-03,47
2008-04-04,49
2008-04-05,50
2008-04-06,47
2008-04-07,44
2008-04-08,42
2008-04-09,39
2008-04-10,37
2008-04-11,34
2008-04-12,32
2008-04-13,34
2008-04-14,36
2008-04-15,38
2008-04-16,40
2008-04-17,42
2008-04-18,45
2008-04-19,47
2008-04-20,47
2008-04-21,47
2008-04-22,47
2008-04-23,47
2008-04-24,47
2008-04-25,47
2008-04-26,48
2008-04-27,45
2008-04-28,42
2008-04-29,39
2008-04-30,36
2008-05-01,33
2008-05-02,30
2008-05-03,28
2008-05-04,31
2008-05-05,35
2008-05-06,38
2008-05-07,42
2008-05-08,45
2008-05-09,49
2008-05-10,53
2008-05-11,54
2008-05-12,56
2008-05-13,58
2008-05-14,59
2008-05-15,61
2008-05-16,63
2008-05-17,64
2008-05-18,60
2008-05-19,56
2008-05-20,52
2008-05-21,48
2008-05-22,44
2008-05-23,40
2008-05-24,36
2008-05-25,37
2008-06-01,43
2008-06-02,43
2008-06-03,43
2008-06-04,43
2008-06-05,43
2008-06-06,43
2008-06-07,43
2008-06-08,42
2008-06-09,42
2008-06-10,42
2008-06-11,42
2008-06-12,42
2008-06-13,42
2008-06-14,42
2008-06-15,42
2008-06-16,42
2008-06-17,42
2008-06-18,42
2008-06-19,42
2008-06-20,42
2008-06-21,42
2008-06-22,41
2008-06-23,41
2008-06-24,41
2008-06-25,41
2008-06-26,41
2008-06-27,40
2008-06-28,40
2008-06-29,39
2008-06-30,38
2008-07-01,37
2008-07-02,36
2008-07-03,35
2008-07-04,34
2008-07-05,34
2008-07-06,33
2008-07-07,33
2008-07-08,33
2008-07-09,33
2008-07-10,33
2008-07-11,33
2008-07-12,33
2008-07-13,34
2008-07-14,36
2008-07-15,38
2008-07-16,40
2008-07-17,42
2008-07-18,44
2008-07-19,46
2008-07-20,43
2008-07-21,40
2008-07-22,38
2008-07-23,35
2008-07-24,33
2008-07-25,30
2008-07-26,28
2008-07-27,28
2008-07-28,29
2008-07-29,29
2008-07-30,30
2008-07-31,30
2008-08-01,31
2008-08-02,32
2008-08-03,34
2008-08-04,36
2008-08-05,38
2008-08-06,41
2008-08-07,43
2008-08-08,45
2008-08-09,48
2008-08-10,47
2008-08-11,47
2008-08-12,47
2008-08-13,47
2008-08-14,46
2008-08-15,46
2008-08-16,46
2008-08-17,44
2008-08-18,42
2008-08-19,40
2008-08-20,39
2008-08-21,37
2008-08-22,35
2008-08-23,34
2008-08-24,34
2008-08-25,34
2008-08-26,34
2008-08-27,34
2008-08-28,34
2008-08-29,34
2008-08-30,34
2008-08-31,29
