Date,WageWorks
2012-08-17,71
2012-08-18,76
2012-08-19,70
2012-08-20,70
2012-08-21,70
2012-08-22,71
2012-08-23,80
2012-08-24,71
2012-08-25,72
2012-08-26,72
2012-08-27,72
2012-08-28,75
2012-08-29,72
2012-08-30,72
2012-08-31,72
2012-09-01,76
2012-09-02,76
2012-09-03,69
2012-09-04,68
2012-09-05,69
2012-09-06,69
2012-09-07,65
2012-09-08,66
2012-09-09,62
2012-09-10,61
2012-09-11,59
2012-09-12,58
2012-09-13,56
2012-09-14,55
2012-09-15,58
2012-09-16,55
2012-09-17,57
2012-09-18,60
2012-09-19,60
2012-09-20,61
2012-09-21,67
2012-09-22,65
2012-09-23,64
2012-09-24,64
2012-09-25,64
2012-09-26,66
2012-09-27,64
2012-09-28,66
2012-09-29,70
2012-09-30,64
