Date,Rocket Fuel Inc
2013-11-06,67
2013-11-07,66
2013-11-08,65
2013-11-09,64
2013-11-10,63
2013-11-11,62
2013-11-12,60
2013-11-13,59
2013-11-14,58
2013-11-15,57
2013-11-16,56
2013-11-17,55
2013-11-18,54
2013-11-19,53
2013-11-20,52
2013-11-21,51
2013-11-22,49
2013-11-23,48
2013-11-24,47
2013-11-25,46
2013-11-26,45
2013-11-27,44
2013-11-28,43
2013-11-29,42
2013-11-30,41
2013-12-01,40
2013-12-02,41
2013-12-03,43
2013-12-04,44
2013-12-05,46
2013-12-06,47
2013-12-07,49
2013-12-08,50
2013-12-09,52
2013-12-10,53
2013-12-11,55
2013-12-12,56
2013-12-13,58
2013-12-14,59
2013-12-15,61
2013-12-16,62
2013-12-17,64
2013-12-18,65
2013-12-19,67
2013-12-20,68
2013-12-21,70
2013-12-22,71
2013-12-23,73
2013-12-24,74
2013-12-25,76
2013-12-26,77
2013-12-27,79
2013-12-28,80
2013-12-29,82
2013-12-30,83
2013-12-31,85
2014-01-01,87
2014-01-02,86
2014-01-03,85
2014-01-04,85
2014-01-05,84
2014-01-06,84
2014-01-07,83
2014-01-08,83
2014-01-09,82
2014-01-10,82
2014-01-11,81
2014-01-12,80
2014-01-13,80
2014-01-14,79
2014-01-15,79
2014-01-16,78
2014-01-17,78
2014-01-18,77
2014-01-19,77
2014-01-20,76
2014-01-21,76
2014-01-22,75
2014-01-23,74
2014-01-24,74
2014-01-25,73
2014-01-26,73
2014-01-27,72
2014-01-28,72
2014-01-29,71
2014-01-30,71
2014-01-31,70
2014-02-01,70
2014-02-02,67
2014-02-03,65
2014-02-04,62
2014-02-05,60
2014-02-06,57
2014-02-07,55
2014-02-08,52
2014-02-09,50
2014-02-10,47
2014-02-11,45
2014-02-12,42
2014-02-13,40
2014-02-14,37
2014-02-15,35
2014-02-16,32
2014-02-17,30
2014-02-18,27
2014-02-19,25
2014-02-20,22
2014-02-21,20
2014-02-22,17
2014-02-23,15
2014-02-24,12
2014-02-25,10
2014-02-26,7
2014-02-27,5
2014-02-28,2
