Date,Boise Cascade
2013-05-28,31
2013-05-29,30
2013-05-30,29
2013-05-31,28
2013-06-01,27
2013-06-02,27
2013-06-03,27
2013-06-04,27
2013-06-05,27
2013-06-06,27
2013-06-07,27
2013-06-08,28
2013-06-09,28
2013-06-10,28
2013-06-11,29
2013-06-12,29
2013-06-13,30
2013-06-14,30
2013-06-15,31
2013-06-16,31
2013-06-17,31
2013-06-18,31
2013-06-19,32
2013-06-20,32
2013-06-21,32
2013-06-22,33
2013-06-23,34
2013-06-24,35
2013-06-25,37
2013-06-26,38
2013-06-27,39
2013-06-28,41
2013-06-29,42
2013-06-30,40
2013-07-01,37
2013-07-02,34
2013-07-03,32
2013-07-04,29
2013-07-05,27
2013-07-06,25
2013-07-07,26
2013-07-08,27
2013-07-09,28
2013-07-10,30
2013-07-11,31
2013-07-12,32
2013-07-13,34
2013-07-14,37
2013-07-15,41
2013-07-16,44
2013-07-17,48
2013-07-18,52
2013-07-19,55
2013-07-20,59
2013-07-21,58
2013-07-22,58
2013-07-23,57
2013-07-24,56
2013-07-25,55
2013-07-26,55
2013-07-27,54
2013-07-28,51
2013-08-04,33
2013-08-05,34
2013-08-06,35
2013-08-07,37
2013-08-08,38
2013-08-09,39
2013-08-10,41
2013-08-11,39
2013-08-12,38
2013-08-13,36
2013-08-14,35
2013-08-15,33
2013-08-16,32
2013-08-17,31
2013-08-18,32
2013-08-19,33
2013-08-20,34
2013-08-21,35
2013-08-22,36
2013-08-23,37
2013-08-24,38
2013-08-25,38
2013-08-26,37
2013-08-27,37
2013-08-28,37
2013-08-29,37
2013-08-30,37
2013-08-31,37
2013-09-01,36
2013-09-02,35
2013-09-03,35
2013-09-04,34
2013-09-05,34
2013-09-06,33
2013-09-07,33
2013-09-08,31
2013-09-09,29
2013-09-10,28
2013-09-11,26
2013-09-12,25
2013-09-13,23
2013-09-14,22
2013-09-15,27
2013-09-16,33
2013-09-17,39
2013-09-18,44
2013-09-19,50
2013-09-20,56
2013-09-21,62
2013-09-22,59
2013-09-23,55
2013-09-24,52
2013-09-25,49
2013-09-26,46
2013-09-27,43
2013-09-28,40
2013-09-29,40
2013-09-30,40
2013-10-01,40
2013-10-02,40
2013-10-03,41
2013-10-04,41
2013-10-05,41
2013-10-06,39
2013-10-07,38
2013-10-08,36
2013-10-09,35
2013-10-10,33
2013-10-11,32
2013-10-12,31
2013-10-13,29
2013-10-14,28
2013-10-15,27
2013-10-16,26
2013-10-17,25
2013-10-18,24
2013-10-19,23
2013-10-20,26
2013-10-21,30
2013-10-22,33
2013-10-23,37
2013-10-24,40
2013-10-25,44
2013-10-26,47
2013-10-27,44
2013-11-03,29
2013-11-04,32
2013-11-05,34
2013-11-06,37
2013-11-07,40
2013-11-08,42
2013-11-09,45
2013-11-10,43
2013-11-11,41
2013-11-12,39
2013-11-13,38
2013-11-14,36
2013-11-15,34
2013-11-16,33
2013-11-17,33
2013-11-18,33
2013-11-19,33
2013-11-20,33
2013-11-21,33
2013-11-22,33
2013-11-23,33
2013-11-24,31
2013-11-25,29
2013-11-26,28
2013-11-27,26
2013-11-28,25
2013-11-29,23
2013-11-30,22
2013-12-01,22
2013-12-02,22
2013-12-03,22
2013-12-04,22
2013-12-05,22
2013-12-06,22
2013-12-07,23
2013-12-08,24
2013-12-09,26
2013-12-10,27
2013-12-11,29
2013-12-12,30
2013-12-13,32
2013-12-14,34
2013-12-15,33
2013-12-16,33
2013-12-17,32
2013-12-18,32
2013-12-19,31
2013-12-20,30
2013-12-21,30
2013-12-22,29
2013-12-23,27
2013-12-24,26
2013-12-25,25
2013-12-26,24
2013-12-27,23
2013-12-28,22
2013-12-29,22
2013-12-30,22
2013-12-31,23
2014-01-01,23
2014-01-02,24
2014-01-03,24
2014-01-04,25
2014-01-05,27
2014-01-06,30
2014-01-07,32
2014-01-08,35
2014-01-09,37
2014-01-10,40
2014-01-11,43
2014-01-12,40
2014-01-13,36
2014-01-14,34
2014-01-15,31
2014-01-16,29
2014-01-17,26
2014-01-18,24
2014-01-19,25
2014-01-20,26
2014-01-21,27
2014-01-22,29
2014-01-23,30
2014-01-24,31
2014-01-25,33
2014-01-26,33
2014-02-02,32
2014-02-03,30
2014-02-04,28
2014-02-05,26
2014-02-06,24
2014-02-07,22
2014-02-08,21
2014-02-09,21
2014-02-10,21
2014-02-11,22
2014-02-12,22
2014-02-13,23
2014-02-14,23
2014-02-15,24
2014-02-16,24
2014-02-17,25
2014-02-18,26
2014-02-19,26
2014-02-20,27
2014-02-21,28
2014-02-22,29
2014-02-23,29
2014-02-24,30
2014-02-25,31
2014-02-26,32
2014-02-27,33
2014-02-28,34
2014-03-01,35
2014-03-02,34
2014-03-03,34
2014-03-04,33
2014-03-05,33
2014-03-06,32
2014-03-07,32
2014-03-08,32
2014-03-09,33
2014-03-10,34
2014-03-11,35
2014-03-12,36
2014-03-13,37
2014-03-14,38
2014-03-15,39
2014-03-16,38
2014-03-17,37
2014-03-18,37
2014-03-19,36
2014-03-20,36
2014-03-21,35
2014-03-22,35
2014-03-23,35
2014-03-24,35
2014-03-25,35
2014-03-26,35
2014-03-27,35
2014-03-28,35
2014-03-29,35
2014-03-30,35
