Date,American Water Works
2008-11-17,47
2008-11-18,55
2008-11-19,63
2008-11-20,74
2008-11-21,86
2008-11-22,92
2008-11-23,78
2008-11-24,69
2008-11-25,60
2008-11-26,51
2008-11-27,42
2008-11-28,33
2008-11-29,25
2008-11-30,27
2008-12-01,30
2008-12-02,33
2008-12-03,35
2008-12-04,37
2008-12-05,40
2008-12-06,43
2008-12-07,42
2008-12-08,41
2008-12-09,42
2008-12-10,39
2008-12-11,38
2008-12-12,38
2008-12-13,37
2008-12-14,36
2008-12-15,36
2008-12-16,36
2008-12-17,36
2008-12-18,36
2008-12-19,36
2008-12-20,36
2008-12-21,34
2008-12-22,33
2008-12-23,32
2008-12-24,31
2008-12-25,30
2008-12-26,29
2008-12-27,28
2008-12-28,29
2008-12-29,30
2008-12-30,31
2008-12-31,33
2009-01-01,34
2009-01-02,35
2009-01-03,37
2009-01-04,37
2009-01-05,38
2009-01-06,37
2009-01-07,38
2009-01-08,38
2009-01-09,40
2009-01-10,39
2009-01-11,38
2009-01-12,38
2009-01-13,39
2009-01-14,38
2009-01-15,38
2009-01-16,38
2009-01-17,38
2009-01-18,37
2009-01-19,36
2009-01-20,35
2009-01-21,34
2009-01-22,33
2009-01-23,32
2009-01-24,31
2009-01-25,31
2009-01-26,32
2009-01-27,33
2009-01-28,34
2009-01-29,35
2009-01-30,36
2009-01-31,37
