Date,Energy Recovery
2008-03-24,60
2008-03-25,60
2008-03-26,61
2008-03-27,61
2008-03-28,62
2008-03-29,62
2008-03-30,63
2008-03-31,63
2008-04-01,64
2008-04-02,63
2008-04-03,63
2008-04-04,63
2008-04-05,63
2008-04-06,62
2008-04-07,62
2008-04-08,62
2008-04-09,62
2008-04-10,61
2008-04-11,61
2008-04-12,61
2008-04-13,61
2008-04-14,60
2008-04-15,60
2008-04-16,60
2008-04-17,60
2008-04-18,60
2008-04-19,59
2008-04-20,59
2008-04-21,59
2008-04-22,59
2008-04-23,58
2008-04-24,58
2008-04-25,58
2008-04-26,58
2008-04-27,57
2008-04-28,57
2008-04-29,57
2008-04-30,57
2008-05-01,57
2008-05-02,57
2008-05-03,58
2008-05-04,59
2008-05-05,60
2008-05-06,61
2008-05-07,61
2008-05-08,62
2008-05-09,63
2008-05-10,64
2008-05-11,65
2008-05-12,65
2008-05-13,66
2008-05-14,67
2008-05-15,68
2008-05-16,69
2008-05-17,69
2008-05-18,70
2008-05-19,71
2008-05-20,72
2008-05-21,73
2008-05-22,73
2008-05-23,74
2008-05-24,75
2008-05-25,76
2008-05-26,77
2008-05-27,77
2008-05-28,78
2008-05-29,79
2008-05-30,80
2008-05-31,81
2008-06-01,82
2008-06-02,82
2008-06-03,83
2008-06-04,83
2008-06-05,84
2008-06-06,85
2008-06-07,85
2008-06-08,86
2008-06-09,86
2008-06-10,87
2008-06-11,88
2008-06-12,88
2008-06-13,89
2008-06-14,89
2008-06-15,90
2008-06-16,91
2008-06-17,91
2008-06-18,92
2008-06-19,92
2008-06-20,93
2008-06-21,94
2008-06-22,94
2008-06-23,95
2008-06-24,95
2008-06-25,96
2008-06-26,97
2008-06-27,97
2008-06-28,98
2008-06-29,98
2008-06-30,99
2008-07-01,100
2008-07-02,99
2008-07-03,98
2008-07-04,98
2008-07-05,97
2008-07-06,97
2008-07-07,96
2008-07-08,95
2008-07-09,95
2008-07-10,94
2008-07-11,94
2008-07-12,93
2008-07-13,93
2008-07-14,92
2008-07-15,91
2008-07-16,91
2008-07-17,90
2008-07-18,90
2008-07-19,89
2008-07-20,88
2008-07-21,88
2008-07-22,87
2008-07-23,87
2008-07-24,86
2008-07-25,86
2008-07-26,85
2008-07-27,84
2008-07-28,84
2008-07-29,83
2008-07-30,83
2008-07-31,82
2008-08-01,82
2008-08-02,80
2008-08-03,79
2008-08-04,78
2008-08-05,76
2008-08-06,75
2008-08-07,74
2008-08-08,72
2008-08-09,71
2008-08-10,70
2008-08-11,69
2008-08-12,67
2008-08-13,66
2008-08-14,65
2008-08-15,63
2008-08-16,62
2008-08-17,61
2008-08-18,60
2008-08-19,58
2008-08-20,57
2008-08-21,56
2008-08-22,54
2008-08-23,53
2008-08-24,52
2008-08-25,51
2008-08-26,49
2008-08-27,48
2008-08-28,47
2008-08-29,45
2008-08-30,44
2008-08-31,43
2008-09-01,42
2008-09-02,42
2008-09-03,42
2008-09-04,42
2008-09-05,42
2008-09-06,42
2008-09-07,42
2008-09-08,42
2008-09-09,42
2008-09-10,42
2008-09-11,42
2008-09-12,42
2008-09-13,42
2008-09-14,42
2008-09-15,42
2008-09-16,42
2008-09-17,42
2008-09-18,42
2008-09-19,42
2008-09-20,42
2008-09-21,42
2008-09-22,42
2008-09-23,42
2008-09-24,42
2008-09-25,42
2008-09-26,42
2008-09-27,42
2008-09-28,42
2008-09-29,42
2008-09-30,42
2008-10-01,42
2008-10-02,41
2008-10-03,41
2008-10-04,41
2008-10-05,40
2008-10-06,40
2008-10-07,40
2008-10-08,39
2008-10-09,39
2008-10-10,39
2008-10-11,39
2008-10-12,38
2008-10-13,38
2008-10-14,38
2008-10-15,37
2008-10-16,37
2008-10-17,37
2008-10-18,37
2008-10-19,36
2008-10-20,36
2008-10-21,36
2008-10-22,35
2008-10-23,35
2008-10-24,35
2008-10-25,35
2008-10-26,34
2008-10-27,34
2008-10-28,34
2008-10-29,33
2008-10-30,33
2008-10-31,33
2008-11-01,33
2008-11-02,32
2008-11-03,32
2008-11-04,32
2008-11-05,32
2008-11-06,32
2008-11-07,32
2008-11-08,32
2008-11-09,32
2008-11-10,32
2008-11-11,32
2008-11-12,31
2008-11-13,31
2008-11-14,31
2008-11-15,31
2008-11-16,31
2008-11-17,31
2008-11-18,31
2008-11-19,31
2008-11-20,31
2008-11-21,31
2008-11-22,30
2008-11-23,30
2008-11-24,30
2008-11-25,30
2008-11-26,30
2008-11-27,30
2008-11-28,30
2008-11-29,30
2008-11-30,30
2008-12-01,30
2008-12-02,30
2008-12-03,30
2008-12-04,30
2008-12-05,30
2008-12-06,30
2008-12-07,31
2008-12-08,31
2008-12-09,31
2008-12-10,31
2008-12-11,31
2008-12-12,32
2008-12-13,32
2008-12-14,32
2008-12-15,32
2008-12-16,32
2008-12-17,33
2008-12-18,33
2008-12-19,33
2008-12-20,33
2008-12-21,33
2008-12-22,34
2008-12-23,34
2008-12-24,34
2008-12-25,34
2008-12-26,34
2008-12-27,35
2008-12-28,35
2008-12-29,35
2008-12-30,35
2008-12-31,35
2009-01-01,36
2009-01-02,35
2009-01-03,35
2009-01-04,35
2009-01-05,35
2009-01-06,35
2009-01-07,35
2009-01-08,35
2009-01-09,35
2009-01-10,35
2009-01-11,35
2009-01-12,35
2009-01-13,35
2009-01-14,35
2009-01-15,35
2009-01-16,35
2009-01-17,34
2009-01-18,34
2009-01-19,34
2009-01-20,34
2009-01-21,34
2009-01-22,34
2009-01-23,34
2009-01-24,34
2009-01-25,34
2009-01-26,34
2009-01-27,34
2009-01-28,34
2009-01-29,34
2009-01-30,34
2009-01-31,34
2009-02-01,34
2009-02-02,33
2009-02-03,33
2009-02-04,33
2009-02-05,33
2009-02-06,33
2009-02-07,32
2009-02-08,32
2009-02-09,32
2009-02-10,32
2009-02-11,32
2009-02-12,32
2009-02-13,31
2009-02-14,31
2009-02-15,31
2009-02-16,31
2009-02-17,31
2009-02-18,30
2009-02-19,30
2009-02-20,30
2009-02-21,30
2009-02-22,30
2009-02-23,30
2009-02-24,29
2009-02-25,29
2009-02-26,29
2009-02-27,29
2009-02-28,29
2009-03-01,29
2009-03-02,29
2009-03-03,30
2009-03-04,30
2009-03-05,31
2009-03-06,31
2009-03-07,32
2009-03-08,32
2009-03-09,33
2009-03-10,33
2009-03-11,34
2009-03-12,35
2009-03-13,35
2009-03-14,36
2009-03-15,36
2009-03-16,37
2009-03-17,37
2009-03-18,38
2009-03-19,38
2009-03-20,39
2009-03-21,39
2009-03-22,40
2009-03-23,41
2009-03-24,41
2009-03-25,42
2009-03-26,42
2009-03-27,43
2009-03-28,43
2009-03-29,44
2009-03-30,44
2009-03-31,45
2009-04-01,46
2009-04-02,45
2009-04-03,45
2009-04-04,45
2009-04-05,45
2009-04-06,45
2009-04-07,44
2009-04-08,44
2009-04-09,44
2009-04-10,44
2009-04-11,44
2009-04-12,43
2009-04-13,43
2009-04-14,43
2009-04-15,43
2009-04-16,43
2009-04-17,42
2009-04-18,42
2009-04-19,42
2009-04-20,42
2009-04-21,42
2009-04-22,41
2009-04-23,41
2009-04-24,41
2009-04-25,41
2009-04-26,41
2009-04-27,40
2009-04-28,40
2009-04-29,40
2009-04-30,40
2009-05-01,40
2009-05-02,39
2009-05-03,39
2009-05-04,39
2009-05-05,39
2009-05-06,39
2009-05-07,39
2009-05-08,39
2009-05-09,39
2009-05-10,39
2009-05-11,39
2009-05-12,39
2009-05-13,39
2009-05-14,39
2009-05-15,39
2009-05-16,39
2009-05-17,39
2009-05-18,39
2009-05-19,39
2009-05-20,39
2009-05-21,39
2009-05-22,39
2009-05-23,39
2009-05-24,39
2009-05-25,39
2009-05-26,39
2009-05-27,39
2009-05-28,39
2009-05-29,39
2009-05-30,39
2009-05-31,39
2009-06-01,39
2009-06-02,38
2009-06-03,38
2009-06-04,37
2009-06-05,37
2009-06-06,36
2009-06-07,36
2009-06-08,35
2009-06-09,35
2009-06-10,34
2009-06-11,34
2009-06-12,33
2009-06-13,33
2009-06-14,32
2009-06-15,32
2009-06-16,32
2009-06-17,31
2009-06-18,31
2009-06-19,30
2009-06-20,30
2009-06-21,29
2009-06-22,29
2009-06-23,28
2009-06-24,28
2009-06-25,27
2009-06-26,27
2009-06-27,26
2009-06-28,26
2009-06-29,25
2009-06-30,25
2009-07-01,25
2009-07-02,25
2009-07-03,26
2009-07-04,26
2009-07-05,27
2009-07-06,27
2009-07-07,28
2009-07-08,29
2009-07-09,29
2009-07-10,30
2009-07-11,30
2009-07-12,31
2009-07-13,31
2009-07-14,32
2009-07-15,33
2009-07-16,33
2009-07-17,34
2009-07-18,34
2009-07-19,35
2009-07-20,36
2009-07-21,36
2009-07-22,37
2009-07-23,37
2009-07-24,38
2009-07-25,38
2009-07-26,39
2009-07-27,40
2009-07-28,40
2009-07-29,41
2009-07-30,41
2009-07-31,42
2009-08-01,43
2009-08-02,42
2009-08-03,42
2009-08-04,42
2009-08-05,42
2009-08-06,42
2009-08-07,42
2009-08-08,42
2009-08-09,42
2009-08-10,42
2009-08-11,42
2009-08-12,42
2009-08-13,42
2009-08-14,42
2009-08-15,42
2009-08-16,42
2009-08-17,41
2009-08-18,41
2009-08-19,41
2009-08-20,41
2009-08-21,41
2009-08-22,41
2009-08-23,41
2009-08-24,41
2009-08-25,41
2009-08-26,41
2009-08-27,41
2009-08-28,41
2009-08-29,41
2009-08-30,41
2009-08-31,41
2009-09-01,41
