Date,Thermon
2011-06-28,46
2011-06-29,47
2011-06-30,48
2011-07-01,49
2011-07-02,51
2011-07-03,54
2011-07-04,57
2011-07-05,60
2011-07-06,63
2011-07-07,66
2011-07-08,69
2011-07-09,73
2011-07-10,73
2011-07-11,73
2011-07-12,73
2011-07-13,73
2011-07-14,73
2011-07-15,73
2011-07-16,73
2011-07-17,71
2011-07-18,69
2011-07-19,67
2011-07-20,65
2011-07-21,63
2011-07-22,61
2011-07-23,60
2011-07-24,58
2011-07-25,59
2011-07-26,57
2011-07-27,57
2011-07-28,56
2011-07-29,55
2011-07-30,56
2011-07-31,52
2011-08-07,62
2011-08-08,64
2011-08-09,65
2011-08-10,67
2011-08-11,68
2011-08-12,70
2011-08-13,71
2011-08-14,67
2011-08-15,62
2011-08-16,58
2011-08-17,54
2011-08-18,50
2011-08-19,46
2011-08-20,42
2011-08-21,46
2011-08-22,51
2011-08-23,55
2011-08-24,60
2011-08-25,64
2011-08-26,68
2011-08-27,73
2011-08-28,72
2011-08-29,70
2011-08-30,69
2011-08-31,68
2011-09-01,66
2011-09-02,65
2011-09-03,64
2011-09-04,62
2011-09-05,61
2011-09-06,59
2011-09-07,58
2011-09-08,56
2011-09-09,55
2011-09-10,54
2011-09-11,55
2011-09-12,56
2011-09-13,57
2011-09-14,59
2011-09-15,60
2011-09-16,61
2011-09-17,63
2011-09-18,62
2011-09-19,62
2011-09-20,62
2011-09-21,62
2011-09-22,62
2011-09-23,62
2011-09-24,62
2011-09-25,63
2011-09-26,65
2011-09-27,66
2011-09-28,68
2011-09-29,69
2011-09-30,71
2011-10-01,73
2011-10-02,69
2011-10-03,66
2011-10-04,62
2011-10-05,59
2011-10-06,55
2011-10-07,52
2011-10-08,49
2011-10-09,55
2011-10-10,61
2011-10-11,67
2011-10-12,73
2011-10-13,79
2011-10-14,86
2011-10-15,92
2011-10-16,85
2011-10-17,78
2011-10-18,71
2011-10-19,64
2011-10-20,58
2011-10-21,51
2011-10-22,45
2011-10-23,45
2011-10-24,45
2011-10-25,45
2011-10-26,45
2011-10-27,45
2011-10-28,45
2011-10-29,45
2011-10-30,48
2011-11-06,67
2011-11-07,67
2011-11-08,67
2011-11-09,67
2011-11-10,67
2011-11-11,67
2011-11-12,67
2011-11-13,67
2011-11-14,68
2011-11-15,69
2011-11-16,70
2011-11-17,71
2011-11-18,72
2011-11-19,73
2011-11-20,71
2011-11-21,70
2011-11-22,69
2011-11-23,67
2011-11-24,66
2011-11-25,64
2011-11-26,63
2011-11-27,59
2011-11-28,55
2011-11-29,51
2011-11-30,47
2011-12-01,43
2011-12-02,39
2011-12-03,36
2011-12-04,40
2011-12-05,44
2011-12-06,48
2011-12-07,53
2011-12-08,57
2011-12-09,61
2011-12-10,65
2011-12-11,63
2011-12-12,59
2011-12-13,57
2011-12-14,54
2011-12-15,52
2011-12-16,49
2011-12-17,47
2011-12-18,46
2011-12-19,45
2011-12-20,45
2011-12-21,44
2011-12-22,43
2011-12-23,42
2011-12-24,42
2011-12-25,41
2011-12-26,41
2011-12-27,41
2011-12-28,40
2011-12-29,40
2011-12-30,40
2011-12-31,40
2012-01-01,40
2012-01-02,40
2012-01-03,40
2012-01-04,40
2012-01-05,40
2012-01-06,40
2012-01-07,40
2012-01-08,40
2012-01-09,40
2012-01-10,40
2012-01-11,40
2012-01-12,40
2012-01-13,40
2012-01-14,40
2012-01-15,40
2012-01-16,40
2012-01-17,40
2012-01-18,40
2012-01-19,40
2012-01-20,40
2012-01-21,41
2012-01-22,43
2012-01-23,45
2012-01-24,48
2012-01-25,50
2012-01-26,53
2012-01-27,55
2012-01-28,58
2012-01-29,59
2012-02-05,66
2012-02-06,64
2012-02-07,62
2012-02-08,60
2012-02-09,58
2012-02-10,56
2012-02-11,54
2012-02-12,54
2012-02-13,55
2012-02-14,55
2012-02-15,56
2012-02-16,56
2012-02-17,57
2012-02-18,57
2012-02-19,54
2012-02-20,51
2012-02-21,48
2012-02-22,45
2012-02-23,42
2012-02-24,39
2012-02-25,37
2012-02-26,38
2012-02-27,39
2012-02-28,41
2012-02-29,42
2012-03-01,44
2012-03-02,45
2012-03-03,47
2012-03-04,50
2012-03-05,54
2012-03-06,57
2012-03-07,61
2012-03-08,64
2012-03-09,68
2012-03-10,72
2012-03-11,74
2012-03-12,78
2012-03-13,80
2012-03-14,83
2012-03-15,86
2012-03-16,89
2012-03-17,92
2012-03-18,84
2012-03-19,74
2012-03-20,67
2012-03-21,59
2012-03-22,52
2012-03-23,44
2012-03-24,37
2012-03-25,38
2012-03-26,39
2012-03-27,40
2012-03-28,41
2012-03-29,42
2012-03-30,43
2012-03-31,44
2012-04-01,45
2012-04-02,46
2012-04-03,47
2012-04-04,48
2012-04-05,49
2012-04-06,50
2012-04-07,52
2012-04-08,53
2012-04-09,54
2012-04-10,55
2012-04-11,56
2012-04-12,57
2012-04-13,58
2012-04-14,59
2012-04-15,58
2012-04-16,58
2012-04-17,58
2012-04-18,58
2012-04-19,57
2012-04-20,57
2012-04-21,57
2012-04-22,53
2012-04-23,49
2012-04-24,46
2012-04-25,42
2012-04-26,39
2012-04-27,36
2012-04-28,33
2012-04-29,36
2012-05-06,53
2012-05-07,53
2012-05-08,53
2012-05-09,52
2012-05-10,52
2012-05-11,52
2012-05-12,52
2012-05-13,50
2012-05-14,49
2012-05-15,48
2012-05-16,46
2012-05-17,45
2012-05-18,44
2012-05-19,43
2012-05-20,44
2012-05-21,45
2012-05-22,47
2012-05-23,48
2012-05-24,50
2012-05-25,51
2012-05-26,53
2012-05-27,52
2012-05-28,52
2012-05-29,51
2012-05-30,51
2012-05-31,50
2012-06-01,50
2012-06-02,50
2012-06-03,51
2012-06-04,53
2012-06-05,55
2012-06-06,56
2012-06-07,58
2012-06-08,60
2012-06-09,62
2012-06-10,61
2012-06-11,60
2012-06-12,59
2012-06-13,58
2012-06-14,57
2012-06-15,56
2012-06-16,56
2012-06-17,53
2012-06-18,49
2012-06-19,47
2012-06-20,44
2012-06-21,42
2012-06-22,39
2012-06-23,37
2012-06-24,38
2012-06-25,40
2012-06-26,42
2012-06-27,44
2012-06-28,46
2012-06-29,48
2012-06-30,50
2012-07-01,51
2012-07-02,53
2012-07-03,54
2012-07-04,55
2012-07-05,57
2012-07-06,58
2012-07-07,60
2012-07-08,62
2012-07-09,64
2012-07-10,66
2012-07-11,68
2012-07-12,69
2012-07-13,71
2012-07-14,73
2012-07-15,71
2012-07-16,68
2012-07-17,65
2012-07-18,63
2012-07-19,60
2012-07-20,58
2012-07-21,56
2012-07-22,57
2012-07-23,58
2012-07-24,60
2012-07-25,61
2012-07-26,62
2012-07-27,63
2012-07-28,64
2012-07-29,61
