Date,Mead Johnson Nutrition
2009-04-06,32
2009-04-07,30
2009-04-08,27
2009-04-09,25
2009-04-10,23
2009-04-11,21
2009-04-12,19
2009-04-13,18
2009-04-14,17
2009-04-15,16
2009-04-16,15
2009-04-17,14
2009-04-18,13
2009-04-19,13
2009-04-20,14
2009-04-21,15
2009-04-22,16
2009-04-23,17
2009-04-24,18
2009-04-25,19
2009-04-26,19
2009-04-27,19
2009-04-28,19
2009-04-29,19
2009-04-30,19
2009-05-01,19
2009-05-02,20
2009-05-03,20
2009-05-04,20
2009-05-05,20
2009-05-06,20
2009-05-07,20
2009-05-08,20
2009-05-09,20
2009-05-10,20
2009-05-11,21
2009-05-12,21
2009-05-13,22
2009-05-14,23
2009-05-15,23
2009-05-16,24
2009-05-17,23
2009-05-18,22
2009-05-19,21
2009-05-20,20
2009-05-21,19
2009-05-22,18
2009-05-23,17
2009-05-24,17
2009-05-25,18
2009-05-26,19
2009-05-27,20
2009-05-28,20
2009-05-29,21
2009-05-30,22
2009-05-31,21
2009-06-07,19
2009-06-08,19
2009-06-09,19
2009-06-10,19
2009-06-11,19
2009-06-12,19
2009-06-13,19
2009-06-14,19
2009-06-15,20
2009-06-16,20
2009-06-17,21
2009-06-18,21
2009-06-19,22
2009-06-20,23
2009-06-21,23
2009-06-22,23
2009-06-23,23
2009-06-24,23
2009-06-25,23
2009-06-26,23
2009-06-27,23
2009-06-28,22
2009-06-29,20
2009-06-30,19
2009-07-01,18
2009-07-02,17
2009-07-03,16
2009-07-04,15
2009-07-05,16
2009-07-06,18
2009-07-07,19
2009-07-08,21
2009-07-09,22
2009-07-10,24
2009-07-11,26
2009-07-12,25
2009-07-13,24
2009-07-14,23
2009-07-15,22
2009-07-16,21
2009-07-17,20
2009-07-18,19
2009-07-19,18
2009-07-20,17
2009-07-21,17
2009-07-22,16
2009-07-23,16
2009-07-24,15
2009-07-25,15
2009-07-26,15
2009-07-27,16
2009-07-28,17
2009-07-29,18
2009-07-30,19
2009-07-31,20
2009-08-01,21
2009-08-02,20
2009-08-03,20
2009-08-04,20
2009-08-05,20
2009-08-06,19
2009-08-07,19
2009-08-08,19
2009-08-09,18
2009-08-10,17
2009-08-11,17
2009-08-12,16
2009-08-13,16
2009-08-14,15
2009-08-15,15
2009-08-16,15
2009-08-17,16
2009-08-18,16
2009-08-19,17
2009-08-20,17
2009-08-21,18
2009-08-22,19
2009-08-23,19
2009-08-24,20
2009-08-25,20
2009-08-26,21
2009-08-27,21
2009-08-28,22
2009-08-29,23
2009-08-30,23
2009-09-06,21
2009-09-07,20
2009-09-08,19
2009-09-09,17
2009-09-10,16
2009-09-11,15
2009-09-12,14
2009-09-13,14
2009-09-14,14
2009-09-15,14
2009-09-16,14
2009-09-17,14
2009-09-18,14
2009-09-19,15
2009-09-20,15
2009-09-21,15
2009-09-22,15
2009-09-23,15
2009-09-24,15
2009-09-25,15
2009-09-26,15
2009-09-27,15
2009-09-28,15
2009-09-29,15
2009-09-30,15
2009-10-01,15
2009-10-02,15
2009-10-03,15
2009-10-04,15
2009-10-05,16
2009-10-06,17
2009-10-07,17
2009-10-08,18
2009-10-09,19
2009-10-10,20
2009-10-11,20
2009-10-12,21
2009-10-13,21
2009-10-14,21
2009-10-15,22
2009-10-16,22
2009-10-17,23
2009-10-18,22
2009-10-19,21
2009-10-20,20
2009-10-21,20
2009-10-22,19
2009-10-23,18
2009-10-24,18
2009-10-25,18
2009-10-26,18
2009-10-27,18
2009-10-28,19
2009-10-29,19
2009-10-30,19
2009-10-31,20
2009-11-01,20
2009-11-02,20
2009-11-03,20
2009-11-04,20
2009-11-05,20
2009-11-06,20
2009-11-07,21
2009-11-08,20
2009-11-09,20
2009-11-10,19
2009-11-11,19
2009-11-12,18
2009-11-13,18
2009-11-14,18
2009-11-15,21
2009-11-16,25
2009-11-17,28
2009-11-18,32
2009-11-19,36
2009-11-20,39
2009-11-21,43
2009-11-22,41
2009-11-23,39
2009-11-24,37
2009-11-25,36
2009-11-26,34
2009-11-27,32
2009-11-28,31
2009-11-29,32
2009-12-06,42
2009-12-07,42
2009-12-08,42
2009-12-09,42
2009-12-10,42
2009-12-11,42
2009-12-12,42
2009-12-13,40
2009-12-14,39
2009-12-15,37
2009-12-16,36
2009-12-17,34
2009-12-18,33
2009-12-19,31
2009-12-20,29
2009-12-21,25
2009-12-22,22
2009-12-23,20
2009-12-24,17
2009-12-25,14
2009-12-26,12
2009-12-27,12
2009-12-28,12
2009-12-29,12
2009-12-30,12
2009-12-31,12
2010-01-01,12
2010-01-02,13
2010-01-03,14
2010-01-04,15
2010-01-05,16
2010-01-06,17
2010-01-07,18
2010-01-08,20
2010-01-09,21
2010-01-10,20
2010-01-11,19
2010-01-12,18
2010-01-13,18
2010-01-14,17
2010-01-15,16
2010-01-16,16
2010-01-17,16
2010-01-18,16
2010-01-19,17
2010-01-20,17
2010-01-21,18
2010-01-22,18
2010-01-23,19
2010-01-24,18
2010-01-25,18
2010-01-26,18
2010-01-27,18
2010-01-28,18
2010-01-29,18
2010-01-30,18
2010-01-31,17
2010-02-01,16
2010-02-02,15
2010-02-03,14
2010-02-04,13
2010-02-05,12
2010-02-06,11
2010-02-07,11
2010-02-08,11
2010-02-09,12
2010-02-10,12
2010-02-11,13
2010-02-12,13
2010-02-13,14
2010-02-14,14
2010-02-15,14
2010-02-16,15
2010-02-17,15
2010-02-18,16
2010-02-19,16
2010-02-20,17
2010-02-21,16
2010-02-22,16
2010-02-23,15
2010-02-24,15
2010-02-25,14
2010-02-26,14
2010-02-27,14
2010-02-28,15
2010-03-07,20
2010-03-08,19
2010-03-09,17
2010-03-10,16
2010-03-11,14
2010-03-12,13
2010-03-13,12
2010-03-14,12
2010-03-15,13
2010-03-16,14
2010-03-17,15
2010-03-18,16
2010-03-19,17
2010-03-20,18
2010-03-21,17
2010-03-22,16
2010-03-23,16
2010-03-24,15
2010-03-25,15
2010-03-26,14
2010-03-27,14
2010-03-28,16
2010-03-29,18
2010-03-30,21
2010-03-31,23
2010-04-01,25
2010-04-02,28
2010-04-03,30
2010-04-04,29
2010-04-05,27
2010-04-06,25
2010-04-07,24
2010-04-08,22
2010-04-09,21
2010-04-10,20
2010-04-11,19
2010-04-12,18
2010-04-13,18
2010-04-14,17
2010-04-15,17
2010-04-16,16
2010-04-17,16
2010-04-18,16
2010-04-19,16
2010-04-20,16
2010-04-21,16
2010-04-22,16
2010-04-23,16
2010-04-24,16
2010-04-25,16
2010-04-26,16
2010-04-27,16
2010-04-28,16
2010-04-29,16
2010-04-30,16
2010-05-01,16
2010-05-02,15
2010-05-03,15
2010-05-04,14
2010-05-05,14
2010-05-06,13
2010-05-07,13
2010-05-08,13
2010-05-09,13
2010-05-10,14
2010-05-11,14
2010-05-12,15
2010-05-13,16
2010-05-14,16
2010-05-15,17
2010-05-16,16
2010-05-17,15
2010-05-18,14
2010-05-19,13
2010-05-20,12
2010-05-21,11
2010-05-22,10
2010-05-23,11
2010-05-24,12
2010-05-25,13
2010-05-26,14
2010-05-27,15
2010-05-28,16
2010-05-29,17
2010-05-30,16
