Date,Portola
2013-08-15,71
2013-08-16,74
2013-08-17,78
2013-08-18,80
2013-08-19,83
2013-08-20,86
2013-08-21,88
2013-08-22,91
2013-08-23,94
2013-08-24,97
2013-08-25,97
2013-08-26,98
2013-08-27,98
2013-08-28,99
2013-08-29,99
2013-08-30,99
2013-08-31,100
2013-09-01,95
2013-09-02,91
2013-09-03,86
2013-09-04,82
2013-09-05,78
2013-09-06,73
2013-09-07,69
2013-09-08,67
2013-09-09,63
2013-09-10,61
2013-09-11,58
2013-09-12,56
2013-09-13,53
2013-09-14,51
2013-09-15,51
2013-09-16,51
2013-09-17,51
2013-09-18,51
2013-09-19,51
2013-09-20,51
2013-09-21,51
2013-09-22,51
2013-09-23,52
2013-09-24,52
2013-09-25,53
2013-09-26,53
2013-09-27,54
2013-09-28,55
2013-09-29,57
2013-10-06,70
2013-10-07,70
2013-10-08,69
2013-10-09,69
2013-10-10,68
2013-10-11,68
2013-10-12,68
2013-10-13,69
2013-10-14,71
2013-10-15,73
2013-10-16,74
2013-10-17,76
2013-10-18,78
2013-10-19,79
2013-10-20,76
2013-10-21,71
2013-10-22,67
2013-10-23,64
2013-10-24,60
2013-10-25,56
2013-10-26,53
2013-10-27,57
2013-10-28,63
2013-10-29,68
2013-10-30,73
2013-10-31,78
2013-11-01,82
2013-11-02,87
2013-11-03,82
2013-11-04,76
2013-11-05,70
2013-11-06,65
2013-11-07,59
2013-11-08,54
2013-11-09,49
2013-11-10,50
2013-11-11,52
2013-11-12,54
2013-11-13,56
2013-11-14,58
2013-11-15,59
2013-11-16,61
2013-11-17,61
2013-11-18,59
2013-11-19,59
2013-11-20,59
2013-11-21,59
2013-11-22,59
2013-11-23,59
2013-11-24,59
2013-11-25,59
2013-11-26,59
2013-11-27,59
2013-11-28,59
2013-11-29,59
2013-11-30,59
2013-12-01,59
2013-12-02,60
2013-12-03,60
2013-12-04,60
2013-12-05,61
2013-12-06,61
2013-12-07,61
2013-12-08,59
2013-12-09,56
2013-12-10,54
2013-12-11,52
2013-12-12,50
2013-12-13,48
2013-12-14,46
2013-12-15,46
2013-12-16,46
2013-12-17,47
2013-12-18,47
2013-12-19,47
2013-12-20,47
2013-12-21,48
2013-12-22,46
2013-12-23,44
2013-12-24,43
2013-12-25,41
2013-12-26,40
2013-12-27,38
2013-12-28,37
2013-12-29,39
2014-01-05,57
2014-01-06,57
2014-01-07,57
2014-01-08,57
2014-01-09,57
2014-01-10,57
2014-01-11,58
2014-01-12,58
2014-01-13,59
2014-01-14,60
2014-01-15,61
2014-01-16,62
2014-01-17,63
2014-01-18,64
2014-01-19,66
2014-01-20,68
2014-01-21,71
2014-01-22,73
2014-01-23,76
2014-01-24,78
2014-01-25,81
2014-01-26,80
2014-01-27,80
2014-01-28,80
2014-01-29,80
2014-01-30,79
2014-01-31,79
2014-02-01,79
2014-02-02,77
2014-02-03,75
2014-02-04,74
2014-02-05,72
2014-02-06,71
2014-02-07,69
2014-02-08,68
2014-02-09,63
2014-02-10,59
2014-02-11,54
2014-02-12,50
2014-02-13,45
2014-02-14,41
2014-02-15,37
2014-02-16,39
2014-02-17,41
2014-02-18,44
2014-02-19,46
2014-02-20,48
2014-02-21,51
2014-02-22,53
2014-02-23,50
2014-02-24,47
2014-02-25,44
2014-02-26,42
2014-02-27,39
2014-02-28,36
2014-03-01,34
