Date,Kosmos Energy
2011-03-19,65
2011-03-20,64
2011-03-21,64
2011-03-22,64
2011-03-23,64
2011-03-24,64
2011-03-25,64
2011-03-26,63
2011-03-27,63
2011-03-28,63
2011-03-29,63
2011-03-30,63
2011-03-31,63
2011-04-03,65
2011-04-04,66
2011-04-05,67
2011-04-06,69
2011-04-07,70
2011-04-08,71
2011-04-09,72
2011-04-10,74
2011-04-11,75
2011-04-12,76
2011-04-13,77
2011-04-14,79
2011-04-15,80
2011-04-16,81
2011-04-17,82
2011-04-18,83
2011-04-19,85
2011-04-20,86
2011-04-21,87
2011-04-22,88
2011-04-23,90
2011-04-24,91
2011-04-25,92
2011-04-26,93
2011-04-27,95
2011-04-28,96
2011-04-29,97
2011-04-30,98
2011-05-01,100
2011-05-02,99
2011-05-03,97
2011-05-04,96
2011-05-05,94
2011-05-06,93
2011-05-07,92
2011-05-08,90
2011-05-09,90
2011-05-10,88
2011-05-11,87
2011-05-12,86
2011-05-13,85
2011-05-14,83
2011-05-15,82
2011-05-16,82
2011-05-17,81
2011-05-18,81
2011-05-19,80
2011-05-20,80
2011-05-21,82
2011-05-22,72
2011-05-23,71
2011-05-24,70
2011-05-25,69
2011-05-26,67
2011-05-27,66
2011-05-28,65
2011-05-29,63
2011-05-30,62
2011-05-31,61
2011-06-01,60
2011-06-02,59
2011-06-03,59
2011-06-04,59
2011-06-05,58
2011-06-06,58
2011-06-07,58
2011-06-08,57
2011-06-09,57
2011-06-10,57
2011-06-11,57
2011-06-12,56
2011-06-13,56
2011-06-14,56
2011-06-15,55
2011-06-16,55
2011-06-17,55
2011-06-18,54
2011-06-19,54
2011-06-20,54
2011-06-21,54
2011-06-22,53
2011-06-23,53
2011-06-24,53
2011-06-25,52
2011-06-26,52
2011-07-01,51
2011-07-02,51
2011-07-03,51
2011-07-04,52
2011-07-05,52
2011-07-06,53
2011-07-07,53
2011-07-08,54
2011-07-09,54
2011-07-10,55
2011-07-11,55
2011-07-12,55
2011-07-13,56
2011-07-14,56
2011-07-15,57
2011-07-16,57
2011-07-17,58
2011-07-18,58
2011-07-19,59
2011-07-20,59
2011-07-21,60
2011-07-22,60
2011-07-23,60
2011-07-24,61
2011-07-25,61
2011-07-26,62
2011-07-27,62
2011-07-28,63
2011-07-29,63
2011-07-30,64
2011-07-31,64
2011-08-01,65
2011-08-02,64
2011-08-03,63
2011-08-04,62
2011-08-05,61
2011-08-06,60
2011-08-07,59
2011-08-08,59
2011-08-09,58
2011-08-10,57
2011-08-11,56
2011-08-12,55
2011-08-13,54
2011-08-14,54
2011-08-15,53
2011-08-16,52
2011-08-17,51
2011-08-18,50
2011-08-19,49
2011-08-20,49
2011-08-21,48
2011-08-22,47
2011-08-23,46
2011-08-24,45
2011-08-25,44
2011-08-26,44
2011-08-27,43
2011-08-28,42
2011-08-29,41
2011-08-30,40
2011-08-31,39
2011-09-01,39
2011-09-02,39
2011-09-03,40
2011-09-04,41
2011-09-05,42
2011-09-06,43
2011-09-07,44
2011-09-08,44
2011-09-09,45
2011-09-10,46
2011-09-11,47
2011-09-12,48
2011-09-13,49
2011-09-14,49
2011-09-15,50
2011-09-16,51
2011-09-17,52
2011-09-18,53
2011-09-19,54
2011-09-20,54
2011-09-21,55
2011-09-22,56
2011-09-23,57
2011-09-24,58
2011-09-25,59
2011-09-26,59
2011-09-27,60
2011-09-28,61
2011-09-29,62
2011-09-30,63
2011-10-01,64
2011-10-02,63
2011-10-03,62
2011-10-04,61
2011-10-05,61
2011-10-06,60
2011-10-07,59
2011-10-08,59
2011-10-09,58
2011-10-10,57
2011-10-11,57
2011-10-12,56
2011-10-13,55
2011-10-14,55
2011-10-15,54
2011-10-16,53
2011-10-17,53
2011-10-18,52
2011-10-19,51
2011-10-20,51
2011-10-21,50
2011-10-22,49
2011-10-23,49
2011-10-24,48
2011-10-25,47
2011-10-26,47
2011-10-27,46
2011-10-28,45
2011-10-29,45
2011-10-30,44
2011-10-31,43
2011-11-01,43
2011-11-02,42
2011-11-03,42
2011-11-04,42
2011-11-05,42
2011-11-06,42
2011-11-07,42
2011-11-08,42
2011-11-09,42
2011-11-10,42
2011-11-11,42
2011-11-12,41
2011-11-13,41
2011-11-14,41
2011-11-15,41
2011-11-16,41
2011-11-17,41
2011-11-18,41
2011-11-19,41
2011-11-20,41
2011-11-21,41
2011-11-22,40
2011-11-23,40
2011-11-24,40
2011-11-25,40
2011-11-26,40
2011-11-27,40
2011-11-28,40
2011-11-29,40
2011-11-30,40
2011-12-01,40
2011-12-02,40
2011-12-03,40
2011-12-04,41
2011-12-05,41
2011-12-06,41
2011-12-07,42
2011-12-08,42
2011-12-09,43
2011-12-10,43
2011-12-11,43
2011-12-12,44
2011-12-13,44
2011-12-14,45
2011-12-15,45
2011-12-16,45
2011-12-17,46
2011-12-18,46
2011-12-19,46
2011-12-20,47
2011-12-21,47
2011-12-22,48
2011-12-23,48
2011-12-24,48
2011-12-25,49
2011-12-26,49
2011-12-27,50
2011-12-28,50
2011-12-29,50
2011-12-30,51
2011-12-31,51
2012-01-01,52
2012-01-02,52
2012-01-03,53
2012-01-04,54
2012-01-05,54
2012-01-06,55
2012-01-07,56
2012-01-08,56
2012-01-09,57
2012-01-10,58
2012-01-11,58
2012-01-12,59
2012-01-13,60
2012-01-14,60
2012-01-15,61
2012-01-16,62
2012-01-17,62
2012-01-18,63
2012-01-19,64
2012-01-20,64
2012-01-21,65
2012-01-22,66
2012-01-23,66
2012-01-24,67
2012-01-25,68
2012-01-26,68
2012-01-27,69
2012-01-28,70
2012-01-29,70
2012-01-30,71
2012-01-31,72
2012-02-01,73
2012-02-02,72
2012-02-03,71
2012-02-04,70
2012-02-05,69
2012-02-06,68
2012-02-07,67
2012-02-08,66
2012-02-09,66
2012-02-10,65
2012-02-11,64
2012-02-12,63
2012-02-13,62
2012-02-14,61
2012-02-15,60
2012-02-16,60
2012-02-17,59
2012-02-18,58
2012-02-19,57
2012-02-20,56
2012-02-21,55
2012-02-22,54
2012-02-23,54
2012-02-24,53
2012-02-25,52
2012-02-26,51
2012-02-27,50
2012-02-28,49
2012-02-29,48
2012-03-01,48
2012-03-02,48
2012-03-03,48
2012-03-04,48
2012-03-05,48
2012-03-06,48
2012-03-07,48
2012-03-08,48
2012-03-09,49
2012-03-10,49
2012-03-11,49
2012-03-12,49
2012-03-13,49
2012-03-14,49
2012-03-15,49
2012-03-16,49
2012-03-17,50
2012-03-18,50
2012-03-19,50
2012-03-20,50
2012-03-21,50
2012-03-22,50
2012-03-23,50
2012-03-24,50
2012-03-25,51
2012-03-26,51
2012-03-27,51
2012-03-28,51
2012-03-29,51
2012-03-30,51
2012-03-31,51
2012-04-01,52
2012-04-02,52
2012-04-03,53
2012-04-04,54
2012-04-05,54
2012-04-06,55
2012-04-07,56
2012-04-08,56
2012-04-09,57
2012-04-10,58
2012-04-11,59
2012-04-12,59
2012-04-13,60
2012-04-14,61
2012-04-15,61
2012-04-16,62
2012-04-17,63
2012-04-18,63
2012-04-19,64
2012-04-20,65
2012-04-21,66
2012-04-22,66
2012-04-23,67
2012-04-24,68
2012-04-25,68
2012-04-26,69
2012-04-27,70
2012-04-28,70
2012-04-29,71
2012-04-30,85
2012-05-01,73
2012-05-02,72
2012-05-03,72
2012-05-04,72
2012-05-05,71
2012-05-06,71
2012-05-07,71
2012-05-08,71
2012-05-09,70
2012-05-10,70
2012-05-11,70
2012-05-12,69
2012-05-13,69
2012-05-14,68
2012-05-15,68
2012-05-16,68
2012-05-17,67
2012-05-18,67
2012-05-19,67
2012-05-20,66
2012-05-21,66
2012-05-22,66
2012-05-23,65
2012-05-24,65
2012-05-25,65
2012-05-26,64
2012-05-27,64
2012-05-28,64
2012-05-29,63
2012-05-30,63
2012-05-31,63
2012-06-01,63
